"","name","key","decimalLatitude","decimalLongitude","issues"
"1","Aegiphila integrifolia",1290985114,-14.986667,-39.25,"gass84,iddatunl"
"2","Aegiphila integrifolia",1213673497,-24.746944,-52.461389,"gass84,iddatunl"
"3","Aegiphila integrifolia",1089114261,-24.02021,-47.31605,"gass84"
"4","Aegiphila integrifolia",1095633712,-26.1635,-51.224667,"gass84"
"5","Aegiphila integrifolia",1089108588,-22.576589,-47.519109,"gass84"
"6","Aegiphila integrifolia",1089105594,-22.5,-46.55,"gass84"
"7","Aegiphila integrifolia",1089075392,-15.4113,-39.262,"gass84,iddatunl"
"8","Aegiphila integrifolia",1089113081,-22.49,-46.55,"gass84"
"9","Aegiphila integrifolia",1089113090,-22.54,-46.54,"gass84"
"10","Aegiphila integrifolia",575127309,-14.761667,-61.041389,"gass84"
"11","Aegiphila integrifolia",1089060819,-2.53,-59.58,"gass84,iddatunl"
"12","Aegiphila integrifolia",47717979,-2.083,-76.966,"gass84"
"13","Aegiphila integrifolia",1837380597,-27.27,-49.770278,"cdround,gass84"
"14","Aegiphila integrifolia",1563171288,-26.794722,-48.591944,"cdround,gass84"
"15","Aegiphila integrifolia",1563171625,-26.7275,-49.4075,"gass84"
"16","Aegiphila integrifolia",1671186430,-22.304167,-41.74,"cdround,gass84,rdatm"
"17","Aegiphila integrifolia",1587298398,-26.957222,-49.087222,"cdround,gass84"
"18","Aegiphila integrifolia",1585202477,-25.567,-48.3152,"gass84"
"19","Aegiphila integrifolia",1423924127,-22.398889,-42.413889,"cdround,gass84"
"20","Aegiphila integrifolia",1503029696,-23.186111,-47.307222,"gass84"
"21","Aegiphila integrifolia",1094712737,-28.191667,-49.392778,"cdround,gass84"
"22","Aegiphila integrifolia",1585202431,-25.4425,-49.0516,"gass84"
"23","Aegiphila integrifolia",1094717619,-28.156389,-49.392222,"cdround,gass84"
"24","Aegiphila integrifolia",1455752802,-15.433333,-39.1,"gass84,iddatunl"
"25","Aegiphila integrifolia",1077405531,-28.8,-49.86,"gass84"
"26","Aegiphila integrifolia",1135822390,-11.634167,-40.848333,"gass84"
"27","Aegiphila integrifolia",1077506485,-29.897839,-50.169714,"gass84"
"28","Aegiphila integrifolia",1671706153,-15.929167,-47.883333,"gass84,iddatunl"
"29","Aegiphila integrifolia",1213523636,-26.292778,-49.389167,"cdround,gass84"
"30","Aegiphila integrifolia",1077481673,-20.295083,-46.906556,"gass84,iddatunl"
"31","Aegiphila integrifolia",1503029695,-22.361389,-44.589444,"gass84"
"32","Aegiphila integrifolia",1077405551,-27.111389,-49.196111,"cdround,gass84"
"33","Aegiphila integrifolia",1836918775,-6.2228,-35.1651,"gass84"
"34","Aegiphila integrifolia",1819184249,-6.374444,-35.280833,"cdround,gass84"
"35","Aegiphila integrifolia",1703245229,3.562111,-71.525694,"cdround,gass84"
"36","Aegiphila integrifolia",1303587845,-20.445833,-43.905833,"gass84,iddatunl"
"37","Aegiphila integrifolia",1264698398,-22.778333,-47.823889,"gass84"
"38","Aegiphila integrifolia",1423898377,-23.728333,-45.300833,"cdround,gass84"
"39","Aegiphila integrifolia",1423915859,-21.760556,-41.654444,"cdround,gass84"
"40","Aegiphila integrifolia",1455395357,-22.9345,-53.717083,"gass84"
"41","Aegiphila integrifolia",1571775683,-23.130556,-38.280278,"gass84,iddatunl"
"42","Aegiphila integrifolia",1423900829,-21.216667,-43.75,"cdround,gass84"
