"","name","key","decimalLatitude","decimalLongitude","issues"
"1","Attalea dubia",1423916893,-22.576389,-43.464444,"cdround,gass84,rdatm"
"2","Attalea dubia",1094716034,-26.118333,-49.076667,"cdround,gass84"
"3","Attalea dubia",1077379664,-26.819722,-49.049444,"cdround,gass84"
"4","Attalea dubia",1123805985,-23.434167,-45.070833,"gass84"
"5","Attalea dubia",1087506265,-23.416667,-45.25,"gass84"
"6","Attalea dubia",1087360958,-23.883333,-46.966667,"gass84"
"7","Attalea dubia",1123790315,-23.852778,-46.9425,"gass84"
"8","Attalea dubia",1097240591,-23.8741646252305,-47.990501434338,"cdrep"
"9","Attalea dubia",1123788326,-22.281944,-42.531111,"gass84"
"10","Attalea dubia",1097589015,-27.126635,-48.910147,""
"11","Attalea dubia",1228193018,-10.8339,-52.8731,"gass84"
"12","Attalea dubia",1097121543,-22.5309,-43.0084,"gass84"
