"","name","key","decimalLatitude","decimalLongitude","issues"
"1","Centrolobium robustum",1316183666,-24.065278,-47.999167,"gass84"
"2","Centrolobium robustum",1077384067,-27.601111,-48.520833,"cdround,gass84"
"3","Centrolobium robustum",1424507539,-27.601111,-48.520833,"cdround,gass84,rdatm"
"4","Centrolobium robustum",1090159858,-25.788833,-48.919194,"gass84"
"5","Centrolobium robustum",1090685148,-25.0205,-47.916389,"gass84"
"6","Centrolobium robustum",1324588906,-25.0205,-47.916389,"gass84"
"7","Centrolobium robustum",1424175596,-22.5,-42.25,"gass84,rdatm"
"8","Centrolobium robustum",1424272394,-22.433333,-42.833333,"cdround,gass84"
"9","Centrolobium robustum",1086595836,-25.462,-48.2268,"gass84"
"10","Centrolobium robustum",1089086752,-21.883333,-41.833333,"gass84"
"11","Centrolobium robustum",1097759066,-21.8833,-41.8333,"gass84,iddatunl"
"12","Centrolobium robustum",1423983367,-21.95,-41.983333,"cdround,gass84,muluriiv"
"13","Centrolobium robustum",1423983341,-21.95,-41.983333,"cdround,gass84"
"14","Centrolobium robustum",1423983337,-21.883333,-41.833333,"cdround,gass84"
"15","Centrolobium robustum",1098081168,-21.8833,-41.8333,"gass84,iddatunl"
"16","Centrolobium robustum",1261562012,-2.833333,-76.916667,"cdround,gass84"
"17","Centrolobium robustum",178076208,3.116667,-59.416668,"cdround,gass84"
"18","Centrolobium robustum",1270110118,-12.933333,-39.166667,"gass84,iddatunl"
"19","Centrolobium robustum",1090866635,-12.905,-39.1925,"gass84,iddatunl"
"20","Centrolobium robustum",1699359470,-15.516667,-47.466667,"gass84"
"21","Centrolobium robustum",1090682604,-15.516667,-47.466667,"gass84"
"22","Centrolobium robustum",1213638165,-15.516667,-47.466667,"gass84"
"23","Centrolobium robustum",1090688265,-15.516667,-47.466667,"gass84"
"24","Centrolobium robustum",1090432938,-12.533333,-39.083333,"gass84"
"25","Centrolobium robustum",994146140,-18.0833,145.85,"gass84"
"26","Centrolobium robustum",994146130,-18.0833,145.85,"gass84"
"27","Centrolobium robustum",994146121,-18.0833,145.85,"gass84"
"28","Centrolobium robustum",1094712165,-27.025833,-48.654722,"cdround,gass84"
"29","Centrolobium robustum",1570756801,-27.025833,-48.654722,"cdround,gass84"
"30","Centrolobium robustum",1228197764,-10.8339,-52.8731,"gass84"
"31","Centrolobium robustum",1090439864,-12.933333,-39.166667,"gass84"
"32","Centrolobium robustum",1090441777,-16.383333,-39.133333,"gass84"
"33","Centrolobium robustum",1086977704,-12.933333,-39.166667,"gass84"
"34","Centrolobium robustum",1090459530,-15.516667,-47.466667,"gass84"
"35","Centrolobium robustum",1090480962,-25.020278,-47.916389,"gass84"
"36","Centrolobium robustum",1213597689,-12.933333,-39.166667,"gass84"
"37","Centrolobium robustum",1090441729,-16.383333,-39.133333,"gass84"
