"","name","key","decimalLatitude","decimalLongitude","issues"
"1","Cymbopetalum brasiliense",1096933041,-19.433583,-40.072778,"gass84"
"2","Cymbopetalum brasiliense",1090871775,-19.391111,-40.071944,"gass84,txmatfuz"
"3","Cymbopetalum brasiliense",1096933516,-19.209417,-39.962833,"gass84"
"4","Cymbopetalum brasiliense",912071132,-16.43,-39.07,"gass84"
"5","Cymbopetalum brasiliense",1090471164,-15.15,-39.083333,"gass84"
"6","Cymbopetalum brasiliense",1090420190,-16.433333,-39.066667,"gass84"
"7","Cymbopetalum brasiliense",1090412960,-16.433333,-39.083333,"gass84"
"8","Cymbopetalum brasiliense",1658215369,-8.081167,-35.012908,"gass84,iddatunl"
"9","Cymbopetalum brasiliense",1423939496,-4.560278,-56.306111,"cdround,gass84,rdatm"
"10","Cymbopetalum brasiliense",1252588471,-8.7125,-35.841667,"gass84"
"11","Cymbopetalum brasiliense",1801349345,-11.168611,-55.393111,"gass84"
"12","Cymbopetalum brasiliense",1801349338,-11.168167,-55.393167,"gass84"
"13","Cymbopetalum brasiliense",1135827222,-8.562222,-35.185556,"gass84,iddatunl"
"14","Cymbopetalum brasiliense",1135077495,-12.166667,-37.966667,"gass84"
"15","Cymbopetalum brasiliense",1090882234,-19.3911,-40.0722,"gass84"
"16","Cymbopetalum brasiliense",1424487248,-9.716667,-68.116667,"cdround,gass84"
"17","Cymbopetalum brasiliense",1424431823,-9.383889,-62.958611,"cdround,gass84"
"18","Cymbopetalum brasiliense",1090669166,-9.332222,-56.774167,"gass84"
"19","Cymbopetalum brasiliense",1424448219,-19.378889,-39.920556,"cdround,gass84"
"20","Cymbopetalum brasiliense",1796187781,-8.6939,-35.8558,"gass84"
"21","Cymbopetalum brasiliense",1089183105,-9.161111,-36.433333,"gass84,iddatunl"
"22","Cymbopetalum brasiliense",1089183927,-8.742089,-34.987653,"gass84"
"23","Cymbopetalum brasiliense",1658214544,-8.730556,-35.848611,"cdround,gass84,iddatunl"
"24","Cymbopetalum brasiliense",1090697978,-8.699167,-35.856111,"gass84"
"25","Cymbopetalum brasiliense",1097798000,-8.6992,-35.8561,"gass84"
"26","Cymbopetalum brasiliense",1587313862,-8.5832,-35.5546,"gass84"
"27","Cymbopetalum brasiliense",1042685695,-1.325385,-61.95,"gass84,gdativ,iddatunl"
"28","Cymbopetalum brasiliense",1424467985,-1.325278,-61.948333,"cdround,gass84"
"29","Cymbopetalum brasiliense",1089180994,-8.7325,-35.843889,"gass84"
"30","Cymbopetalum brasiliense",1089182528,-8.658333,-35.9,"gass84,iddatunl"
"31","Cymbopetalum brasiliense",1587309154,-9.2,-35,"gass84"
"32","Cymbopetalum brasiliense",1424300110,-15.391667,-39.565278,"cdround,gass84"
"33","Cymbopetalum brasiliense",1094881534,-13.666667,-39.016667,"gass84"
"34","Cymbopetalum brasiliense",1658210640,-7.838889,-35.002778,"cdround,gass84"
"35","Cymbopetalum brasiliense",1658214373,-7.8375,-35.002778,"cdround,gass84"
"36","Cymbopetalum brasiliense",1658214369,-7.785556,-35.020833,"cdround,gass84"
"37","Cymbopetalum brasiliense",1042680546,-1,-59,"gass84,gdativ,iddatunl"
"38","Cymbopetalum brasiliense",1097570131,-0.159222,-67.095278,"gass84,iddatunl"
"39","Cymbopetalum brasiliense",1077574399,-7.818667,-35.020667,"gass84"
"40","Cymbopetalum brasiliense",1456160798,3.36622,-58.1886,"gass84"
"41","Cymbopetalum brasiliense",1424271299,-5.421667,-49.0925,"cdround,gass84,iddatunl"
"42","Cymbopetalum brasiliense",1424290053,-10.046944,-67.795278,"cdround,gass84"
"43","Cymbopetalum brasiliense",1087077932,-7.780278,-35.015278,"cdround,gass84"
