"","name","key","decimalLatitude","decimalLongitude","issues"
"1","Genipa americana",1819185417,-22.753889,-41.996944,"cdround,gass84,rdatm"
"2","Genipa americana",1585209071,-7.270906,-52.607042,"gass84"
"3","Genipa americana",1657213098,-10.4923,-37.0939,"gass84"
"4","Genipa americana",1806876413,-11.019444,-55.365,"gass84"
"5","Genipa americana",1658215384,-8.088889,-35.022389,"gass84,iddatunl"
"6","Genipa americana",1676475172,-16.2778,-39.025,"gass84"
"7","Genipa americana",1658204343,-5.089167,-42.801944,"gass84,preneglat,preneglon"
"8","Genipa americana",1658204331,-4.398139,-41.772056,"gass84,preneglat,preneglon"
"9","Genipa americana",1801100695,-5.303772,-41.536761,"gass84"
"10","Genipa americana",1585302507,14.21225,-89.54175,""
"11","Genipa americana",1264695961,-10.1519,-36.3821,"gass84"
"12","Genipa americana",1638347368,-12.7275,-39.181944,"cdround,gass84"
"13","Genipa americana",1503030255,-3.632222,-40.406667,"gass84"
"14","Genipa americana",1270103907,-15.083361,-59.885639,"gass84"
"15","Genipa americana",1324597586,-16.604972,-44.098917,"gass84,iddatunl"
"16","Genipa americana",1701780501,14.20246,-89.52431,""
"17","Genipa americana",1801097242,-16.868333,-42.056111,"gass84"
"18","Genipa americana",1570685651,7.014497,-70.743794,"cdround"
"19","Genipa americana",1499617224,-4.025194,-38.328178,"gass84"
"20","Genipa americana",1657212655,-10.977094,-37.218275,"gass84"
"21","Genipa americana",1585301588,14.35697,-89.41844,""
"22","Genipa americana",1570685755,7.013611,-70.742861,"cdround"
"23","Genipa americana",1499624272,-1.916667,-47.778333,"gass84"
"24","Genipa americana",1707497915,3.835328,-76.294913,"gass84,iddatunl"
"25","Genipa americana",1427572532,10.989306,-74.067167,"cdround,muluriiv"
"26","Genipa americana",1424511571,-22.366667,-44.8,"cdround,gass84"
"27","Genipa americana",1328371904,3.549778,-71.785444,"cdround,gass84"
"28","Genipa americana",1090762661,-20.407551,-54.61622,"gass84"
"29","Genipa americana",1836716494,-16.5147,-56.2978,"gass84"
