"","name","key","decimalLatitude","decimalLongitude","issues"
"1","Guatteria candolleana",1423926895,-22.436111,-42.521944,"cdround,gass84,iddatunl,rdatm"
"2","Guatteria candolleana",1291012296,-16.474722,-41.175833,"gass84"
"3","Guatteria candolleana",1090876671,-19.3911,-40.0722,"gass84,iddatunl"
"4","Guatteria candolleana",1090512934,-14.416667,-39.083333,"gass84"
"5","Guatteria candolleana",1423899307,-16.0275,-39.171667,"cdround,gass84"
"6","Guatteria candolleana",1424099944,-22.276111,-42.843611,"cdround,gass84,rdatm"
"7","Guatteria candolleana",1208841348,-16.233333,-39,"gass84,iddatunl"
"8","Guatteria candolleana",1090511916,-14.499722,-39.115,"gass84"
"9","Guatteria candolleana",1208841377,-11.233333,-38.983333,"gass84,iddatunl"
"10","Guatteria candolleana",1208841327,-16.233333,-39,"gass84,iddatunl"
"11","Guatteria candolleana",1077212416,-16.433333,-39.05,"gass84,iddatunl"
"12","Guatteria candolleana",1097126658,-16.13,-39.25,"gass84,iddatunl"
"13","Guatteria candolleana",1260816590,-16.13333,-39.25,"gass84,iddatunl"
"14","Guatteria candolleana",1208841341,-16.133333,-39.25,"gass84,iddatunl"
"15","Guatteria candolleana",1097236131,-16.25,-39.025,"gass84,iddatunl"
"16","Guatteria candolleana",1098090282,-16.298624,-39.044099,"cdround,iddatunl"
"17","Guatteria candolleana",1097258813,-17.2,-39.23,"gass84,iddatunl"
"18","Guatteria candolleana",1094758121,-17.2,-39.233333,"gass84"
"19","Guatteria candolleana",1291041288,-16,-39.05,"gass84"
"20","Guatteria candolleana",1260814748,-16,-39.05,"gass84"
"21","Guatteria candolleana",1098074446,-16,-39.05,"gass84,iddatunl"
"22","Guatteria candolleana",1098095312,-15.899167,-38.902222,"cdround,gass84,iddatunl"
"23","Guatteria candolleana",1228225659,-22,-42.5,"gass84,iddatunl"
"24","Guatteria candolleana",1097580892,-22.6569559555097,-43.0407567361808,"cdrep,iddatunl,muluriiv"
"25","Guatteria candolleana",1144686254,-10.77306,-53.08972,"gass84,rdativ"
"26","Guatteria candolleana",1090422533,-17.2,-39.233333,"gass84,txmatfuz"
"27","Guatteria candolleana",1090495485,-14.586111,-39.117222,"gass84"
"28","Guatteria candolleana",1144686279,-10.77311,-53.08982,"gass84,rdativ"
"29","Guatteria candolleana",1228369716,-10.8339,-52.8731,"gass84"
"30","Guatteria candolleana",1090455549,-16.133333,-39.25,"gass84"
"31","Guatteria candolleana",1228242543,-10.8339,-52.8731,"gass84"
"32","Guatteria candolleana",1090412974,-16,-39.05,"gass84"
"33","Guatteria candolleana",1097931990,-22.5309,-43.0084,"gass84,rdativ"
"34","Guatteria candolleana",1090422313,-16.25,-39.025,"gass84,txmatfuz"
"35","Guatteria candolleana",1090497045,-16.233333,-39,"gass84"
