"","name","key","decimalLatitude","decimalLongitude","issues"
"1","Guettarda viburnoides",1705511639,-3.175,-41.866944,"gass84"
"2","Guettarda viburnoides",1705511649,-4.099722,-41.713889,"gass84"
"3","Guettarda viburnoides",1657213241,-10.29143,-36.27417,"gass84"
"4","Guettarda viburnoides",1837383275,-18.149306,-53.405222,"gass84"
"5","Guettarda viburnoides",1423912739,-28.3575,-55.0275,"gass84,preswcd,rdatm"
"6","Guettarda viburnoides",1503030136,-3.226111,-40.929444,"gass84"
"7","Guettarda viburnoides",1638347325,-12.530278,-38.299167,"cdround,gass84,rdatm"
"8","Guettarda viburnoides",1503740654,-18.835555,-44.393055,"cdround,gass84"
"9","Guettarda viburnoides",1801095985,-18.835556,-44.393056,"gass84,iddatunl"
"10","Guettarda viburnoides",1503029246,-3.001389,-41.151667,"gass84"
"11","Guettarda viburnoides",1587319929,-9.53597,-35.5957,"gass84"
"12","Guettarda viburnoides",1455707379,-9.535833,-35.596667,"cdround,gass84"
"13","Guettarda viburnoides",1455752978,-12.516667,-38.283333,"gass84,iddatunl"
"14","Guettarda viburnoides",1423837743,-14.583333,-42.526389,"gass84,iddatunl"
"15","Guettarda viburnoides",1252590800,-6.988333,-38.446389,"gass84"
"16","Guettarda viburnoides",1423837741,-14.781667,-42.580278,"gass84,iddatunl"
"17","Guettarda viburnoides",1585209129,-7.6425,-38.725833,"gass84"
"18","Guettarda viburnoides",1423927196,-6.988055,-38.445278,"cdround,gass84"
"19","Guettarda viburnoides",1657212890,-11.858586,-37.953039,"gass84"
"20","Guettarda viburnoides",1275054474,-11.0429,-37.1944,"gass84,iddatunl"
"21","Guettarda viburnoides",1098942895,-15.892222,-47.857222,"gass84,iddatunl"
"22","Guettarda viburnoides",1099620153,-20.29025,-46.904611,"gass84,iddatunl"
"23","Guettarda viburnoides",1658209248,-20.17249,-46.54166,"gass84,iddatunl"
"24","Guettarda viburnoides",1424515978,-22.925833,-42.455,"cdround,gass84"
"25","Guettarda viburnoides",1423837727,-14.759167,-42.5775,"gass84,iddatunl"
"26","Guettarda viburnoides",1303206003,-11.933333,-37.933333,"gass84,iddatunl"
"27","Guettarda viburnoides",1303205709,-3,-39,"gass84"
"28","Guettarda viburnoides",1423897264,-21.344167,-40.969167,"cdround,gass84"
"29","Guettarda viburnoides",1702645896,-3.807,-39.3725,"gass84"
"30","Guettarda viburnoides",1226938831,-9.165587,-35.98672,"gass84"
"31","Guettarda viburnoides",1316168662,-10.562992,-36.203742,"gass84"
"32","Guettarda viburnoides",1570759028,-21.008611,-54.897306,"gass84"
"33","Guettarda viburnoides",1303591430,-18.157611,-53.40875,"gass84"
"34","Guettarda viburnoides",1143428584,-15.64675,-57.207556,"gass84"
"35","Guettarda viburnoides",1135818283,-3.840556,-40.898611,"gass84"
"36","Guettarda viburnoides",1087693709,-10.789167,-37.054167,"gass84"
"37","Guettarda viburnoides",1213658758,-17.172778,-50.834444,"gass84"
"38","Guettarda viburnoides",1090938176,-13.95,-38.946944,"gass84,iddatunl"
"39","Guettarda viburnoides",1077246588,-13.963333,-38.946944,"gass84,iddatunl"
"40","Guettarda viburnoides",1077246702,-11.8,-37.6,"gass84,iddatunl"
"41","Guettarda viburnoides",1087695006,-10.998333,-37.310278,"gass84"
"42","Guettarda viburnoides",1087694550,-11.014722,-37.206389,"gass84"
"43","Guettarda viburnoides",1087663120,-19.953072,-43.906683,"gass84"
"44","Guettarda viburnoides",1252590602,-7.051389,-38.575556,"gass84"
"45","Guettarda viburnoides",1424509499,-19.953056,-43.906667,"cdround,gass84,rdatm"
"46","Guettarda viburnoides",1077249297,-11.55,-37.783333,"gass84,iddatunl"
"47","Guettarda viburnoides",1089195280,-7.184722,-34.818056,"gass84"
"48","Guettarda viburnoides",1090832636,-18.782778,-48.446111,"gass84"
