"","name","key","decimalLatitude","decimalLongitude","issues"
"1","Hyeronima alchorneoides",1585202360,-25.178,-48.3033,"gass84"
"2","Hyeronima alchorneoides",1702875299,7.07845,-74.174683,"cdround,gass84"
"3","Hyeronima alchorneoides",1563171628,-26.82,-49.5,"gass84"
"4","Hyeronima alchorneoides",1077415956,-29.07,-49.86,"gass84"
"5","Hyeronima alchorneoides",1077415978,-26.535,-49.043889,"cdround,gass84"
"6","Hyeronima alchorneoides",1563171454,-26.534167,-49.043611,"cdround,gass84"
"7","Hyeronima alchorneoides",1077415951,-26.776667,-49.031944,"cdround,gass84"
"8","Hyeronima alchorneoides",1087694764,-10.806389,-37.169722,"gass84"
"9","Hyeronima alchorneoides",1258071020,-14.09025,-67.816278,"cdround,gass84,iddatunl"
"10","Hyeronima alchorneoides",1563895291,-16.199444,-39.420278,"cdround,gass84,rdatm"
"11","Hyeronima alchorneoides",1077415968,-27.058889,-49.086389,"cdround,gass84"
"12","Hyeronima alchorneoides",1077415952,-26.901667,-49.376667,"cdround,gass84"
"13","Hyeronima alchorneoides",1077415975,-26.762778,-49.211944,"cdround,gass84"
"14","Hyeronima alchorneoides",1077415985,-26.781667,-49.411667,"cdround,gass84"
"15","Hyeronima alchorneoides",1077415955,-26.818333,-49.128056,"cdround,gass84"
"16","Hyeronima alchorneoides",1077377459,-27.187525,-48.552561,"gass84"
"17","Hyeronima alchorneoides",1094913047,-13.685278,-39.043056,"gass84,iddatunl"
"18","Hyeronima alchorneoides",1077237845,-12.966667,-38.5,"gass84,iddatunl"
"19","Hyeronima alchorneoides",1077238715,-12.933333,-39.516667,"gass84,iddatunl,txmatfuz"
"20","Hyeronima alchorneoides",1094897691,-13.106389,-38.784167,"gass84"
"21","Hyeronima alchorneoides",1455388227,-8.918472,-35.946306,"gass84"
"22","Hyeronima alchorneoides",1077415990,-28.529167,-49.497222,"cdround,gass84"
"23","Hyeronima alchorneoides",1077415982,-28.526389,-49.413056,"cdround,gass84"
"24","Hyeronima alchorneoides",1077415994,-27.006944,-49.118056,"cdround,gass84"
"25","Hyeronima alchorneoides",1077415949,-26.462222,-49.051667,"cdround,gass84"
"26","Hyeronima alchorneoides",1077415954,-28.17,-49.41,"gass84"
"27","Hyeronima alchorneoides",1077415967,-26.365,-49.235555,"cdround,gass84"
"28","Hyeronima alchorneoides",1077415940,-26.365,-49.266944,"cdround,gass84"
"29","Hyeronima alchorneoides",1090747093,-17.738361,-57.691056,"gass84"
"30","Hyeronima alchorneoides",1658202269,-16.956731,-48.859886,"gass84"
"31","Hyeronima alchorneoides",1094902052,-23.850556,-46.943333,"gass84"
"32","Hyeronima alchorneoides",1090705954,-18.757778,-51.356944,"gass84"
"33","Hyeronima alchorneoides",1086910681,-23.850556,-46.943333,"gass84"
"34","Hyeronima alchorneoides",1077415983,-27.116111,-49.179722,"cdround,gass84"
"35","Hyeronima alchorneoides",1077416002,-26.28,-48.961944,"cdround,gass84"
"36","Hyeronima alchorneoides",1095636266,-26.28,-48.961944,"gass84,txmatfuz"
"37","Hyeronima alchorneoides",1095636277,-26.999722,-48.780278,"gass84"
"38","Hyeronima alchorneoides",1077415979,-27.181944,-48.871111,"cdround,gass84"
"39","Hyeronima alchorneoides",1077415969,-26.999722,-48.780278,"cdround,gass84"
"40","Hyeronima alchorneoides",1077415996,-28.71,-49.77,"gass84"
"41","Hyeronima alchorneoides",1086911788,-24.444167,-48.616111,"gass84"
"42","Hyeronima alchorneoides",1077415965,-26.925833,-49.245,"cdround,gass84"
"43","Hyeronima alchorneoides",1077415963,-27.18,-49.68,"gass84"
"44","Hyeronima alchorneoides",1086907800,-23.529167,-48.780278,"gass84"
"45","Hyeronima alchorneoides",1658202229,-16.956731,-48.859886,"gass84"
"46","Hyeronima alchorneoides",1065432577,5.69036,-77.25397,""
"47","Hyeronima alchorneoides",1658202255,-16.956731,-48.859886,"gass84"
"48","Hyeronima alchorneoides",1090529144,-11.664167,-46.680389,"gass84,iddatunl"
"49","Hyeronima alchorneoides",1087386366,-11.664167,-46.680278,"gass84,iddatunl"
"50","Hyeronima alchorneoides",1257890476,-17.101111,-64.785555,"cdround,gass84,iddatunl"
"51","Hyeronima alchorneoides",1658202244,-16.956731,-48.859886,"gass84"
"52","Hyeronima alchorneoides",1257856807,-17.101111,-64.785555,"cdround,elnn,gass84,iddatunl"
"53","Hyeronima alchorneoides",1658202272,-16.956731,-48.859886,"gass84"
"54","Hyeronima alchorneoides",1090659394,-26.446139,-48.816686,"gass84"
"55","Hyeronima alchorneoides",1096933468,-19.209417,-39.962778,"gass84"
"56","Hyeronima alchorneoides",1096933454,-19.147778,-40.0865,"gass84"
"57","Hyeronima alchorneoides",1087674364,-10.918056,-37.65,"gass84"
"58","Hyeronima alchorneoides",1077416000,-26.323611,-49.307222,"cdround,gass84"
"59","Hyeronima alchorneoides",1089251710,-7.276667,-39.278333,"gass84"
"60","Hyeronima alchorneoides",1094867352,-13.511944,-41.9625,"gass84"
"61","Hyeronima alchorneoides",1094845004,-14.703611,-39.6025,"gass84,iddatunl"
"62","Hyeronima alchorneoides",1077416003,-26.905556,-49.079167,"cdround,gass84"
"63","Hyeronima alchorneoides",1077415964,-26.905556,-49.079167,"cdround,gass84"
"64","Hyeronima alchorneoides",1086905083,-25.0025,-48.064444,"gass84"
"65","Hyeronima alchorneoides",1585197648,-19.766667,-55.233333,"gass84,txmatfuz"
"66","Hyeronima alchorneoides",1260447018,0,-76.766667,"cdround,gass84,iddatunl"
"67","Hyeronima alchorneoides",1135912865,-23.0333,-48.183333,"gass84"
"68","Hyeronima alchorneoides",1086909549,-23.226944,-47.952778,"gass84"
"69","Hyeronima alchorneoides",1099302342,-15.505972,-55.228417,"gass84"
"70","Hyeronima alchorneoides",1257710988,-16.216667,-66.4,"cdround,gass84,iddatunl"
"71","Hyeronima alchorneoides",1257710552,-16.216667,-66.416667,"cdround,gass84,iddatunl"
"72","Hyeronima alchorneoides",1260417821,-0.866667,-76.3,"cdround,gass84"
"73","Hyeronima alchorneoides",1260410681,-0.75,-75.966667,"cdround,gass84"
"74","Hyeronima alchorneoides",1094797267,-19.588056,-42.549722,"gass84"
"75","Hyeronima alchorneoides",1077415972,-27.056667,-49.087778,"cdround,gass84"
"76","Hyeronima alchorneoides",1077415992,-27.056667,-49.087778,"cdround,gass84"
"77","Hyeronima alchorneoides",1077325032,-20.355556,-55.689444,"gass84"
"78","Hyeronima alchorneoides",142963321,7.75,-81.58,"gass84"
"79","Hyeronima alchorneoides",30439588,7.23,-81.9,"gass84"
"80","Hyeronima alchorneoides",142963323,7.76,-81.55,"gass84"
"81","Hyeronima alchorneoides",1260313430,-3.96666,-79.06666,"gass84"
"82","Hyeronima alchorneoides",142963386,-14.18,-67.97,"gass84"
"83","Hyeronima alchorneoides",142963385,-14.18,-67.97,"gass84"
"84","Hyeronima alchorneoides",142963388,-14.19,-67.94,"gass84"
"85","Hyeronima alchorneoides",142963387,-14.19,-67.94,"gass84"
"86","Hyeronima alchorneoides",142963383,-14.19,-67.93,"gass84"
"87","Hyeronima alchorneoides",142963381,-14.22,-67.93,"gass84"
"88","Hyeronima alchorneoides",142963384,-14.22,-67.93,"gass84"
"89","Hyeronima alchorneoides",142963382,-14.22,-67.93,"gass84"
"90","Hyeronima alchorneoides",142963378,-14.17,-67.91,"gass84"
"91","Hyeronima alchorneoides",30439594,7.75,-81.56,"gass84"
