"","name","key","decimalLatitude","decimalLongitude","issues"
"1","Inga marginata",1094928342,-15.158333,-39.535,"gass84"
"2","Inga marginata",1261012106,-0.81666,-77.58333,"gass84,iddatunl"
"3","Inga marginata",1261011514,-1.06666,-77.61666,"gass84"
"4","Inga marginata",1261010610,-1.06666,-77.51666,"gass84"
"5","Inga marginata",1261009533,-4.033333,-79.016667,"gass84,iddatunl"
"6","Inga marginata",1261009615,-0.63333,-77.83333,"gass84,iddatunl"
"7","Inga marginata",1261010464,-0.83333,-77.56666,"gass84,iddatunl"
"8","Inga marginata",1261010178,-3.59194,-78.61778,"gass84,iddatunl"
"9","Inga marginata",1260888483,10.43138,-84.00361,"gass84,iddatunl"
"10","Inga marginata",1260777507,-17.08861,-65.49305,"gass84"
"11","Inga marginata",1261012154,-3.96666,-79.06666,"gass84,iddatunl"
"12","Inga marginata",1837380512,-28.169444,-49.049722,"cdround,gass84"
"13","Inga marginata",1077404038,-27.116944,-49.206111,"cdround,gass84"
"14","Inga marginata",1226940017,-28.62,-49.59,"gass84"
"15","Inga marginata",1094712344,-28.713889,-49.300278,"cdround,gass84"
"16","Inga marginata",1135945939,-24.07695,-47.45029,"gass84"
"17","Inga marginata",1135945900,-24.16651,-47.55755,"gass84"
"18","Inga marginata",1077404059,-26.818889,-49.13,"cdround,gass84"
"19","Inga marginata",1077404029,-27.056944,-49.086667,"cdround,gass84"
"20","Inga marginata",1077404052,-26.418333,-49.350556,"cdround,gass84"
"21","Inga marginata",1143421686,-24.100556,-50.706944,"cdround,gass84"
"22","Inga marginata",1135942647,-22.8375,-46.511111,"gass84,iddatunl"
"23","Inga marginata",1077404074,-28.529167,-49.497222,"cdround,gass84"
"24","Inga marginata",1077404068,-26.462222,-49.051667,"cdround,gass84"
"25","Inga marginata",1077404047,-26.908611,-50.129167,"cdround,gass84"
"26","Inga marginata",1077404063,-27.531944,-48.864167,"cdround,gass84"
"27","Inga marginata",1077404045,-26.369444,-49.048611,"cdround,gass84"
"28","Inga marginata",1077404094,-28.35,-49.499722,"cdround,gass84"
"29","Inga marginata",1077404086,-28.17,-49.41,"gass84"
"30","Inga marginata",1077404050,-26.911944,-49.588611,"cdround,gass84"
"31","Inga marginata",1077404083,-29.249722,-50.129722,"cdround,gass84"
"32","Inga marginata",1077404093,-27.628889,-48.780833,"cdround,gass84"
"33","Inga marginata",1077404080,-29.178889,-50.022778,"cdround,gass84"
"34","Inga marginata",1086680439,-20.516,-41.084,"gass84,iddatunl,txmatfuz"
"35","Inga marginata",1094712324,-27.09,-52.47,"gass84"
"36","Inga marginata",1077404048,-27.27,-52.695,"gass84"
"37","Inga marginata",1094712307,-27.068056,-53.161389,"cdround,gass84"
"38","Inga marginata",1077404033,-26.998611,-52.876111,"cdround,gass84"
"39","Inga marginata",1077404058,-27.091389,-53.1,"cdround,gass84"
"40","Inga marginata",1123819877,-20.516111,-41.083611,"gass84"
"41","Inga marginata",1077404078,-27.171389,-52.641667,"cdround,gass84"
"42","Inga marginata",1077404065,-27.112222,-53.596389,"cdround,gass84"
"43","Inga marginata",1094712333,-27.252778,-52.498333,"cdround,gass84"
"44","Inga marginata",1077404062,-26.996667,-53.286111,"cdround,gass84"
"45","Inga marginata",1077404066,-26.728889,-53.410278,"cdround,gass84"
"46","Inga marginata",1077404070,-26.955556,-53.459722,"cdround,gass84"
"47","Inga marginata",1123822278,-20.519444,-41.0875,"gass84"
"48","Inga marginata",1077404079,-28.172222,-49.495833,"cdround,gass84"
"49","Inga marginata",1077404035,-26.566667,-53.265278,"cdround,gass84"
"50","Inga marginata",1094717390,-27.09,-49.049444,"cdround,gass84"
"51","Inga marginata",1077404051,-27.000556,-49.050833,"cdround,gass84"
"52","Inga marginata",1077404082,-26.999722,-48.780278,"cdround,gass84"
"53","Inga marginata",1077404023,-27.181944,-48.871111,"cdround,gass84"
"54","Inga marginata",1077404054,-26.454167,-48.929167,"cdround,gass84"
"55","Inga marginata",1570756845,-28.847222,-49.453056,"cdround,gass84"
"56","Inga marginata",1077404075,-26.73,-50.04,"gass84"
"57","Inga marginata",1135942531,-23.516667,-45.033333,"gass84"
"58","Inga marginata",1090702093,-13.413889,-52.354444,"cdround,gass84"
"59","Inga marginata",216056491,-12.5443,-70.0819,"gass84"
"60","Inga marginata",216056485,-12.538,-70.0822,"gass84"
"61","Inga marginata",216056486,-12.5431,-70.0818,"gass84"
"62","Inga marginata",216056522,-12.545,-70.0854,"gass84"
"63","Inga marginata",216056540,-12.5157,-70.0819,"gass84"
"64","Inga marginata",1077404049,-26.460278,-49.948889,"cdround,gass84"
"65","Inga marginata",1077404089,-27.007778,-49.111944,"cdround,gass84,iddatunl"
"66","Inga marginata",1123827598,-27.365,-52.773611,"gass84"
"67","Inga marginata",1123809635,-19.887222,-40.575556,"gass84"
"68","Inga marginata",1123808690,-20.058611,-40.470639,"gass84"
"69","Inga marginata",216056705,-12.5531,-70.1141,"gass84"
"70","Inga marginata",216056636,-12.5484,-70.1285,"gass84"
