"","name","key","decimalLatitude","decimalLongitude","issues"
"1","Licania hoehnei",1563894787,-16.560278,-39.420278,"cdround,gass84"
"2","Licania hoehnei",1094931888,-14.256667,-39.028333,"gass84"
"3","Licania hoehnei",1087538287,-13.717056,-39.637139,"gass84"
"4","Licania hoehnei",1570743922,-23.360616,-45.109767,"gass84"
"5","Licania hoehnei",1089098951,-23.195,-45.564167,"gass84,iddatunl"
"6","Licania hoehnei",1089099583,-23.371667,-45.301389,"gass84,iddatunl"
"7","Licania hoehnei",1424370970,-22.474444,-42.931944,"cdround,gass84"
"8","Licania hoehnei",1658209084,-18.2675,-43.521111,"gass84,iddatunl"
"9","Licania hoehnei",1089099452,-23.234722,-45.053333,"gass84,iddatunl"
"10","Licania hoehnei",1089103550,-23.193056,-45.040556,"gass84,iddatunl"
"11","Licania hoehnei",1090575824,-23.373498,-45.080223,"gass84"
"12","Licania hoehnei",1090576678,-23.373496,-45.082142,"gass84"
"13","Licania hoehnei",1090577146,-23.367009,-45.083511,"gass84"
"14","Licania hoehnei",1423907021,-22.564444,-43.463889,"cdround,gass84"
"15","Licania hoehnei",1089089290,-23.366389,-45.084167,"gass84,iddatunl"
"16","Licania hoehnei",1097822879,-14.7058,-39.6033,"gass84,iddatunl,muluriiv"
"17","Licania hoehnei",1424312689,-22.605833,-42.0175,"cdround,gass84"
"18","Licania hoehnei",1424431380,-22.456944,-42.834444,"cdround,gass84,rdatm"
"19","Licania hoehnei",1089087758,-23.366667,-44.8,"gass84"
"20","Licania hoehnei",1089110107,-23.3025,-44.816944,"gass84"
"21","Licania hoehnei",1090562747,-24.608333,-47.8825,"gass84"
"22","Licania hoehnei",1090687594,-24.608333,-47.885,"gass84,iddatunl"
"23","Licania hoehnei",1424454013,-24.608333,-47.885,"cdround,cudc,cuiv,gass84,iddatunl,rdatm"
"24","Licania hoehnei",1258329817,-13.58333,-60.9,"gass84,iddatunl"
"25","Licania hoehnei",1260562245,-15.15,-39.08333,"gass84,iddatunl"
"26","Licania hoehnei",1424060171,-15.15,-39.083333,"cdround,gass84,iddatunl,muluriiv"
"27","Licania hoehnei",1094170714,-15.15,-39.083333,"gass84"
"28","Licania hoehnei",1097363977,-15.15,-39.08,"gass84,iddatunl"
"29","Licania hoehnei",1261906734,-13.615833,-61.557778,"cdround,gass84,iddatunl"
