"","name","key","decimalLatitude","decimalLongitude","issues"
"1","Myrciaria glazioviana",1668762952,-13.876389,-39.151667,"gass84,iddatunl"
"2","Myrciaria glazioviana",1576193896,-22.979722,-43.241667,"gass84"
"3","Myrciaria glazioviana",1423940925,-22.58,-43.435833,"cdround,gass84,rdatm"
"4","Myrciaria glazioviana",1576193882,-22.58,-43.458333,"gass84"
"5","Myrciaria glazioviana",1424513503,-22.315833,-44.501944,"cdround,gass84,rdatm"
"6","Myrciaria glazioviana",1420314962,-22.955,-43.288889,"cdround,gass84,iddatunl"
"7","Myrciaria glazioviana",1423897337,-21.459167,-41.608611,"cdround,gass84"
"8","Myrciaria glazioviana",1077411663,-27.613611,-48.513611,"cdround,gass84"
"9","Myrciaria glazioviana",1423895153,-13.388611,-40.472778,"cdround,gass84"
"10","Myrciaria glazioviana",1265090442,-13.38861,-40.47278,"gass84"
"11","Myrciaria glazioviana",1264698155,-4.271111,-38.92,"cdround,gass84,iddatunl"
"12","Myrciaria glazioviana",1264698150,-4.271111,-38.92,"cdround,gass84,iddatunl"
"13","Myrciaria glazioviana",1264698163,-3.903333,-38.718889,"cdround,gass84,iddatunl"
"14","Myrciaria glazioviana",1264698167,-3.903333,-38.718889,"cdround,gass84,iddatunl"
"15","Myrciaria glazioviana",1257980649,-9.244167,-36.424722,"cdround,gass84,iddatunl"
"16","Myrciaria glazioviana",1097796002,-9.2442,-36.4247,"gass84,iddatunl"
"17","Myrciaria glazioviana",1089186578,-9.244167,-36.424722,"gass84,iddatunl"
"18","Myrciaria glazioviana",1097120956,-9.2442,-36.4247,"gass84,iddatunl"
"19","Myrciaria glazioviana",1089186585,-9.244167,-36.424722,"gass84,iddatunl"
"20","Myrciaria glazioviana",1213655494,-22.537222,-43.065833,"gass84,iddatunl"
"21","Myrciaria glazioviana",1213655482,-22.8075,-41.945833,"gass84,iddatunl"
"22","Myrciaria glazioviana",1086913571,-23.7,-46.75,"gass84"
"23","Myrciaria glazioviana",1424463291,-8.311389,-34.979167,"cdround,gass84,rdatm"
"24","Myrciaria glazioviana",1264698138,-8.311389,-34.979167,"cdround,gass84,iddatunl"
"25","Myrciaria glazioviana",1424465203,-7.9,-35.033333,"cdround,gass84"
"26","Myrciaria glazioviana",1423909060,-22.494722,-43.567222,"cdround,gass84,rdatm"
"27","Myrciaria glazioviana",1077412985,-26.885833,-49.089722,"cdround,gass84"
"28","Myrciaria glazioviana",1424465242,-8.016667,-35.183333,"cdround,gass84"
"29","Myrciaria glazioviana",1077381642,-27.268611,-49.051944,"cdround,gass84"
"30","Myrciaria glazioviana",1585338895,-22.915278,-43.000278,"cdround,gass84"
"31","Myrciaria glazioviana",1208829024,-20.894167,-42.1325,"gass84,iddatunl"
"32","Myrciaria glazioviana",1424265431,-20.894167,-42.1325,"cdround,gass84,iddatunl"
"33","Myrciaria glazioviana",1424141967,-22.964444,-43.022778,"cdround,gass84,iddatunl"
"34","Myrciaria glazioviana",1123805271,-20.939444,-41.550556,"gass84"
"35","Myrciaria glazioviana",1424076404,-22.731111,-41.969444,"cdround,gass84,iddatunl"
"36","Myrciaria glazioviana",1424076374,-22.587222,-43.425556,"cdround,gass84,rdatm"
"37","Myrciaria glazioviana",1424098898,-22.587222,-43.425556,"cdround,gass84,rdatm"
"38","Myrciaria glazioviana",1213624644,-19.82,-43.96,"gass84,iddatunl"
"39","Myrciaria glazioviana",1123793805,-19.935833,-40.616667,"gass84"
"40","Myrciaria glazioviana",1123789782,-19.935833,-40.616667,"gass84"
"41","Myrciaria glazioviana",1213624643,-21.14,-44.26,"gass84,iddatunl"
"42","Myrciaria glazioviana",1424175412,-22.5,-42.25,"gass84"
"43","Myrciaria glazioviana",1424175551,-22.5,-42.25,"gass84"
"44","Myrciaria glazioviana",1424174223,-22.5,-42.25,"gass84,rdatm"
"45","Myrciaria glazioviana",1424076779,-22.7,-47.633333,"cdround,gass84,iddatunl"
"46","Myrciaria glazioviana",1087361277,-22.583333,-43.033333,"gass84"
"47","Myrciaria glazioviana",1213624707,-22.583333,-43.033333,"gass84"
"48","Myrciaria glazioviana",1424076390,-22.583333,-43.033333,"cdround,gass84,rdatm"
"49","Myrciaria glazioviana",1260608529,-22.58333,-43.03333,"gass84"
"50","Myrciaria glazioviana",1424076434,-22.583333,-43.033333,"cdround,gass84"
"51","Myrciaria glazioviana",1090551060,-22.801017,-47.042331,"gass84"
"52","Myrciaria glazioviana",1090545412,-22.9056,-47.0608,"gass84"
"53","Myrciaria glazioviana",1090539392,-22.87025,-47.07717,"gass84"
"54","Myrciaria glazioviana",1090555566,-23.5475,-46.6361,"gass84"
"55","Myrciaria glazioviana",1228609627,-10.8339,-52.8731,"gass84"
"56","Myrciaria glazioviana",1424076444,-22.583333,-43.033333,"cdround,gass84"
"57","Myrciaria glazioviana",1090465276,-22.583333,-43.033333,"gass84"
"58","Myrciaria glazioviana",1087361136,-22.583333,-43.033333,"gass84"
"59","Myrciaria glazioviana",1228268762,-10.8339,-52.8731,"gass84"
