"","name","key","decimalLatitude","decimalLongitude","issues"
"1","Ouratea semiserrata",1806875863,-20.135,-43.486944,"gass84"
"2","Ouratea semiserrata",1563169765,-22.413889,-44.848333,"gass84"
"3","Ouratea semiserrata",1424479427,-21.709167,-43.893611,"cdround,gass84"
"4","Ouratea semiserrata",1265088409,-21.70917,-43.89361,"gass84"
"5","Ouratea semiserrata",1143418177,-21.718889,-43.901111,"gass84"
"6","Ouratea semiserrata",1090965256,-21.728389,-44.961889,"gass84,iddatunl"
"7","Ouratea semiserrata",1424457662,-22.501389,-45.1375,"cdround,gass84,rdatm"
"8","Ouratea semiserrata",1424477377,-22.498611,-45.131389,"cdround,gass84,rdatm"
"9","Ouratea semiserrata",1077298239,-21.986667,-43.887778,"gass84,iddatunl"
"10","Ouratea semiserrata",1090629462,-19.331083,-43.524444,"gass84,iddatunl"
"11","Ouratea semiserrata",1438023160,-19.349167,-43.616806,"gass84"
"12","Ouratea semiserrata",1424378460,-20.358889,-43.503333,"cdround,gass84"
"13","Ouratea semiserrata",1094892570,-12.765278,-41.312778,"gass84"
"14","Ouratea semiserrata",1094892593,-12.765833,-41.311111,"gass84"
"15","Ouratea semiserrata",1087659468,-20.038333,-43.5925,"gass84"
"16","Ouratea semiserrata",1087656995,-20.107833,-43.983906,"gass84"
"17","Ouratea semiserrata",1077239820,-11.55,-41.15,"gass84,iddatunl"
"18","Ouratea semiserrata",1077474245,-10.579833,-46.501,"gass84"
"19","Ouratea semiserrata",1077474244,-10.579917,-46.396111,"gass84,iddatunl"
"20","Ouratea semiserrata",1291012769,-16.01025,-42.702778,"gass84"
"21","Ouratea semiserrata",1077232644,-11.8275,-42.136667,"gass84,iddatunl"
"22","Ouratea semiserrata",1424251826,-9.397778,-56.576944,"cdround,gass84"
"23","Ouratea semiserrata",1291012471,-20.12,-44.340972,"gass84"
"24","Ouratea semiserrata",1087647342,-19.98,-44.110833,"gass84"
"25","Ouratea semiserrata",1291012555,-20.121389,-44.362167,"gass84"
"26","Ouratea semiserrata",1291012726,-20.137361,-43.405278,"gass84"
"27","Ouratea semiserrata",1291012653,-20.050556,-44.001111,"gass84"
"28","Ouratea semiserrata",1094858752,-20.843889,-45.074722,"gass84"
"29","Ouratea semiserrata",1094844090,-14.234722,-44.197222,"gass84"
"30","Ouratea semiserrata",1291012683,-20.218806,-43.581167,"gass84"
"31","Ouratea semiserrata",1291012608,-20.093806,-43.683111,"gass84"
"32","Ouratea semiserrata",1077603322,-11.636111,-41.116667,"gass84,iddatunl"
"33","Ouratea semiserrata",1077228028,-11.636111,-41.001944,"gass84,iddatunl"
"34","Ouratea semiserrata",1089100150,-23.21437,-46.320338,"gass84,iddatunl"
"35","Ouratea semiserrata",1291012687,-20.056667,-43.691278,"gass84"
"36","Ouratea semiserrata",1423909208,-22.565278,-43.4625,"cdround,gass84"
"37","Ouratea semiserrata",1089085523,-22.9,-46.34,"gass84"
"38","Ouratea semiserrata",1424266133,-21.716667,-43.883333,"cdround,gass84"
"39","Ouratea semiserrata",1424264789,-22.449444,-44.896944,"cdround,gass84,rdatm"
"40","Ouratea semiserrata",1097835445,-21.8466417477187,-43.7933073964035,"cdrep,iddatunl"
"41","Ouratea semiserrata",1077224741,-13.233333,-41.65,"gass84,iddatunl"
"42","Ouratea semiserrata",1094840426,-13.223889,-41.1525,"gass84"
"43","Ouratea semiserrata",1424782499,-7.204556,-73.882861,"cdround,gass84"
"44","Ouratea semiserrata",1424782123,-7.115972,-74.588508,"cdround,gass84"
"45","Ouratea semiserrata",1089054700,-21.4044,-43.5259,"gass84,iddatunl"
"46","Ouratea semiserrata",1424266181,-21.678889,-43.883056,"cdround,gass84,iddatunl,rdatm"
"47","Ouratea semiserrata",1424050315,-20.416111,-43.496667,"cdround,gass84,rdatm"
"48","Ouratea semiserrata",1455400100,-19.853333,-43.383611,"gass84"
"49","Ouratea semiserrata",1094786618,-12.6675,-41.324444,"gass84,iddatunl"
"50","Ouratea semiserrata",1094774026,-13.516667,-41.95,"gass84"
"51","Ouratea semiserrata",1094807126,-13.523611,-41.961111,"gass84"
"52","Ouratea semiserrata",1135895991,-16.7244,-42.9283,"gass84,iddatunl,txmatfuz"
"53","Ouratea semiserrata",1424205918,-22.25,-44.566667,"cdround,gass84"
"54","Ouratea semiserrata",1424266111,-21.7,-43.883333,"cdround,gass84,iddatunl"
"55","Ouratea semiserrata",1424266126,-21.6925,-43.878056,"cdround,gass84"
"56","Ouratea semiserrata",1455399906,-21.966667,-43.816667,"gass84,iddatunl"
"57","Ouratea semiserrata",1455399901,-19.820278,-43.670833,"gass84,iddatunl"
"58","Ouratea semiserrata",1424249588,-20.1,-43.983333,"cdround,gass84,rdatm"
"59","Ouratea semiserrata",1424265594,-20.093055,-43.983611,"cdround,gass84,rdatm"
"60","Ouratea semiserrata",1455400046,-20.133333,-44.216667,"gass84,iddatunl"
"61","Ouratea semiserrata",1098264743,-24.23,-49.68,"gass84"
"62","Ouratea semiserrata",1097118488,-13.3,-41.85,"gass84,iddatunl"
"63","Ouratea semiserrata",1097117739,-13.33,-41.8,"gass84,iddatunl"
"64","Ouratea semiserrata",1455399669,-13.333333,-41.8,"gass84"
"65","Ouratea semiserrata",1455399419,-13.3,-41.9,"gass84,iddatunl"
"66","Ouratea semiserrata",1099623724,-13.18,-41.54,"gass84"
"67","Ouratea semiserrata",1097394412,-13.3,-41.78,"gass84,iddatunl"
"68","Ouratea semiserrata",1099623805,-13.18,-41.47,"gass84"
"69","Ouratea semiserrata",1455399439,-13.3,-41.783333,"gass84,iddatunl"
"70","Ouratea semiserrata",1097413663,-13.3,-41.83,"gass84,iddatunl"
"71","Ouratea semiserrata",1455399451,-13.3,-41.833333,"gass84,iddatunl"
"72","Ouratea semiserrata",1797442365,-14.310972,-39.026455,"iddatunl"
"73","Ouratea semiserrata",1455399396,-20.466667,-43.683333,"gass84,iddatunl"
"74","Ouratea semiserrata",1213641998,-21.84,-43.79,"gass84,iddatunl"
"75","Ouratea semiserrata",1089017753,-13.32,-41.57,"gass84,iddatunl"
"76","Ouratea semiserrata",1455399312,-13.533333,-41.95,"gass84,iddatunl"
"77","Ouratea semiserrata",1097023562,-13.53,-41.95,"gass84"
"78","Ouratea semiserrata",1455399153,-20.666667,-43.666667,"gass84,iddatunl"
"79","Ouratea semiserrata",1087568664,-19.816667,-43.666667,"gass84"
"80","Ouratea semiserrata",1260619014,-23.18333,-46.86666,"gass84"
"81","Ouratea semiserrata",1265822371,-23.1805319505007,-46.8654177175844,"cdrep"
"82","Ouratea semiserrata",1213642029,-23.55,-46.64,"gass84"
"83","Ouratea semiserrata",1097530213,-19.5174009248309,-43.7449009914025,"cdrep,iddatunl"
"84","Ouratea semiserrata",1213641989,-20.25,-43.8,"gass84"
"85","Ouratea semiserrata",1098013958,-19.822323,-43.675674,"iddatunl"
"86","Ouratea semiserrata",1097751421,-12.9,-51.87,"gass84"
"87","Ouratea semiserrata",1098222063,-12.82,-51.77,"gass84"
"88","Ouratea semiserrata",1424242337,-12.816667,-51.766667,"cdround,gass84"
"89","Ouratea semiserrata",1089097287,-12.49,-51.46,"gass84"
"90","Ouratea semiserrata",731129780,-12.81667,-51.76667,"gass84"
"91","Ouratea semiserrata",731129782,-14.73333,-52.33333,"gass84"
"92","Ouratea semiserrata",1097287397,-14.73,-52.33,"gass84"
"93","Ouratea semiserrata",1424242322,-14.733333,-52.333333,"cdround,gass84"
"94","Ouratea semiserrata",1213642009,-19.82,-43.96,"gass84"
"95","Ouratea semiserrata",1097343113,-23.646109,-46.618358,""
"96","Ouratea semiserrata",1089155294,-6.838889,-35.125833,"gass84"
"97","Ouratea semiserrata",1228453392,-10.8339,-52.8731,"gass84"
"98","Ouratea semiserrata",1095245194,-21.716666,-43.883333,"gass84"
"99","Ouratea semiserrata",1090520987,-22.466667,-44.75,"gass84"
"100","Ouratea semiserrata",1802874945,-17.009722,-46.009444,"gass84"
"101","Ouratea semiserrata",1097726996,-23.654505,-46.621883,"rdativ"
"102","Ouratea semiserrata",1095255081,-19.823333,-43.686666,"gass84"
"103","Ouratea semiserrata",1095249610,-19.333333,-43.616666,"gass84"
"104","Ouratea semiserrata",1095248576,-12.754444,-41.328888,"gass84"
