"","name","key","decimalLatitude","decimalLongitude","issues"
"1","Pseudobombax grandiflorum",1701216111,-23.32605,-51.204564,"gass84,iddatunl"
"2","Pseudobombax grandiflorum",1585196271,-19.636111,-48.135833,"gass84"
"3","Pseudobombax grandiflorum",1621081266,-19.273389,-40.720806,"gass84"
"4","Pseudobombax grandiflorum",1571707190,-22.430556,-43.244722,"cdround,gass84"
"5","Pseudobombax grandiflorum",1621081279,-19.818778,-40.685944,"gass84"
"6","Pseudobombax grandiflorum",1621081261,-19.156475,-40.060836,"gass84"
"7","Pseudobombax grandiflorum",1211325292,-19.800278,-40.693611,"gass84"
"8","Pseudobombax grandiflorum",1424509641,-1.95,-43.9,"gass84"
"9","Pseudobombax grandiflorum",1087664132,-1.953056,-43.906944,"gass84"
"10","Pseudobombax grandiflorum",1424505493,-21.818611,-41.047778,"cdround,gass84"
"11","Pseudobombax grandiflorum",1143428405,-15.651111,-57.213417,"gass84"
"12","Pseudobombax grandiflorum",1090876186,-20.65906,-40.47493,"gass84"
"13","Pseudobombax grandiflorum",1424448266,-19.133889,-41.572778,"cdround,gass84,muluriiv"
"14","Pseudobombax grandiflorum",1424482056,-22.916667,-42.233333,"cdround,gass84,rdatm"
"15","Pseudobombax grandiflorum",1090884188,-20.893889,-41.708889,"gass84,txmatfuz"
"16","Pseudobombax grandiflorum",1213667620,-17.4021,-50.0604,"gass84,iddatunl"
"17","Pseudobombax grandiflorum",1423911363,-22.696944,-43.937222,"cdround,gass84"
"18","Pseudobombax grandiflorum",1123828150,-18.898889,-41.088056,"gass84"
"19","Pseudobombax grandiflorum",1087692825,-11.033222,-37.734222,"gass84"
"20","Pseudobombax grandiflorum",1094885349,-13.4925,-39.049167,"gass84"
"21","Pseudobombax grandiflorum",1094885304,-14.384722,-39.034167,"gass84"
"22","Pseudobombax grandiflorum",1094885327,-13.713056,-38.992778,"gass84"
"23","Pseudobombax grandiflorum",1094888932,-14.818056,-40.775278,"gass84"
"24","Pseudobombax grandiflorum",1090887184,-20.97,-41.5083,"gass84"
"25","Pseudobombax grandiflorum",1094891884,-19.187778,-39.958611,"gass84"
"26","Pseudobombax grandiflorum",1094891900,-19.143333,-40.064167,"gass84"
"27","Pseudobombax grandiflorum",1094891889,-14.851111,-39.376667,"gass84"
"28","Pseudobombax grandiflorum",1094891913,-19.190556,-39.956389,"gass84"
"29","Pseudobombax grandiflorum",1094893137,-22.8275,-41.986944,"gass84"
"30","Pseudobombax grandiflorum",1094893133,-22.76,-42.0725,"gass84"
"31","Pseudobombax grandiflorum",1094905361,-13.336111,-39.021667,"gass84"
"32","Pseudobombax grandiflorum",1094905649,-13.733333,-39.023889,"gass84"
"33","Pseudobombax grandiflorum",1086733177,-13.566944,-39.038056,"gass84"
"34","Pseudobombax grandiflorum",1094897459,-13.233333,-38.984444,"gass84"
"35","Pseudobombax grandiflorum",1087508278,-22.881111,-48.492222,"gass84"
"36","Pseudobombax grandiflorum",1094883879,-22.183333,-41.393333,"gass84,iddatunl"
"37","Pseudobombax grandiflorum",1090884618,-20.883333,-41.7,"gass84"
"38","Pseudobombax grandiflorum",1090878380,-18.362528,-40.162139,"gass84"
"39","Pseudobombax grandiflorum",1587317810,-9.970833,-37.003333,"gass84"
"40","Pseudobombax grandiflorum",1090864125,-20.310094,-40.521992,"gass84"
"41","Pseudobombax grandiflorum",1099619315,-26.729469,-49.859167,"gass84"
"42","Pseudobombax grandiflorum",1090881880,-18.3703,-40.2133,"gass84"
"43","Pseudobombax grandiflorum",1089106644,-22.826148,-47.427549,"gass84"
"44","Pseudobombax grandiflorum",1090881304,-20.8058,-40.6456,"gass84"
"45","Pseudobombax grandiflorum",1090872348,-21.280278,-40.968889,"gass84"
"46","Pseudobombax grandiflorum",1089106631,-22.576589,-47.519109,"gass84"
"47","Pseudobombax grandiflorum",1087681818,-11.0522,-43.0829,"gass84"
"48","Pseudobombax grandiflorum",1095637581,-27.116111,-49.179722,"gass84"
"49","Pseudobombax grandiflorum",1077228668,-12.350278,-41.576667,"gass84,iddatunl"
"50","Pseudobombax grandiflorum",1226936842,-22.937222,-42.290556,"gass84,iddatunl"
"51","Pseudobombax grandiflorum",1424245065,-22.937222,-42.290555,"cdround,gass84,txmathi"
"52","Pseudobombax grandiflorum",1123818964,-18.776944,-40.443889,"gass84"
"53","Pseudobombax grandiflorum",1424247600,-22.936944,-42.291389,"cdround,gass84,rdatm"
"54","Pseudobombax grandiflorum",1077230331,-14.181389,-39.7075,"gass84,iddatunl"
"55","Pseudobombax grandiflorum",1090658756,-19.476861,-44.010778,"gass84"
"56","Pseudobombax grandiflorum",1094837536,-12.161667,-39.183889,"gass84"
"57","Pseudobombax grandiflorum",1086907758,-23.460278,-46.757222,"gass84"
"58","Pseudobombax grandiflorum",1086907764,-23.461667,-46.7575,"gass84"
"59","Pseudobombax grandiflorum",1090512791,-14.416667,-39.083333,"gass84"
"60","Pseudobombax grandiflorum",1424405639,-22.642778,-44.656667,"cdround,gass84,rdatm"
"61","Pseudobombax grandiflorum",1123813860,-18.975556,-40.769444,"gass84"
