"","name","key","decimalLatitude","decimalLongitude","issues"
"1","Pseudolmedia laevis",731340655,-12.48333,-69.05,"gass84"
"2","Pseudolmedia laevis",731322555,-4.91667,-73.66667,"gass84"
"3","Pseudolmedia laevis",1258071378,-13.43475,-67.904528,"cdround,gass84,iddatunl"
"4","Pseudolmedia laevis",1258196548,-9.309722,-75.828889,"cdround,gass84,iddatunl"
"5","Pseudolmedia laevis",1806876338,-10.985556,-55.736944,"gass84"
"6","Pseudolmedia laevis",1213676828,-10.978889,-55.697222,"gass84,iddatunl"
"7","Pseudolmedia laevis",1258107674,-10.481944,-75.096667,"cdround,gass84,iddatunl"
"8","Pseudolmedia laevis",1416801673,2.032,-72.577778,"cdround,gass84"
"9","Pseudolmedia laevis",1062921458,2.883778,-73.394222,"cdround,gass84"
"10","Pseudolmedia laevis",1258114082,-11.37,-74.038611,"cdround,gass84,iddatunl"
"11","Pseudolmedia laevis",1324649231,2.840861,-73.446944,"cdround,gass84"
"12","Pseudolmedia laevis",1258115266,-15.969167,-73.671944,"cdround,gass84,iddatunl"
"13","Pseudolmedia laevis",1042713526,-2.3836,-60.09,"gass84,gdativ,iddatunl"
"14","Pseudolmedia laevis",1424456056,-9.616111,-65.118333,"cdround,gass84"
"15","Pseudolmedia laevis",1042701035,-9.616111,-65.12,"elmms,gass84,gdativ"
"16","Pseudolmedia laevis",1257915207,-14.785833,-68.583333,"cdround,gass84,iddatunl"
"17","Pseudolmedia laevis",1801348577,-11.584306,-61.770139,"gass84"
"18","Pseudolmedia laevis",1837387527,-3.67455,-61.253475,"gass84"
"19","Pseudolmedia laevis",1416801635,2.493806,-72.662917,"cdround,gass84"
"20","Pseudolmedia laevis",1837386182,-2.405939,-60.309175,"gass84"
"21","Pseudolmedia laevis",1837386402,-2.412417,-60.3053,"gass84"
"22","Pseudolmedia laevis",1837386383,-2.417011,-60.302689,"gass84"
"23","Pseudolmedia laevis",1837386596,-2.417725,-60.296033,"gass84"
"24","Pseudolmedia laevis",1257982853,-10.41,-75.329722,"cdround,gass84"
"25","Pseudolmedia laevis",1090667160,-9.337222,-56.776111,"gass84"
"26","Pseudolmedia laevis",1090667307,-9.337778,-56.776389,"gass84"
"27","Pseudolmedia laevis",1090667393,-9.348333,-56.775,"gass84"
"28","Pseudolmedia laevis",1090667172,-9.338333,-56.775833,"gass84"
"29","Pseudolmedia laevis",1090667809,-9.332222,-56.7725,"gass84"
"30","Pseudolmedia laevis",1324648118,-3.809222,-70.267858,"cdround,gass84"
