"","name","key","decimalLatitude","decimalLongitude","issues"
"1","Sarcaulus brasiliensis",1571705705,-19.5,-40.3,"gass84,rdatm"
"2","Sarcaulus brasiliensis",1424783942,-2.59506,-72.88406,"gass84,iddatunl"
"3","Sarcaulus brasiliensis",1253916821,10.766639,-85.280917,"cdround,rdatm"
"4","Sarcaulus brasiliensis",1135827189,-8.562778,-35.183333,"gass84,iddatunl"
"5","Sarcaulus brasiliensis",1135827196,-8.550278,-35.148611,"gass84,iddatunl"
"6","Sarcaulus brasiliensis",1416803845,1.740357,-69.732504,"gass84"
"7","Sarcaulus brasiliensis",1258086476,-14.571972,-68.779306,"cdround,gass84,iddatunl"
"8","Sarcaulus brasiliensis",1258093116,-14.578306,-68.777167,"cdround,gass84,iddatunl"
"9","Sarcaulus brasiliensis",1257964355,-14.144994,-68.745008,"cdround,gass84,iddatunl"
"10","Sarcaulus brasiliensis",1257962794,-14.155192,-68.724217,"cdround,gass84,iddatunl"
"11","Sarcaulus brasiliensis",1253912026,8.7325,-83.453139,"cdround,rdatm"
"12","Sarcaulus brasiliensis",1042711196,-6.077778,-57.62,"elmms,gass84,gdativ"
"13","Sarcaulus brasiliensis",1795907335,-7.0833,-35.2806,"gass84"
"14","Sarcaulus brasiliensis",1303603880,-19.223056,-40.354167,"gass84,txmatfuz"
"15","Sarcaulus brasiliensis",1147305325,2.511694,-72.704472,"cdround,gass84"
"16","Sarcaulus brasiliensis",1087079067,-14.356667,-39.605556,"cdround,gass84"
"17","Sarcaulus brasiliensis",1090876219,-19.3911,-40.0722,"gass84"
"18","Sarcaulus brasiliensis",1087078883,-14.836111,-40.022222,"cdround,gass84"
"19","Sarcaulus brasiliensis",1094905773,-17.51,-54.191111,"gass84"
"20","Sarcaulus brasiliensis",1147305651,6.824917,-71.001536,"cdround,gass84"
"21","Sarcaulus brasiliensis",1257702964,-14.680897,-68.730878,"cdround,gass84,iddatunl"
"22","Sarcaulus brasiliensis",1257701049,-14.647442,-68.724758,"cdround,gass84,iddatunl"
"23","Sarcaulus brasiliensis",1257703722,-14.670444,-68.709083,"cdround,gass84,iddatunl"
"24","Sarcaulus brasiliensis",1257704331,-14.670472,-68.710139,"cdround,gass84,iddatunl"
"25","Sarcaulus brasiliensis",1097294972,8.6717,-83.5047,"gass84,iddatunl"
"26","Sarcaulus brasiliensis",1257598483,-14.575194,-68.908417,"cdround,gass84,iddatunl"
"27","Sarcaulus brasiliensis",1257694039,-14.726148,-68.830249,"cdround,gass84,iddatunl"
"28","Sarcaulus brasiliensis",1262196003,-2.79275,-72.917472,"cdround,gass84,iddatunl"
"29","Sarcaulus brasiliensis",1042682780,-4.219022,-62.49,"gass84,gdativ,iddatunl"
"30","Sarcaulus brasiliensis",1801348070,-9.0115,-57.079333,"gass84"
"31","Sarcaulus brasiliensis",1042682181,-4.435056,-62.27,"gass84,gdativ,iddatunl"
"32","Sarcaulus brasiliensis",1424422274,-23.196667,-43.456667,"cdround,gass84"
"33","Sarcaulus brasiliensis",1257533355,-14.578056,-68.776944,"cdround,gass84,iddatunl"
"34","Sarcaulus brasiliensis",1257578750,-14.578611,-68.768611,"cdround,gass84,iddatunl"
"35","Sarcaulus brasiliensis",1257578324,-14.573889,-68.785,"cdround,gass84,iddatunl"
"36","Sarcaulus brasiliensis",216057796,-12.5438,-70.0768,"gass84"
"37","Sarcaulus brasiliensis",1260907495,-10.34055,-75.25305,"gass84,iddatunl"
"38","Sarcaulus brasiliensis",1261011075,-1.06666,-77.61666,"gass84"
"39","Sarcaulus brasiliensis",1261011933,-1.06666,-77.51666,"gass84,iddatunl"
"40","Sarcaulus brasiliensis",1260887644,3.28333,-53.06666,"gass84,iddatunl"
"41","Sarcaulus brasiliensis",1260400876,-14.14472,-68.745,"gass84,iddatunl"
"42","Sarcaulus brasiliensis",1260400672,-14.155,-68.72416,"gass84,iddatunl"
"43","Sarcaulus brasiliensis",1260400758,-14.15833,-68.74,"gass84,iddatunl"
"44","Sarcaulus brasiliensis",1260400698,-14.14555,-68.745,"gass84,iddatunl"
"45","Sarcaulus brasiliensis",997601632,-14.14,-68.73,"gass84"
"46","Sarcaulus brasiliensis",1424779792,-2.136944,-75.149444,"cdround,gass84"
"47","Sarcaulus brasiliensis",1123810104,-19.148333,-40.4575,"gass84"
"48","Sarcaulus brasiliensis",1253884392,9.7715,-84.604472,"cdround,rdatm"
"49","Sarcaulus brasiliensis",1123810219,-19.148611,-40.457778,"gass84"
"50","Sarcaulus brasiliensis",1042637829,-9,-55,"elmms,gass84,gdativ,iddatunl"
"51","Sarcaulus brasiliensis",912468134,-9.61,-55.93,"gass84"
"52","Sarcaulus brasiliensis",1424202604,3.210556,-52.023889,"cdround,gass84,rdatm"
"53","Sarcaulus brasiliensis",1260750356,-10.39527,-75.08666,"gass84"
"54","Sarcaulus brasiliensis",1261010631,-0.83333,-77.56666,"gass84,iddatunl"
"55","Sarcaulus brasiliensis",1260240324,-14.21277,-68.51111,"gass84,iddatunl"
"56","Sarcaulus brasiliensis",1260739860,-10.19416,-75.32166,"gass84"
"57","Sarcaulus brasiliensis",1260430030,-16.65777,-65.7975,"gass84,iddatunl"
"58","Sarcaulus brasiliensis",1259667685,-14.349167,-67.970833,"cdround,gass84,iddatunl"
"59","Sarcaulus brasiliensis",1094840696,-12.869444,-39.471667,"gass84,iddatunl"
"60","Sarcaulus brasiliensis",1252619571,-15.15,-39.083333,"gass84,iddatunl"
"61","Sarcaulus brasiliensis",1042681033,-2.937833,-59.92,"elmms,gass84,gdativ"
"62","Sarcaulus brasiliensis",1837385354,-2.937833,-59.917675,"gass84"
"63","Sarcaulus brasiliensis",1837385183,-2.961206,-59.950382,"gass84"
"64","Sarcaulus brasiliensis",1042681015,-2.961206,-59.95,"elmms,gass84,gdativ"
"65","Sarcaulus brasiliensis",1259500002,-12.83333,-69.28333,"gass84"
"66","Sarcaulus brasiliensis",1253800054,10.748333,-84.168611,"cdround,rdatm"
"67","Sarcaulus brasiliensis",1258003719,-15.083333,-39.316667,"cdround,gass84,iddatunl"
"68","Sarcaulus brasiliensis",1097678190,-15.08,-39.32,"gass84"
"69","Sarcaulus brasiliensis",1259723797,-14.48666,-68.41388,"gass84,iddatunl"
"70","Sarcaulus brasiliensis",1042478792,2.946389,-60.72,"gass84,gdativ,iddatunl"
"71","Sarcaulus brasiliensis",1259011152,-14.97972,-67.78972,"gass84,iddatunl"
"72","Sarcaulus brasiliensis",1042681756,-2.928995,-59.92,"elmms,gass84,gdativ"
"73","Sarcaulus brasiliensis",1837385017,-2.928995,-59.919079,"gass84"
"74","Sarcaulus brasiliensis",1259038314,-14.61444,-67.65305,"gass84,iddatunl"
"75","Sarcaulus brasiliensis",1259038377,-14.61166,-67.65111,"gass84,iddatunl"
