"","name","key","decimalLatitude","decimalLongitude","issues"
"1","Sorocea hilarii",1671186428,-22.286944,-41.770833,"cdround,gass84,rdatm"
"2","Sorocea hilarii",1702656430,-12.665361,-39.106194,"gass84"
"3","Sorocea hilarii",1837800793,-21.973889,-41.948889,"cdround,gass84"
"4","Sorocea hilarii",1819185223,-22.753889,-41.996944,"cdround,gass84"
"5","Sorocea hilarii",1324589759,-11.0429,-37.1944,"gass84,iddatunl"
"6","Sorocea hilarii",1270102623,-12.657306,-39.091972,"gass84"
"7","Sorocea hilarii",1423927476,-21.784167,-41.617222,"cdround,gass84"
"8","Sorocea hilarii",1455752922,-20.316667,-40.283333,"gass84,iddatunl"
"9","Sorocea hilarii",1455752944,-11.8,-37.6,"gass84,iddatunl"
"10","Sorocea hilarii",1087710558,-13.2825,-39.570278,"gass84"
"11","Sorocea hilarii",1213517478,-10.8386,-37.134222,"gass84"
"12","Sorocea hilarii",1234550039,-12.9,-39.15,"gass84"
"13","Sorocea hilarii",1090887500,-20.65941,-40.47181,"gass84,iddatunl"
"14","Sorocea hilarii",1424494037,-22.953889,-43.018889,"cdround,gass84,rdatm"
"15","Sorocea hilarii",1265916391,-13.317139,-39.510333,"gass84"
"16","Sorocea hilarii",1090887353,-19.802281,-40.123833,"gass84,iddatunl"
"17","Sorocea hilarii",1424515147,-19.8,-40.116667,"cdround,gass84"
"18","Sorocea hilarii",1087706392,-13.916111,-39.465833,"gass84"
"19","Sorocea hilarii",1090885608,-20.6579,-40.46996,"gass84"
"20","Sorocea hilarii",1077610376,-10.215556,-36.298889,"gass84"
"21","Sorocea hilarii",1094919150,-12.166667,-37.966667,"gass84,iddatunl"
"22","Sorocea hilarii",1094919134,-11.866667,-38.033333,"gass84,iddatunl"
"23","Sorocea hilarii",1123828517,-19.807917,-40.67475,"gass84"
"24","Sorocea hilarii",1090886393,-18.580792,-39.758243,"gass84"
"25","Sorocea hilarii",1090875941,-20.8058,-40.6456,"gass84"
"26","Sorocea hilarii",1094906506,-12.05,-38,"gass84"
"27","Sorocea hilarii",1096933881,-18.965383,-40.14205,"gass84"
"28","Sorocea hilarii",1097810125,-11.3508,-37.4483,"gass84"
"29","Sorocea hilarii",1087688166,-11.385528,-37.425861,"gass84,iddatunl"
"30","Sorocea hilarii",1090880177,-19.006944,-40.166123,"gass84"
"31","Sorocea hilarii",1424447129,-19.186944,-39.911389,"cdround,gass84"
"32","Sorocea hilarii",1096933681,-19.186972,-39.911389,"gass84"
"33","Sorocea hilarii",1077247338,-13.39,-39.315833,"gass84,iddatunl"
"34","Sorocea hilarii",1077238145,-12.933333,-39.516667,"gass84,iddatunl"
"35","Sorocea hilarii",1087683340,-10.688611,-37.148333,"gass84"
"36","Sorocea hilarii",1077237995,-12.966667,-38.5,"gass84,iddatunl"
"37","Sorocea hilarii",1077248008,-13.330833,-39.190833,"gass84,iddatunl"
"38","Sorocea hilarii",1837458536,-22.923611,-43.039444,"cdround,gass84"
"39","Sorocea hilarii",1094897115,-7.041944,-35.709722,"gass84,iddatunl"
"40","Sorocea hilarii",1123828508,-19.808028,-40.674778,"gass84"
"41","Sorocea hilarii",1094897791,-17.763889,-39.364444,"gass84"
"42","Sorocea hilarii",1094905670,-17.715556,-39.198611,"gass84"
"43","Sorocea hilarii",1099312395,-22.661694,-42.442056,"gass84"
"44","Sorocea hilarii",1089179762,-6.8037,-35.0863,"gass84"
"45","Sorocea hilarii",1094877241,-12.066667,-38.45,"gass84"
"46","Sorocea hilarii",1090864059,-20.303281,-40.520558,"gass84"
"47","Sorocea hilarii",1090864139,-20.323003,-40.501656,"gass84"
"48","Sorocea hilarii",1089103730,-23.3715,-45.3087,"gass84,iddatunl"
"49","Sorocea hilarii",1837458607,-23.945278,-45.098611,"cdround,gass84"
"50","Sorocea hilarii",1090876066,-19.3911,-40.0722,"gass84"
"51","Sorocea hilarii",1087076984,-7.691425,-35.154167,"cdround,gass84"
"52","Sorocea hilarii",1087076980,-7.791061,-35.216278,"cdround,gass84"
"53","Sorocea hilarii",1077576723,-8.576278,-35.1825,"gass84"
"54","Sorocea hilarii",1087077016,-7.787283,-34.944392,"cdround,gass84"
"55","Sorocea hilarii",1095185753,-7.832298,-34.87481,"gass84"
"56","Sorocea hilarii",1837458619,-22.943611,-43.100833,"cdround,gass84"
"57","Sorocea hilarii",1089181058,-7.783333,-35.016667,"gass84,iddatunl"
"58","Sorocea hilarii",1097003579,-7.78,-35.02,"gass84,iddatunl"
"59","Sorocea hilarii",1087074877,-7.8375,-35.002778,"cdround,gass84"
"60","Sorocea hilarii",1123829767,-18.7825,-40.441417,"gass84"
"61","Sorocea hilarii",1089099507,-23.2156,-44.4957,"gass84,iddatunl"
"62","Sorocea hilarii",1096931575,-19.083963,-39.941666,"gass84"
"63","Sorocea hilarii",1042682615,-7.8375,-35,"gass84,gdativ"
"64","Sorocea hilarii",1089099475,-23.2348,-45.0534,"gass84,iddatunl"
"65","Sorocea hilarii",1123829761,-18.7825,-40.449778,"gass84"
"66","Sorocea hilarii",1094890195,-7.450278,-47.5775,"gass84"
"67","Sorocea hilarii",1087033529,-22.928889,-42.439722,"gass84"
"68","Sorocea hilarii",1090577192,-23.367009,-45.083511,"gass84"
"69","Sorocea hilarii",1087075557,-7.848608,-34.995969,"cdround,gass84"
"70","Sorocea hilarii",1087677775,-7.5004,-34.5422,"gass84"
"71","Sorocea hilarii",1424237912,-20.272778,-40.476667,"cdround,gass84,iddatunl"
"72","Sorocea hilarii",1424238000,-18.776944,-40.443889,"cdround,gass84,iddatunl"
"73","Sorocea hilarii",1424239408,-22.936389,-42.293889,"cdround,gass84,iddatunl,rdatm"
"74","Sorocea hilarii",1096930562,-19.153257,-40.040247,"gass84"
"75","Sorocea hilarii",1096930582,-19.1647,-39.935591,"gass84"
"76","Sorocea hilarii",1087695900,-11.304369,-37.344713,"gass84"
"77","Sorocea hilarii",1123817655,-20.276111,-40.525,"gass84"
"78","Sorocea hilarii",1089179726,-6.80333,-35.08427,"gass84"
"79","Sorocea hilarii",1424244892,-18.75,-40.433333,"cdround,gass84,iddatunl,rdatm"
"80","Sorocea hilarii",1213516402,-22.936111,-42.293889,"gass84,iddatunl"
"81","Sorocea hilarii",1424248912,-20.291389,-40.519444,"cdround,gass84,iddatunl"
"82","Sorocea hilarii",1424300094,-15.391667,-39.565278,"cdround,gass84"
"83","Sorocea hilarii",1456292361,-14.1672,-39.7111,"gass84"
"84","Sorocea hilarii",1077578347,-7.771944,-34.936667,"gass84"
"85","Sorocea hilarii",1077230337,-14.167222,-39.711111,"gass84,iddatunl"
"86","Sorocea hilarii",1213516173,-20.950639,-40.808333,"gass84,iddatunl"
"87","Sorocea hilarii",1087077028,-7.790833,-35.023611,"cdround,gass84"
"88","Sorocea hilarii",1424320338,-10.066667,-67.616667,"cdround,gass84"
"89","Sorocea hilarii",1090877866,-18.423056,-39.719444,"gass84"
"90","Sorocea hilarii",1123824557,-22.332083,-40.696028,"gass84"
"91","Sorocea hilarii",1090868171,-19.645556,-39.823889,"gass84"
"92","Sorocea hilarii",1089089321,-23.2159,-45.0503,"gass84,iddatunl"
"93","Sorocea hilarii",1123815746,-20.462222,-40.343333,"gass84"
"94","Sorocea hilarii",1090886308,-20.597437,-40.411541,"gass84"
"95","Sorocea hilarii",1077226318,-12.813611,-38.303611,"gass84,iddatunl"
"96","Sorocea hilarii",1123816170,-21.025556,-41.239444,"gass84"
"97","Sorocea hilarii",1087073592,-7.800278,-35.016667,"cdround,gass84"
"98","Sorocea hilarii",1123813323,-20.059167,-40.470556,"gass84"
"99","Sorocea hilarii",1090576704,-23.372927,-45.081486,"gass84"
"100","Sorocea hilarii",1087033580,-22.256389,-41.696667,"gass84"
"101","Sorocea hilarii",1087033575,-22.261389,-41.620278,"gass84"
"102","Sorocea hilarii",1123815175,-19.335556,-40.535556,"gass84"
"103","Sorocea hilarii",1077225317,-13.716667,-39.133333,"gass84,iddatunl"
"104","Sorocea hilarii",1424235998,-22.946667,-43.003056,"cdround,gass84,rdatm"
"105","Sorocea hilarii",1094824595,-14.25,-38.983333,"gass84,iddatunl"
"106","Sorocea hilarii",1123811279,-19.353611,-40.516944,"gass84"
"107","Sorocea hilarii",1123815551,-19.351944,-40.514167,"gass84"
"108","Sorocea hilarii",1090575858,-23.373498,-45.080223,"gass84"
"109","Sorocea hilarii",1123811371,-20.129167,-40.554167,"gass84"
"110","Sorocea hilarii",1424421497,-22.949444,-43.021667,"cdround,gass84"
"111","Sorocea hilarii",1097245340,-15.3917,-39.5653,"gass84,iddatunl"
"112","Sorocea hilarii",1077222279,-13.016667,-39.6,"gass84"
"113","Sorocea hilarii",1424246796,-22.505,-43.178611,"cdround,gass84"
"114","Sorocea hilarii",1424235795,-22.946111,-43.005,"cdround,gass84"
"115","Sorocea hilarii",1097874416,-16.0286,-39.9214,"gass84,iddatunl"
"116","Sorocea hilarii",1097992819,-15.391806,-39.565278,"cdround,gass84,iddatunl"
"117","Sorocea hilarii",1094819882,-13.944722,-40.109444,"gass84,iddatunl"
"118","Sorocea hilarii",1087631470,-16.413889,-40.049278,"gass84"
"119","Sorocea hilarii",1087533150,-13.944722,-41.058333,"gass84,iddatunl"
