"","name","key","decimalLatitude","decimalLongitude","issues"
"1","Stifftia chrysantha",1656070613,-22.595555,-43.703611,"cdround,gass84,rdatm"
"2","Stifftia chrysantha",1671186442,-22.285555,-41.763333,"cdround,gass84"
"3","Stifftia chrysantha",1819183094,-22.753889,-41.996944,"cdround,gass84,rdatm"
"4","Stifftia chrysantha",1701216084,-23.325833,-51.2025,"gass84,iddatunl"
"5","Stifftia chrysantha",1090163722,-25.481556,-49.306472,"gass84"
"6","Stifftia chrysantha",1090831912,-22.888333,-48.510556,"gass84"
"7","Stifftia chrysantha",1123827883,-22.289722,-41.729167,"gass84"
"8","Stifftia chrysantha",1424371148,-22.423611,-42.745555,"cdround,gass84,rdatm"
"9","Stifftia chrysantha",1090582155,-22.9056,-47.0608,"gass84"
"10","Stifftia chrysantha",1424418910,-22.661389,-42.8075,"cdround,gass84"
"11","Stifftia chrysantha",1077397689,-22.661389,-42.807778,"cdround,gass84"
"12","Stifftia chrysantha",1089271316,-23.400278,-51.930556,"gass84"
"13","Stifftia chrysantha",1424237150,-22.566667,-43.466667,"cdround,gass84"
"14","Stifftia chrysantha",1424230051,-22.505,-43.178611,"cdround,gass84"
"15","Stifftia chrysantha",1424158242,-22.407778,-42.738055,"cdround,gass84"
"16","Stifftia chrysantha",1424215512,-22.495555,-42.911667,"cdround,gass84,rdatm"
"17","Stifftia chrysantha",1424380663,-22.230278,-41.789722,"cdround,gass84"
"18","Stifftia chrysantha",1090568472,-22.86372,-47.08676,"gass84"
"19","Stifftia chrysantha",1097145875,21.463467,-157.8526,"gass84,iddatunl"
"20","Stifftia chrysantha",38813344,21.45,-157.85,"gass84,iddatunl"
"21","Stifftia chrysantha",1424408767,-22.55,-43.266667,"cdround,gass84"
"22","Stifftia chrysantha",1135939623,-22.516667,-43.266667,"gass84,iddatunl"
"23","Stifftia chrysantha",1424175273,-22.5,-42.25,"gass84"
"24","Stifftia chrysantha",1424276352,-22.433333,-42.833333,"cdround,gass84,rdatm"
"25","Stifftia chrysantha",1097874652,-22.483,-42.883,"gass84,iddatunl"
"26","Stifftia chrysantha",1042681808,-22.433333,-42.83,"gass84,gdativ,iddatunl"
"27","Stifftia chrysantha",1087502189,-22.466667,-48.733333,"gass84,iddatunl"
"28","Stifftia chrysantha",1097784548,-22.583352,-42.283141,""
"29","Stifftia chrysantha",415911283,10.64416,-61.39972,"gass84"
"30","Stifftia chrysantha",1097809676,-23.4341654154965,-45.0699981850603,"cdrep"
"31","Stifftia chrysantha",1097054466,-23.6241676892264,-45.4100221657427,"cdrep"
"32","Stifftia chrysantha",1090544984,-23.5475,-46.6361,"gass84"
"33","Stifftia chrysantha",1098037987,-22.951842,-43.212076,""
"34","Stifftia chrysantha",1097849268,-22.5309,-43.0084,"gass84"
"35","Stifftia chrysantha",1098359626,-22.930074,-43.195652,""
"36","Stifftia chrysantha",1144987040,-22.48222,-42.9125,"gass84,rdativ"
"37","Stifftia chrysantha",1144987012,-10.77311,-53.08982,"gass84,rdativ"
"38","Stifftia chrysantha",1653707857,-36.88153,174.70018,"gass84"
"39","Stifftia chrysantha",1097084544,-20.6538066137168,-49.9206200667342,"cdrep"
"40","Stifftia chrysantha",1653719791,-36.86487,174.76685,"gass84"
"41","Stifftia chrysantha",1228325365,-10.8339,-52.8731,"gass84"
"42","Stifftia chrysantha",1639394149,-36.883333,174.7,"cdround,cudc,gass84,rdativ"
"43","Stifftia chrysantha",1639399182,-36.866667,174.766667,"cdround,cudc,gass84,rdativ"
"44","Stifftia chrysantha",1144987029,-12.18306,-41.99722,"gass84,rdativ"
"45","Stifftia chrysantha",1231097457,-22.90278,-43.2075,""
