"","name","key","decimalLatitude","decimalLongitude","issues"
"1","Swartzia flaemingii",1638347053,-22.8925,-42.854444,"cdround,gass84"
"2","Swartzia flaemingii",1699901770,-5.146667,-40.928333,"gass84,iddatunl"
"3","Swartzia flaemingii",1586074495,-22.705,-42.876944,"cdround,gass84"
"4","Swartzia flaemingii",1264695644,-11.0429,-37.1944,"gass84"
"5","Swartzia flaemingii",1796097222,-22.519167,-43.482222,"gass84"
"6","Swartzia flaemingii",1303206662,-7.464167,-39.470333,"gass84"
"7","Swartzia flaemingii",1424509054,-7.239167,-38.873889,"cdround,gass84"
"8","Swartzia flaemingii",1423895770,-3.229444,-51.751389,"cdround,gass84"
"9","Swartzia flaemingii",1264714286,-5.544167,-45.266389,"gass84,iddatunl"
"10","Swartzia flaemingii",1234551764,-13.685833,-39.0625,"gass84"
"11","Swartzia flaemingii",1264694212,-7.199994,-39.600025,"gass84"
"12","Swartzia flaemingii",1095811414,-10.998333,-37.310278,"gass84"
"13","Swartzia flaemingii",1094928140,-5.146944,-40.931667,"gass84,iddatunl"
"14","Swartzia flaemingii",1094928104,-5.162222,-40.888333,"gass84,iddatunl"
"15","Swartzia flaemingii",1094928098,-5.339444,-41.5,"gass84,iddatunl"
"16","Swartzia flaemingii",1094928067,-5.383056,-41.411389,"gass84,iddatunl"
"17","Swartzia flaemingii",1587292113,-19.577811,-43.270128,"gass84"
"18","Swartzia flaemingii",1563875220,-19.577778,-43.27,"gass84,iddatunl"
"19","Swartzia flaemingii",1587292096,-19.357478,-43.291308,"gass84"
"20","Swartzia flaemingii",1587292166,-19.195825,-43.276911,"gass84"
"21","Swartzia flaemingii",1090893740,-5.505833,-45.243056,"gass84"
"22","Swartzia flaemingii",1135077523,-12.166667,-37.966667,"gass84"
"23","Swartzia flaemingii",1424461384,-9.156111,-43.598333,"cdround,gass84,muluriiv"
"24","Swartzia flaemingii",1424461367,-8.9025,-43.444444,"cdround,gass84"
"25","Swartzia flaemingii",1135818149,-6.65,-40.116667,"gass84"
"26","Swartzia flaemingii",1424449062,-22.558889,-43.476389,"cdround,gass84"
"27","Swartzia flaemingii",1423837374,-13.963333,-38.971389,"gass84,iddatunl"
"28","Swartzia flaemingii",1424491265,-13.598889,-39.719167,"cdround,gass84,preneglon"
"29","Swartzia flaemingii",1087691537,-12.51,-51.45,"gass84"
"30","Swartzia flaemingii",1094913014,-13.685278,-39.043056,"gass84"
"31","Swartzia flaemingii",1094913046,-13.668333,-39.080556,"gass84"
"32","Swartzia flaemingii",1090960529,-7.347417,-39.394444,"gass84"
"33","Swartzia flaemingii",1135817671,-3.791889,-40.97725,"gass84"
"34","Swartzia flaemingii",1094924960,-13.807778,-39.203889,"gass84"
"35","Swartzia flaemingii",1094924918,-12.251389,-37.974444,"gass84"
"36","Swartzia flaemingii",1087724100,-2.599917,-44.276111,"gass84"
"37","Swartzia flaemingii",1090892526,-2.498333,-44.265278,"gass84"
"38","Swartzia flaemingii",1090519456,-14.380556,-39.039722,"gass84"
"39","Swartzia flaemingii",1077579017,-7.416944,-39.716389,"gass84"
"40","Swartzia flaemingii",1087682851,-10.291111,-36.607778,"gass84"
"41","Swartzia flaemingii",1424355103,-14.027222,-38.953611,"cdround,gass84"
"42","Swartzia flaemingii",1094894783,-8.879722,-43.165278,"gass84,iddatunl"
"43","Swartzia flaemingii",1094894715,-9.163611,-43.385278,"gass84,iddatunl"
"44","Swartzia flaemingii",1077579763,-8.401944,-35.675,"gass84"
"45","Swartzia flaemingii",1234545971,-23.845639,-46.410694,"gass84,iddatunl"
"46","Swartzia flaemingii",1094905650,-13.237222,-38.978333,"gass84"
"47","Swartzia flaemingii",1090891997,-2.529722,-44.302778,"gass84"
"48","Swartzia flaemingii",1090521487,-16.333333,-39.133333,"gass84"
"49","Swartzia flaemingii",1094878975,-9.114444,-43.266667,"gass84,iddatunl"
"50","Swartzia flaemingii",1094878820,-11.020278,-43.3375,"gass84,iddatunl"
"51","Swartzia flaemingii",1077239397,-13.716667,-39.133333,"gass84,iddatunl"
"52","Swartzia flaemingii",1077236779,-12.766667,-38.916667,"gass84"
"53","Swartzia flaemingii",1094888681,-9,-43.363611,"gass84,iddatunl"
"54","Swartzia flaemingii",1424282385,-10.084722,-43.363611,"cdround,gass84,rdatm"
"55","Swartzia flaemingii",1042682174,-6.408056,-49.87,"gass84,gdativ,iddatunl"
"56","Swartzia flaemingii",1424276783,-6.408056,-49.870278,"cdround,gass84"
"57","Swartzia flaemingii",1424276769,-6.151111,-49.860556,"cdround,gass84"
"58","Swartzia flaemingii",1077233295,-14,-39,"gass84,iddatunl"
"59","Swartzia flaemingii",1795998374,-14.0231,-38.950594,"gass84"
"60","Swartzia flaemingii",1090630451,-18.93199,-43.809106,"gass84,iddatunl"
"61","Swartzia flaemingii",1090630468,-18.993215,-43.780688,"gass84,iddatunl"
"62","Swartzia flaemingii",1424288758,-14.023056,-39.009444,"cdround,gass84,muluriiv"
"63","Swartzia flaemingii",1087685127,-11.177778,-37.4875,"gass84"
"64","Swartzia flaemingii",1796831316,-12.88,-37.95,"gass84"
"65","Swartzia flaemingii",1094860511,-12.883333,-37.95,"gass84"
"66","Swartzia flaemingii",1087695646,-11.304369,-37.344713,"gass84"
"67","Swartzia flaemingii",1123824538,-18.312778,-40.459167,"gass84"
"68","Swartzia flaemingii",1424243251,-22.9675,-43.223889,"cdround,gass84"
"69","Swartzia flaemingii",1094857377,-12.869722,-39.476944,"gass84,iddatunl"
"70","Swartzia flaemingii",1265098100,-23.43333,-45.18333,"gass84"
"71","Swartzia flaemingii",1089108732,-23.2672,-45.1169,"gass84,iddatunl"
"72","Swartzia flaemingii",1089113843,-23.2672,-45.1167,"gass84"
"73","Swartzia flaemingii",1291048505,-23.2667,-45.1199,"gass84"
"74","Swartzia flaemingii",1265098108,-23.45194,-45.21083,"gass84"
"75","Swartzia flaemingii",1077230415,-14.167222,-39.722222,"gass84"
"76","Swartzia flaemingii",1563236737,-14.1672,-39.7222,"gass84"
"77","Swartzia flaemingii",1094863333,-12.017778,-38.048611,"gass84"
"78","Swartzia flaemingii",1094862417,-7.464722,-40.416667,"gass84,iddatunl"
"79","Swartzia flaemingii",1424173234,-22.074167,-41.526389,"cdround,gass84"
"80","Swartzia flaemingii",1097256035,-13.5886,-38.9197,"gass84,iddatunl"
"81","Swartzia flaemingii",1094844472,-13.588611,-38.919722,"gass84,iddatunl"
"82","Swartzia flaemingii",1424173261,-22.063611,-41.484722,"cdround,gass84,muluriiv"
"83","Swartzia flaemingii",1089087801,-22.0349,-41.2905,"gass84"
"84","Swartzia flaemingii",1424193654,-22.520278,-43.518611,"cdround,gass84,iddatunl"
"85","Swartzia flaemingii",1089090517,-23.1805,-44.471,"gass84"
"86","Swartzia flaemingii",1090512845,-14.416667,-39.083333,"gass84"
"87","Swartzia flaemingii",1094839967,-9.141389,-43.561389,"gass84,iddatunl"
"88","Swartzia flaemingii",1424483804,-19.57,-42.089722,"cdround,gass84,muluriiv"
"89","Swartzia flaemingii",1077602497,-7.446944,-34.812222,"gass84"
"90","Swartzia flaemingii",1094859674,-14,-38.933333,"gass84,iddatunl"
"91","Swartzia flaemingii",1077599101,-9.836667,-36.366944,"gass84"
"92","Swartzia flaemingii",1077223610,-12.616667,-38.95,"gass84"
"93","Swartzia flaemingii",1077600072,-10.026667,-36.285556,"gass84,iddatunl"
"94","Swartzia flaemingii",1077221218,-12.151944,-37.853611,"gass84"
