"","name","key","decimalLatitude","decimalLongitude","issues"
"1","Swartzia oblata",1424479308,-16.125278,-38.971111,"cdround,gass84"
"2","Swartzia oblata",1087706397,-13.593056,-39.716667,"gass84,iddatunl"
"3","Swartzia oblata",1089109121,-23.1957,-44.5252,"gass84,iddatunl"
"4","Swartzia oblata",1087657577,-19.456667,-43.461944,"gass84"
"5","Swartzia oblata",1096932341,-19.231521,-40.355127,"gass84"
"6","Swartzia oblata",1086916418,-19.231944,-40.355556,"gass84"
"7","Swartzia oblata",1424308274,-22.453889,-44.606944,"cdround,gass84"
"8","Swartzia oblata",1123821529,-19.995278,-43.521389,"gass84"
"9","Swartzia oblata",1090872305,-21.098889,-41.046389,"gass84"
"10","Swartzia oblata",1499616702,-15.161944,-39.343611,"gass84,iddatunl"
"11","Swartzia oblata",1424440583,-17.183333,-39.333333,"cdround,gass84,rdatm"
"12","Swartzia oblata",1089108705,-23.2356,-45.0399,"gass84,iddatunl"
"13","Swartzia oblata",1499616635,-19.431861,-43.432861,"gass84,iddatunl"
"14","Swartzia oblata",1077229646,-14.176389,-39.731944,"gass84"
"15","Swartzia oblata",1087644565,-19.710278,-43.936111,"gass84"
"16","Swartzia oblata",1090576022,-23.380958,-45.079201,"gass84"
"17","Swartzia oblata",1090575289,-23.435126,-45.064912,"gass84"
"18","Swartzia oblata",1797163549,-23.3378,-45.8361,"gass84"
"19","Swartzia oblata",1265098075,-23.33778,-45.83611,"gass84"
"20","Swartzia oblata",1094844468,-13.595278,-39.719444,"gass84,iddatunl"
"21","Swartzia oblata",1090886681,-20.75,-41.283333,"gass84"
"22","Swartzia oblata",1087652090,-19.57,-42.089722,"gass84"
"23","Swartzia oblata",1090576027,-23.380922,-45.078888,"gass84"
"24","Swartzia oblata",1099613657,-23.4339,-45.0711,"gass84"
"25","Swartzia oblata",1089113836,-23.2016,-45.501,"gass84"
"26","Swartzia oblata",1089101961,-23.2012,-45.5001,"gass84,iddatunl"
"27","Swartzia oblata",1135878073,-25.072889,-47.922847,"gass84,iddatunl"
"28","Swartzia oblata",1424152791,-13.443333,-39.511111,"cdround,gass84"
"29","Swartzia oblata",1424242619,-22.532222,-42.346111,"cdround,gass84,rdatm"
"30","Swartzia oblata",1087631658,-17.613222,-41.963694,"gass84"
"31","Swartzia oblata",1123803651,-19.918056,-40.599444,"gass84"
"32","Swartzia oblata",1123804045,-19.9075,-40.553056,"gass84"
"33","Swartzia oblata",1424063999,-13.944722,-40.109444,"cdround,gass84"
"34","Swartzia oblata",1087532538,-13.944722,-41.058333,"gass84,iddatunl"
"35","Swartzia oblata",1077215893,-17.735278,-39.754444,"gass84"
"36","Swartzia oblata",1094788129,-24.183611,-47.926389,"gass84,iddatunl"
"37","Swartzia oblata",1089078001,-24.1101,-47.5535,"gass84,iddatunl"
"38","Swartzia oblata",1135819158,-14.706944,-39.189722,"gass84,iddatunl"
"39","Swartzia oblata",1089093995,-22.5439,-45.5716,"gass84"
"40","Swartzia oblata",1260604160,-17.13277,-40.42166,"gass84,iddatunl"
"41","Swartzia oblata",1098074398,-20.2911,-40.5319,"gass84"
"42","Swartzia oblata",1097594421,-17.1325,-40.4214,"gass84,iddatunl"
"43","Swartzia oblata",1123797699,-19.936111,-40.506944,"gass84"
"44","Swartzia oblata",1077209338,-10.889722,-45.246111,"gass84"
"45","Swartzia oblata",1123796953,-18.755,-40.890833,"gass84"
"46","Swartzia oblata",1123793443,-19.922222,-40.589167,"gass84"
"47","Swartzia oblata",1123790092,-19.971389,-40.530278,"gass84"
"48","Swartzia oblata",1423996904,-12.035278,-37.728611,"cdround,gass84,rdatm"
"49","Swartzia oblata",1089061204,-23.21,-44.52,"gass84,iddatunl"
"50","Swartzia oblata",1098264103,-13.6905822702052,-39.4791155302736,"cdrep,iddatunl"
"51","Swartzia oblata",1499616281,-23.35,-44.966667,"gass84,iddatunl"
"52","Swartzia oblata",1097162026,-13.597222,-39.722222,"cdround,gass84,iddatunl"
"53","Swartzia oblata",1077208166,-13.8,-41.283333,"gass84"
"54","Swartzia oblata",1424104027,-19.966667,-40.533333,"cdround,gass84,rdatm"
"55","Swartzia oblata",1261922368,-24.25,-46.933333,"cdround,gass84,iddatunl"
"56","Swartzia oblata",1123785420,-19.915556,-40.65,"gass84"
"57","Swartzia oblata",1098143524,-25.3107843549497,-48.3294308539011,"cdrep,iddatunl"
"58","Swartzia oblata",1097298707,-19.3949002236543,-40.071853011446,"cdrep,iddatunl"
"59","Swartzia oblata",1123785439,-12.653056,-39.121944,"gass84"
"60","Swartzia oblata",1097301783,-21.5919380587105,-43.2657709556419,"cdrep"
"61","Swartzia oblata",1098300323,-20.766686,-42.860644,"iddatunl"
"62","Swartzia oblata",1097436089,-20.758024038568,-42.8818438826343,"cdrep"
"63","Swartzia oblata",1262201454,-10.8339,-52.8731,"gass84"
"64","Swartzia oblata",1097656328,-14.4231,-39.0617,"iddatunl,rdativ"
"65","Swartzia oblata",1090474719,-14.8,-39.166667,"gass84"
"66","Swartzia oblata",1090453064,-13.6,-39.716667,"gass84"
"67","Swartzia oblata",1585962803,-24.1089,-47.5529,"gass84"
