"","name","key","decimalLatitude","decimalLongitude","issues"
"1","Terminalia glabrescens",1585192046,-6.724222,-42.947944,"gass84"
"2","Terminalia glabrescens",1806847049,-18.153361,-53.423083,"gass84"
"3","Terminalia glabrescens",1837800783,-21.881667,-41.943611,"cdround,gass84"
"4","Terminalia glabrescens",1585197169,-20.526528,-55.530889,"gass84"
"5","Terminalia glabrescens",1077247644,-14.744167,-42.571944,"gass84,iddatunl"
"6","Terminalia glabrescens",1077247667,-14.655833,-42.546944,"gass84,iddatunl"
"7","Terminalia glabrescens",1143413033,-23.1075,-46.97,"gass84"
"8","Terminalia glabrescens",1077248549,-13.534722,-40.651111,"gass84,iddatunl"
"9","Terminalia glabrescens",1077248602,-14.7425,-42.553611,"gass84,iddatunl"
"10","Terminalia glabrescens",1213517895,-11.443889,-41.193889,"gass84,iddatunl"
"11","Terminalia glabrescens",1077243421,-11.440278,-41.193889,"gass84,iddatunl"
"12","Terminalia glabrescens",1077244010,-14.646389,-42.554444,"gass84,iddatunl"
"13","Terminalia glabrescens",1094927296,-12.344167,-45.084444,"gass84"
"14","Terminalia glabrescens",1095632436,-12.34425,-45.084361,"gass84,iddatunl"
"15","Terminalia glabrescens",1095633899,-21.031406,-50.893944,"gass84,iddatunl"
"16","Terminalia glabrescens",1676475270,-21.0153,-50.5338,"gass84"
"17","Terminalia glabrescens",1077478303,-15.656306,-40.986194,"gass84,iddatunl"
"18","Terminalia glabrescens",1077478090,-22.509222,-54.070444,"gass84,iddatunl"
"19","Terminalia glabrescens",1094902779,-13.233333,-38.976389,"gass84"
"20","Terminalia glabrescens",1090891353,-2.646625,-44.1516,"gass84"
"21","Terminalia glabrescens",1829084627,-21.278139,-52.096611,"gass84,iddatunl"
"22","Terminalia glabrescens",1213669135,-17.6803,-50.0927,"gass84,iddatunl"
"23","Terminalia glabrescens",1213667325,-17.7225,-50.078611,"gass84,iddatunl"
"24","Terminalia glabrescens",1796459376,-23.6056,-47.5486,"gass84"
