"","name","key","decimalLatitude","decimalLongitude","issues"
"1","Tibouchina arborea",1423937662,-22.378333,-42.828333,"cdround,gass84,rdatm"
"2","Tibouchina arborea",1423899535,-22.335555,-42.712222,"cdround,gass84"
"3","Tibouchina arborea",1423898063,-22.531944,-42.301667,"cdround,gass84,rdatm"
"4","Tibouchina arborea",1455891064,-20.519985,-40.680004,"gass84,txmatfuz"
"5","Tibouchina arborea",1424446066,-22.771667,-43.000278,"cdround,gass84,rdatm"
"6","Tibouchina arborea",1324960234,-20.512361,-41.732944,"gass84,iddatunl"
"7","Tibouchina arborea",1090887688,-20.50742,-41.72643,"gass84,iddatunl"
"8","Tibouchina arborea",1135942088,-20.507417,-41.726433,"gass84,iddatunl"
"9","Tibouchina arborea",1090887707,-20.4132,-41.68542,"gass84,iddatunl"
"10","Tibouchina arborea",1135825569,-20.5,-41.717,"gass84,iddatunl,preswcd"
"11","Tibouchina arborea",1424480633,-20.5,-41.716667,"cdround,gass84"
"12","Tibouchina arborea",1086683748,-20.4,-41.683,"gass84,iddatunl"
"13","Tibouchina arborea",1089115279,-20.512361,-41.732944,"gass84,iddatunl"
"14","Tibouchina arborea",1258048875,-20.5,-41.733333,"cdround,gass84,iddatunl"
"15","Tibouchina arborea",1086967986,-20.512361,-41.732944,"gass84,iddatunl"
"16","Tibouchina arborea",1135942272,-20.4132,-41.685417,"gass84,iddatunl"
"17","Tibouchina arborea",1089098965,-23.330333,-45.945278,"gass84,iddatunl"
"18","Tibouchina arborea",1424427487,-20.311389,-40.493333,"cdround,gass84"
"19","Tibouchina arborea",1090625027,-20.311472,-40.493556,"gass84,iddatunl"
"20","Tibouchina arborea",1086913750,-22.808611,-44.363056,"gass84,txmatfuz"
"21","Tibouchina arborea",1090874947,-20.3458,-41.473056,"gass84"
"22","Tibouchina arborea",1096932611,-20.412256,-40.614959,"gass84"
"23","Tibouchina arborea",1086916441,-20.412778,-40.615278,"gass84,txmatfuz"
"24","Tibouchina arborea",1098268962,-22.35947,-42.5736,"gass84,iddatunl,muluriiv"
"25","Tibouchina arborea",1426453268,-22.35947,-42.5736,"gass84"
"26","Tibouchina arborea",1086680987,-20.5175,-41.075,"gass84,iddatunl"
"27","Tibouchina arborea",1123821629,-20.5175,-41.075,"gass84"
"28","Tibouchina arborea",1424282058,-20.5175,-41.075,"gass84,iddatunl,rdatm"
"29","Tibouchina arborea",1097798659,-20.5175,-41.075,"gass84"
"30","Tibouchina arborea",1123815624,-20.345833,-40.542222,"gass84"
"31","Tibouchina arborea",1123816389,-20.3025,-40.481944,"gass84"
"32","Tibouchina arborea",1424237919,-20.3025,-40.481944,"cdround,gass84,iddatunl"
"33","Tibouchina arborea",1051237742,-20.53,-41.1,"gass84"
"34","Tibouchina arborea",1424260658,-20.526944,-41.101667,"cdround,gass84,iddatunl"
"35","Tibouchina arborea",1123819839,-20.526944,-41.101667,"gass84"
"36","Tibouchina arborea",1097937831,-20.5269,-41.1017,"gass84"
"37","Tibouchina arborea",1123827125,-15.174167,-39.339444,"gass84"
"38","Tibouchina arborea",1424440401,-15.174167,-39.339444,"cdround,gass84"
"39","Tibouchina arborea",1094905053,-15.174167,-39.339444,"gass84"
"40","Tibouchina arborea",1094905003,-15.174167,-39.339444,"gass84,txmatfuz"
"41","Tibouchina arborea",1090515091,-15.174167,-39.339444,"gass84"
"42","Tibouchina arborea",1090515160,-15.174167,-39.339444,"gass84"
"43","Tibouchina arborea",1089103648,-23.325556,-45.068056,"gass84,iddatunl"
"44","Tibouchina arborea",1123811817,-19.953333,-40.552778,"gass84"
"45","Tibouchina arborea",1077364619,-20.071667,-40.860278,"gass84"
"46","Tibouchina arborea",1123814995,-20.345833,-40.542222,"gass84"
"47","Tibouchina arborea",1143411607,-20.071667,-40.860278,"gass84"
"48","Tibouchina arborea",1424244374,-20.071667,-40.860278,"cdround,gass84,rdatm"
"49","Tibouchina arborea",1143411617,-20.003056,-40.554444,"gass84"
"50","Tibouchina arborea",1090820882,-20.003056,-40.554444,"gass84"
"51","Tibouchina arborea",1077364468,-20.003056,-40.554444,"gass84"
"52","Tibouchina arborea",1424244380,-20.003056,-40.554444,"cdround,gass84,rdatm"
"53","Tibouchina arborea",1424242628,-22.532222,-42.346111,"cdround,gass84,rdatm"
"54","Tibouchina arborea",1300283778,-22.532222,-42.346111,"gass84"
"55","Tibouchina arborea",1089102742,-22.05,-40.645,"gass84"
"56","Tibouchina arborea",1123809708,-19.823611,-40.510556,"gass84"
"57","Tibouchina arborea",1424067020,-22.384167,-40.645,"cdround,gass84,rdatm"
"58","Tibouchina arborea",1123808253,-19.935,-40.555833,"gass84"
"59","Tibouchina arborea",1097020936,-20.382381,-40.603688,"cdround,muluriiv"
"60","Tibouchina arborea",1051237328,-22.38,-40.64,"gass84"
"61","Tibouchina arborea",1123808415,-19.971389,-40.530278,"gass84"
"62","Tibouchina arborea",1123811379,-20.134167,-40.550833,"gass84"
"63","Tibouchina arborea",1090575782,-22.865209,-45.74383,"gass84"
"64","Tibouchina arborea",1086668802,-15.391667,-39.565278,"gass84"
"65","Tibouchina arborea",1089107128,-15.391667,-39.565278,"gass84,iddatunl"
"66","Tibouchina arborea",1424138200,-22.458611,-43.005,"cdround,gass84"
"67","Tibouchina arborea",1123806594,-19.935,-40.555833,"gass84"
"68","Tibouchina arborea",1097923090,-14.7703,-39.2028,"gass84,muluriiv"
"69","Tibouchina arborea",1097121171,-15.1742,-39.3394,"gass84,iddatunl,muluriiv"
"70","Tibouchina arborea",1424433478,-15.174167,-39.339444,"cdround,gass84"
"71","Tibouchina arborea",1123808574,-19.836389,-40.553889,"gass84"
"72","Tibouchina arborea",1086668787,-15.174167,-39.339444,"gass84"
"73","Tibouchina arborea",1123804424,-19.953333,-40.552778,"gass84"
"74","Tibouchina arborea",1123804408,-19.981944,-40.645833,"gass84"
"75","Tibouchina arborea",1123805046,-19.953333,-40.552778,"gass84"
"76","Tibouchina arborea",1424244495,-22.583333,-43.446389,"cdround,gass84"
"77","Tibouchina arborea",1143411608,-21.948333,-41.991667,"gass84"
"78","Tibouchina arborea",1143411609,-22.586389,-42.4,"gass84"
"79","Tibouchina arborea",1077364602,-22.586389,-42.4,"gass84"
"80","Tibouchina arborea",1077364621,-21.948333,-41.991667,"gass84"
"81","Tibouchina arborea",1424244434,-21.948333,-41.991667,"cdround,gass84"
