"","name","key","decimalLatitude","decimalLongitude","issues"
"1","Trigonia nivea",1802599117,-6.325278,-35.083889,"cdround,gass84,rdatm"
"2","Trigonia nivea",1837389106,-17.376683,-56.490428,"gass84"
"3","Trigonia nivea",1570750948,-14.972778,-43.003056,"gass84"
"4","Trigonia nivea",1570750914,-14.876944,-43.0375,"gass84"
"5","Trigonia nivea",1657212931,-11.2731,-37.4348,"gass84"
"6","Trigonia nivea",1837397150,-7.979444,-49.449444,"gass84"
"7","Trigonia nivea",1676221857,-10.29143,-36.27417,"gass84"
"8","Trigonia nivea",1837380409,-26.953611,-48.989722,"cdround,gass84"
"9","Trigonia nivea",1699426043,-12.683333,-41.166667,"gass84,iddatunl"
"10","Trigonia nivea",1585335612,-14.138889,-42.500278,"cdround,gass84"
"11","Trigonia nivea",1802516813,-12.695278,-39.5725,"gass84"
"12","Trigonia nivea",1829085265,-12.4333,-38.9667,"gass84"
"13","Trigonia nivea",1585335019,-22.925556,-43.079444,"cdround,gass84,rdatm"
"14","Trigonia nivea",1423930125,-22.965,-43.256667,"cdround,gass84"
"15","Trigonia nivea",1570749946,-11.985278,-41.353889,"gass84,iddatunl"
"16","Trigonia nivea",1423930231,-22.963056,-43.270556,"cdround,gass84"
"17","Trigonia nivea",1264696535,-11.2103,-37.2654,"gass84"
"18","Trigonia nivea",1324953708,-11.216667,-41.15,"gass84,iddatunl"
"19","Trigonia nivea",1324953499,-12.408889,-41.130833,"gass84,iddatunl"
"20","Trigonia nivea",1423930133,-22.97,-43.258333,"cdround,gass84"
"21","Trigonia nivea",1423908070,-17.866389,-40.125278,"cdround,gass84"
"22","Trigonia nivea",1434685893,-21.234722,-54.221389,"gass84"
"23","Trigonia nivea",1500100357,-18.943333,-43.446667,"cdround,gass84"
"24","Trigonia nivea",1676572483,-6.328611,-51.269444,"gass84"
"25","Trigonia nivea",1457569214,-18.182778,-43.5375,"cdround,gass84"
"26","Trigonia nivea",1671186633,-9.169444,-38.364444,"cdround,gass84"
"27","Trigonia nivea",1701744369,2.494047,-72.711669,"gass84"
"28","Trigonia nivea",1423940510,-22.552778,-43.415,"cdround,gass84,rdatm"
"29","Trigonia nivea",1455401557,-16.114167,-42.781389,"gass84"
"30","Trigonia nivea",1423907766,-12.305556,-46.348333,"cdround,gass84,iddatunl,rdatm"
"31","Trigonia nivea",1324589872,-11.0429,-37.1944,"gass84,iddatunl,preneglon"
"32","Trigonia nivea",1423894195,-22.870556,-42.632222,"cdround,gass84"
"33","Trigonia nivea",1585967362,-14.743889,-42.572778,"gass84,iddatunl"
"34","Trigonia nivea",1585967354,-14.698611,-42.558333,"gass84,iddatunl"
"35","Trigonia nivea",1234558241,-22.92405,-47.6627,"gass84"
"36","Trigonia nivea",1208843611,-11.835556,-42.466667,"gass84,iddatunl"
