"","name","key","decimalLatitude","decimalLongitude","issues"
"1","Virola sebifera",1702634397,-1.2135,-48.2033,"gass84"
"2","Virola sebifera",1658216798,-1.359783,-48.342458,"gass84"
"3","Virola sebifera",1423911788,-20.203889,-47.738889,"cdround,gass84,rdatm"
"4","Virola sebifera",1455753828,-20.1214,-47.442,"gass84"
"5","Virola sebifera",1420315271,-20.113611,-44.860833,"gass84"
"6","Virola sebifera",1702875274,7.05705,-74.205067,"cdround,gass84"
"7","Virola sebifera",1702875293,7.053333,-74.207333,"cdround,gass84"
"8","Virola sebifera",1707497800,7.268,-73.359,"gass84"
"9","Virola sebifera",1563373362,6.276806,-71.767056,"cdround"
"10","Virola sebifera",1213669362,-15.063611,-47.2025,"gass84,iddatunl"
"11","Virola sebifera",1095182694,-20.297583,-46.903056,"gass84"
"12","Virola sebifera",1703245259,3.603478,-71.52753,"cdround,gass84"
"13","Virola sebifera",1303591526,-1.722189,-48.879269,"gass84"
"14","Virola sebifera",1638731788,7.684278,-74.321556,"cdround"
"15","Virola sebifera",1801350195,-10.99,-55.701389,"gass84"
"16","Virola sebifera",1586074023,-9.440833,-64.785,"cdround,gass84"
"17","Virola sebifera",1253918988,10.965833,-85.321333,"cdround,rdatm"
"18","Virola sebifera",1570685576,6.960197,-71.965142,"cdround"
"19","Virola sebifera",1324650850,1.124722,-72.807778,"cdround,gass84"
"20","Virola sebifera",1213658733,-16.992056,-50.627222,"gass84"
"21","Virola sebifera",1052767999,5.108222,-76.861694,"gass84"
"22","Virola sebifera",1077479902,-12.581139,-60.394139,"gass84"
"23","Virola sebifera",1077305930,-11.866667,-55.482778,"gass84"
"24","Virola sebifera",1707496204,3.9431,-77.16795,"gass84"
"25","Virola sebifera",1052768624,3.9442,-77.16653,"gass84"
"26","Virola sebifera",1090893945,-1.771778,-44.88975,"gass84"
"27","Virola sebifera",1258090527,-14.571972,-68.779306,"cdround,gass84,iddatunl"
"28","Virola sebifera",1253915793,10.978593,-85.430343,"cdround,rdatm"
"29","Virola sebifera",1090894589,-1.642361,-44.871333,"gass84"
"30","Virola sebifera",1052766668,3.535472,-77.257555,"gass84"
"31","Virola sebifera",1258101270,-10.323889,-75.263611,"cdround,gass84,iddatunl"
"32","Virola sebifera",1707501266,8.233556,-77.194278,"cdround,gass84"
"33","Virola sebifera",1090153396,-1.518908,-48.617,"gass84"
"34","Virola sebifera",1258108130,-10.481944,-75.096667,"cdround,gass84,iddatunl"
"35","Virola sebifera",1090155358,-0.728889,-47.848056,"gass84"
"36","Virola sebifera",1257964264,-14.144994,-68.745008,"cdround,gass84,iddatunl"
"37","Virola sebifera",1424484100,-8.5,-61.556667,"cdround,gass84,rdatm"
"38","Virola sebifera",1077477819,-20.716528,-46.224361,"gass84"
"39","Virola sebifera",1147296390,1.202667,-71.269389,"cdround,gass84"
"40","Virola sebifera",1123901226,5.871139,-74.86225,"cdround"
