"","name","key","decimalLatitude","decimalLongitude","issues"
"1","Vismia guianensis",1658216789,-1.359783,-48.342458,"gass84"
"2","Vismia guianensis",1585209064,-0.756331,-48.515453,"gass84"
"3","Vismia guianensis",1324590151,-11.513091,-37.571094,"gass84"
"4","Vismia guianensis",1423930285,-14.108889,-39.527778,"cdround,gass84,rdatm"
"5","Vismia guianensis",1324590226,-11.513091,-37.571094,"gass84"
"6","Vismia guianensis",1455752614,-13.602222,-39.750833,"gass84,iddatunl"
"7","Vismia guianensis",1324589785,-10.2808,-36.3621,"gass84"
"8","Vismia guianensis",1657212888,-10.966904,-37.154621,"gass84"
"9","Vismia guianensis",1324590263,-11.513091,-37.571094,"gass84"
"10","Vismia guianensis",1434652905,-10.558333,-36.969444,"gass84"
"11","Vismia guianensis",1455752655,-11.783333,-37.933333,"gass84,iddatunl"
"12","Vismia guianensis",1500373863,-4.533333,-39.466667,"gass84,iddatunl"
"13","Vismia guianensis",1585337266,-9.18,-36,"gass84"
"14","Vismia guianensis",1264695783,-11.0429,-37.1944,"gass84,iddatunl"
"15","Vismia guianensis",1208833329,-13.2825,-39.570278,"gass84,iddatunl"
"16","Vismia guianensis",1657212698,-11.858586,-37.953039,"gass84"
"17","Vismia guianensis",1252588500,-8.7125,-35.841667,"gass84"
"18","Vismia guianensis",1657212786,-10.881541,-37.053405,"gass84"
"19","Vismia guianensis",1213517546,-10.4618,-37.0753,"gass84"
"20","Vismia guianensis",1264714321,-3.910833,-41.618889,"gass84,iddatunl"
"21","Vismia guianensis",1413715261,-2.493889,-44.250278,"gass84"
"22","Vismia guianensis",1585209003,-1.17375,-48.418972,"gass84,iddatunl"
"23","Vismia guianensis",1264696133,-10.3758,-36.5257,"gass84"
"24","Vismia guianensis",1585208977,-1.17375,-48.418972,"gass84,iddatunl"
"25","Vismia guianensis",1324590199,-11.513091,-37.571094,"gass84"
"26","Vismia guianensis",1264714730,-13.602222,-39.750833,"gass84,iddatunl"
"27","Vismia guianensis",1077245606,-12.988889,-41.349167,"gass84,iddatunl"
"28","Vismia guianensis",1089193169,-6.892222,-35.585278,"gass84"
"29","Vismia guianensis",1087693122,-10.718167,-37.131417,"gass84"
"30","Vismia guianensis",1089196753,-8.714236,-35.838967,"gass84"
"31","Vismia guianensis",1087693217,-10.525,-37.10125,"gass84"
"32","Vismia guianensis",1089192611,-7.414167,-34.964444,"gass84"
"33","Vismia guianensis",1213520100,-9.1418,-36.256,"gass84"
"34","Vismia guianensis",1087693324,-11.503583,-37.650139,"gass84"
"35","Vismia guianensis",1213520087,-9.143,-36.2512,"gass84"
"36","Vismia guianensis",1089193337,-6.973611,-35.748611,"gass84"
"37","Vismia guianensis",1303206654,-7.383867,-39.354436,"gass84"
"38","Vismia guianensis",1087693557,-10.593333,-36.94,"gass84"
"39","Vismia guianensis",1087694298,-11.373889,-37.657778,"gass84"
"40","Vismia guianensis",1089193826,-9.242127,-36.435527,"gass84"
"41","Vismia guianensis",1587318836,-9.3067,-35.9433,"gass84"
"42","Vismia guianensis",1077610495,-9.242127,-36.435527,"gass84"
"43","Vismia guianensis",1087540517,-13.1905,-39.602722,"gass84"
"44","Vismia guianensis",1090442399,-12.853056,-39.471944,"gass84"
"45","Vismia guianensis",1089196734,-8.702378,-35.854478,"gass84"
"46","Vismia guianensis",1143418743,-1.642361,-44.871333,"gass84"
"47","Vismia guianensis",1087540789,-13.734917,-39.566361,"gass84"
"48","Vismia guianensis",1208832310,-2.473056,-44.053833,"gass84"
"49","Vismia guianensis",1143418765,-1.771778,-44.88975,"gass84"
"50","Vismia guianensis",1424500263,-3.297222,-51.936389,"cdround,gass84"
"51","Vismia guianensis",1423936442,-8.64,-63.72,"gass84"
"52","Vismia guianensis",1424500271,-3.210556,-51.784167,"cdround,gass84"
"53","Vismia guianensis",1424500048,-3.285,-51.772222,"cdround,gass84,rdatm"
"54","Vismia guianensis",1424500150,-3.255833,-51.766111,"cdround,gass84"
"55","Vismia guianensis",1424500146,-3.275278,-51.755556,"cdround,gass84"
"56","Vismia guianensis",1424500216,-3.315556,-51.818056,"cdround,gass84"
"57","Vismia guianensis",1424506075,-3.183333,-51.788611,"cdround,gass84"
"58","Vismia guianensis",1424500605,-3.179722,-51.789444,"cdround,gass84"
"59","Vismia guianensis",1424500424,-3.253889,-51.755,"cdround,gass84,rdatm"
"60","Vismia guianensis",1424500464,-3.178889,-51.786389,"cdround,gass84,muluriiv"
"61","Vismia guianensis",1424506123,-3.411389,-51.910278,"cdround,gass84"
"62","Vismia guianensis",1424500421,-3.174444,-51.786389,"cdround,gass84,rdatm"
"63","Vismia guianensis",1424500561,-3.179722,-51.784167,"cdround,gass84"
"64","Vismia guianensis",1424500489,-3.178611,-51.785833,"cdround,gass84"
"65","Vismia guianensis",1424500646,-3.181111,-51.788333,"cdround,gass84"
"66","Vismia guianensis",1424500428,-3.215833,-51.790833,"cdround,gass84"
"67","Vismia guianensis",1424500401,-3.31,-51.808889,"cdround,gass84"
"68","Vismia guianensis",1424506092,-3.1725,-51.786389,"cdround,gass84"
"69","Vismia guianensis",1424506091,-3.181667,-51.784167,"cdround,gass84,rdatm"
"70","Vismia guianensis",1424506112,-3.178056,-51.784722,"cdround,gass84"
"71","Vismia guianensis",1424506085,-3.181667,-51.784167,"cdround,gass84"
"72","Vismia guianensis",1563895301,-14.759722,-40.320278,"cdround,gass84"
"73","Vismia guianensis",1087695155,-10.3536,-36.5624,"gass84"
"74","Vismia guianensis",1087695150,-10.3536,-36.5624,"gass84"
"75","Vismia guianensis",1090154340,-1.675947,-47.765836,"gass84"
"76","Vismia guianensis",1424458099,-1.729444,-48.874167,"cdround,gass84"
"77","Vismia guianensis",1090913645,-7.341967,-39.470606,"cdround,gass84"
"78","Vismia guianensis",1090152978,-1.729503,-48.874256,"gass84"
"79","Vismia guianensis",1087690085,-11.398694,-37.425417,"gass84,iddatunl"
"80","Vismia guianensis",1213656741,-12.971389,-60.588333,"gass84"
"81","Vismia guianensis",1090153349,-2.945972,-48.954247,"gass84"
"82","Vismia guianensis",1090894608,-2.946111,-48.954167,"gass84"
"83","Vismia guianensis",1089189489,-11.398694,-37.425417,"gass84,iddatunl"
"84","Vismia guianensis",1090893388,-2.946111,-48.954167,"gass84"
"85","Vismia guianensis",1090887322,-19.802281,-40.123833,"gass84,iddatunl"
"86","Vismia guianensis",1424453460,-13.586667,-39.718056,"cdround,gass84,rdatm"
"87","Vismia guianensis",1087691135,-10.842778,-37.143,"gass84"
"88","Vismia guianensis",1090914562,-10.525164,-40.317717,"cdround,gass84"
"89","Vismia guianensis",1042713985,-9.597778,-65.36,"gass84,gdativ,iddatunl"
"90","Vismia guianensis",1087539589,-13.84725,-39.661222,"gass84"
"91","Vismia guianensis",1424466142,-13.879167,-39.670833,"cdround,gass84"
"92","Vismia guianensis",1090154383,-1.8847,-48.765214,"gass84"
"93","Vismia guianensis",1090155023,-1.254197,-48.452533,"gass84"
"94","Vismia guianensis",1208832305,-2.473056,-44.053833,"gass84"
"95","Vismia guianensis",1090155034,-6.060114,-56.382422,"gass84"
"96","Vismia guianensis",1424474420,-3.957778,-40.835833,"cdround,gass84,rdatm"
"97","Vismia guianensis",1086733576,-12.950833,-41.675278,"gass84"
"98","Vismia guianensis",1087692940,-11.100917,-37.350139,"gass84"
"99","Vismia guianensis",1095638186,-12.55,-41.383333,"gass84,iddatunl"
"100","Vismia guianensis",1424485323,-12.570278,-41.403055,"cdround,gass84,rdatm"
"101","Vismia guianensis",1089259834,-3.970278,-40.840833,"gass84,iddatunl"
"102","Vismia guianensis",1077244895,-12.570278,-41.403056,"gass84,iddatunl"
"103","Vismia guianensis",1077250038,-11.966667,-41.25,"gass84"
"104","Vismia guianensis",1275054354,-10.4107,-37.253,"gass84"
"105","Vismia guianensis",1087685911,-11.390278,-37.378889,"gass84,iddatunl"
"106","Vismia guianensis",1089188969,-9.244167,-36.424722,"gass84"
"107","Vismia guianensis",1077476354,-7.470333,-64.71525,"gass84,iddatunl"
"108","Vismia guianensis",1089186827,-11.390278,-37.378889,"gass84,iddatunl"
"109","Vismia guianensis",1087685823,-10.758056,-37.315,"gass84,iddatunl"
"110","Vismia guianensis",1087685859,-10.758056,-37.315,"gass84,iddatunl"
"111","Vismia guianensis",1077240525,-11.649167,-37.542222,"gass84,iddatunl"
"112","Vismia guianensis",1077244889,-6.865833,-35.5825,"gass84"
"113","Vismia guianensis",1090880386,-11.649167,-37.542222,"gass84,iddatunl"
"114","Vismia guianensis",1077240671,-7.076667,-35.754444,"gass84,iddatunl"
"115","Vismia guianensis",1090894325,-2.645556,-44.895,"gass84"
"116","Vismia guianensis",1086732616,-7.140556,-36.276944,"gass84"
"117","Vismia guianensis",1077244819,-7.078611,-35.759722,"gass84"
"118","Vismia guianensis",1086732609,-7.449444,-35.973611,"gass84"
"119","Vismia guianensis",1077240975,-12.966667,-38.5,"gass84,iddatunl"
"120","Vismia guianensis",1089187026,-11.406667,-37.440556,"gass84,iddatunl"
"121","Vismia guianensis",1090151348,-1.546853,-47.112956,"gass84"
"122","Vismia guianensis",1087686258,-11.406667,-37.440556,"gass84,iddatunl"
"123","Vismia guianensis",1090669290,-10.378333,-55.750833,"gass84"
"124","Vismia guianensis",1077240969,-12.966667,-38.5,"gass84,iddatunl"
"125","Vismia guianensis",1213519268,-10.1256,-36.1756,"gass84"
"126","Vismia guianensis",1042712524,-3.098083,-59.91,"gass84,gdativ"
"127","Vismia guianensis",1087686652,-10.686472,-36.841889,"gass84,iddatunl"
"128","Vismia guianensis",1087687346,-10.511,-37.099194,"gass84,iddatunl"
"129","Vismia guianensis",1089186937,-7.020833,-35.149722,"gass84"
