"","name","key","decimalLatitude","decimalLongitude","issues"
"1","Zollernia glabra",1819182788,-22.298333,-41.750556,"cdround,gass84"
"2","Zollernia glabra",1571775648,-22.947778,-42.133056,"gass84,iddatunl"
"3","Zollernia glabra",1094931569,-22.23,-41.625,"gass84"
"4","Zollernia glabra",1503029726,-21.756111,-41.041111,"gass84"
"5","Zollernia glabra",1123830133,-22.286389,-41.730556,"gass84"
"6","Zollernia glabra",1324596559,-25.451944,-48.683056,"gass84"
"7","Zollernia glabra",1095631068,-25.452006,-48.683158,"gass84"
"8","Zollernia glabra",1077610191,-10.215556,-36.298889,"gass84"
"9","Zollernia glabra",1424410587,-6.593055,-35.063056,"cdround,gass84"
"10","Zollernia glabra",1090882081,-18.765833,-39.7525,"gass84"
"11","Zollernia glabra",1090882086,-18.657778,-39.793806,"gass84"
"12","Zollernia glabra",1094907993,-12.166667,-37.966667,"gass84,iddatunl"
"13","Zollernia glabra",1090879264,-19.3475,-39.729306,"gass84"
"14","Zollernia glabra",1424391402,-18.693333,-39.783056,"cdround,gass84,rdatm"
"15","Zollernia glabra",1123827918,-22.289444,-41.725556,"gass84"
"16","Zollernia glabra",1094905616,-13.692778,-39.01,"gass84"
"17","Zollernia glabra",1123828697,-20.855278,-40.7275,"gass84"
"18","Zollernia glabra",1090882937,-19.293278,-39.710389,"gass84"
"19","Zollernia glabra",1123823682,-21.214583,-40.941583,"gass84"
"20","Zollernia glabra",1097687866,-22.8832603958893,-42.018386387664,"cdrep"
"21","Zollernia glabra",1424239402,-22.9375,-42.293611,"cdround,gass84,iddatunl,rdatm"
"22","Zollernia glabra",1424240731,-22.937222,-42.293333,"cdround,gass84,iddatunl"
"23","Zollernia glabra",1424247620,-22.936111,-42.293889,"cdround,gass84,rdatm"
"24","Zollernia glabra",1424247632,-22.936944,-42.291389,"cdround,gass84,rdatm"
"25","Zollernia glabra",1424249753,-20.416111,-40.322222,"cdround,gass84"
"26","Zollernia glabra",1090880866,-18.733333,-39.809722,"gass84"
"27","Zollernia glabra",1094859458,-14.949722,-39.626944,"gass84,iddatunl"
"28","Zollernia glabra",1090883002,-18.5933,-39.7322,"gass84"
"29","Zollernia glabra",1499616626,-22.9275,-42.357778,"gass84,iddatunl"
"30","Zollernia glabra",1424220440,-19.3725,-39.725556,"cdround,gass84"
"31","Zollernia glabra",1424235893,-22.922222,-42.999444,"cdround,gass84"
"32","Zollernia glabra",1090886676,-20.75,-41.283333,"gass84"
"33","Zollernia glabra",1090877610,-18.7161,-39.8589,"gass84"
"34","Zollernia glabra",1090880880,-18.725,-39.749444,"gass84"
"35","Zollernia glabra",1090880873,-18.716111,-39.858889,"gass84"
"36","Zollernia glabra",1423998158,-23.048333,-43.616667,"cdround,gass84"
"37","Zollernia glabra",1424300144,-21.415556,-41.077222,"cdround,gass84"
"38","Zollernia glabra",1424265290,-21.575833,-41.098333,"cdround,gass84"
"39","Zollernia glabra",1097420250,-22.7406,-41.9611,"gass84"
"40","Zollernia glabra",1423998132,-22.719167,-41.966667,"cdround,gass84"
"41","Zollernia glabra",1090569184,-22.86372,-47.08676,"gass84,iddatunl"
"42","Zollernia glabra",1090870406,-20.806111,-40.749444,"gass84"
"43","Zollernia glabra",1424245612,-22.949167,-42.071944,"cdround,gass84"
"44","Zollernia glabra",912498116,-21.4,-41.09,"gass84"
"45","Zollernia glabra",1090865788,-20.600278,-40.466667,"gass84"
"46","Zollernia glabra",1135942902,-22.55,-43.266667,"gass84,iddatunl"
"47","Zollernia glabra",1795984845,-22.53333,-43.25,"gass84"
"48","Zollernia glabra",1424435013,-22.516667,-43.233333,"cdround,gass84"
"49","Zollernia glabra",1090871606,-20.266667,-40.266389,"gass84"
"50","Zollernia glabra",1090863330,-20.15,-40.183333,"gass84"
"51","Zollernia glabra",1090864255,-20.329722,-40.292222,"gass84"
"52","Zollernia glabra",1424156040,-22.833333,-41.95,"cdround,gass84"
"53","Zollernia glabra",1090873839,-20.8489,-41.1128,"gass84"
"54","Zollernia glabra",1090860597,-18.593333,-39.732222,"gass84"
"55","Zollernia glabra",1090861014,-19.133642,-38.351081,"gass84"
"56","Zollernia glabra",1090868765,-19.671944,-39.882778,"gass84"
"57","Zollernia glabra",1090858449,-21.280278,-40.968889,"gass84"
"58","Zollernia glabra",1090858840,-20.427222,-40.327778,"gass84,iddatunl"
"59","Zollernia glabra",1090858415,-20.406944,-40.326667,"gass84"
"60","Zollernia glabra",1423998082,-22.833333,-42.166667,"cdround,gass84,iddatunl,rdatm"
"61","Zollernia glabra",1424273460,-22.433333,-42.833333,"cdround,gass84"
"62","Zollernia glabra",1098219406,-23.003937,-43.421486,"iddatunl"
"63","Zollernia glabra",1097422956,-22.995332,-43.369099,""
"64","Zollernia glabra",1097923283,-22.804901,-43.209611,"iddatunl"
"65","Zollernia glabra",1098005648,-23.011012,-43.36594,"iddatunl"
"66","Zollernia glabra",1264693281,-21.7944,-48.1756,"gass84"
"67","Zollernia glabra",912498091,-22.78,-43.18,"gass84"
"68","Zollernia glabra",912498038,-23.02,-43.47,"gass84"
"69","Zollernia glabra",912498077,-22.95,-43.21,"gass84"
"70","Zollernia glabra",1228314248,-10.8339,-52.8731,"gass84"
"71","Zollernia glabra",912498050,-22.9,-43.23,"gass84,rdativ"
