"","X","name","key","decimalLatitude","decimalLongitude","issues","cells","bio1","bio2","bio3","bio4","bio5","bio6","bio7","bio8","bio9","bio10","bio11","bio12","bio13","bio14","bio15","bio16","bio17","bio18","bio19"
"1",1,"Alchornea glandulosa",1234555453,-24.742222,-52.435278,"gass84,iddatunl",23788982,198,119,60,2782,291,93,198,231,171,231,161,1602,233,77,35,591,286,591,309
"2",2,"Alchornea glandulosa",1088034821,-23.52527,-51.585,"gass84",23538442,190,125,65,2454,278,86,192,217,169,217,155,1456,186,57,33,519,217,519,269
"3",3,"Alchornea glandulosa",1213647249,-25.738667,-48.611111,"gass84,iddatunl",23996434,202,75,47,2837,284,126,158,239,166,239,166,2042,291,84,42,845,276,845,276
"4",4,"Alchornea glandulosa",1090757122,-20.813806,-47.253722,"gass84",22976946,204,104,66,1557,270,114,156,218,183,218,180,1520,278,14,76,765,53,695,82
"5",5,"Alchornea glandulosa",1090757063,-20.883889,-52.614472,"gass84,iddatunl",22994098,238,120,68,1965,312,138,174,257,213,257,209,1298,210,25,55,564,96,521,137
"6",6,"Alchornea glandulosa",1094712106,-24.956389,-53.455556,"cdround,gass84",23832158,180,131,61,2900,283,71,212,215,153,215,141,1827,212,92,22,551,363,551,405
"7",7,"Alchornea glandulosa",1095633628,-25.673861,-48.476083,"gass84,iddatunl",23987797,207,72,48,2645,287,137,150,242,174,242,174,2065,291,84,42,863,279,863,279
"8",8,"Alchornea glandulosa",1087653338,-22.579389,-45.325333,"gass84",23339873,152,120,63,2256,229,40,189,176,120,176,120,1819,335,27,73,926,104,855,104
"9",9,"Alchornea glandulosa",1077248024,-14.483056,-42.566667,"gass84,iddatunl",21663779,206,108,73,1278,274,127,147,214,187,216,187,876,196,3,91,520,11,352,19
"10",10,"Alchornea glandulosa",1090875140,-20.8489,-41.1128,"gass84",22985734,244,103,62,1884,328,162,166,260,221,267,220,1063,173,27,54,480,102,320,121
"11",11,"Alchornea glandulosa",1090866024,-23.9161,-51.9792,"gass84",23616193,210,123,60,2901,304,102,202,244,183,244,171,1478,205,66,38,529,243,529,288
"12",12,"Alchornea glandulosa",1098472362,-24.220778,-52.462444,"gass84",23685301,194,118,62,2687,284,94,190,225,169,225,157,1653,198,86,26,541,309,541,366
"13",13,"Alchornea glandulosa",1090750158,-24.520778,-52.462444,"gass84",23745781,195,119,61,2661,286,93,193,227,170,227,160,1633,238,77,34,593,283,593,324
"14",14,"Alchornea glandulosa",1086961831,-23.938667,-51.1455,"gass84,iddatunl",23624853,173,127,64,2524,265,68,197,202,140,202,138,1554,199,73,27,531,281,531,313
"15",15,"Alchornea glandulosa",1077402973,-22.675278,-42.813333,"cdround,gass84",23365853,232,88,56,2160,309,153,156,258,204,260,204,1276,182,41,47,502,130,479,130
"16",16,"Alchornea glandulosa",1090881032,-27.138,-48.517,"gass84",24290196,199,87,50,2827,285,111,174,236,163,236,163,1595,211,81,30,580,259,580,259
"17",18,"Alchornea glandulosa",1087645220,-19.891611,-43.915972,"gass84",22786947,208,119,66,1854,286,107,179,223,183,227,180,1415,308,11,87,806,36,601,51
"18",19,"Alchornea glandulosa",1090865562,-23.792256,-52.256577,"gass84",23598906,206,119,61,2772,296,103,193,238,169,238,168,1432,175,66,30,490,244,490,288
"19",21,"Alchornea glandulosa",1424179626,-22.288889,-42.873333,"cdround,gass84",23279452,186,104,59,2205,271,95,176,212,158,214,157,1576,290,30,67,757,103,663,123
"20",22,"Alchornea glandulosa",1077222754,-11.014444,-44.942778,"gass84,iddatunl",20946602,245,153,68,1217,349,126,223,253,227,258,227,953,173,0,87,494,3,251,3
"21",23,"Alchornea glandulosa",1259106410,-25.355833,-54.623611,"cdround,gass84,iddatunl",23918530,213,121,56,3444,320,104,216,235,168,254,168,1690,179,91,19,509,318,464,318
"22",24,"Alchornea glandulosa",1258373988,-23.770278,-56.023611,"cdround,gass84,iddatunl",23590176,225,113,56,2958,319,118,201,245,186,259,185,1484,178,65,29,501,219,451,270
"23",25,"Alchornea glandulosa",1258369972,-23.798889,-56.188333,"cdround,gass84,iddatunl",23598812,224,113,56,2982,319,118,201,245,185,259,184,1451,175,61,29,487,212,439,266
"24",26,"Alchornea glandulosa",1097832388,-22.6546564621181,-42.3918119950037,"cdrep",23357223,231,83,58,1936,302,159,143,247,207,257,207,1105,164,36,45,431,116,387,116
"25",27,"Alchornea glandulosa",1097321464,-25.9,-57.15,"gass84",24030789,216,112,53,3474,320,112,208,216,180,259,171,1501,168,71,25,444,236,400,254
"26",28,"Alchornea glandulosa",1098088229,-15.7834208090807,-47.9298726661488,"cdrep",21931490,211,108,70,1021,280,127,153,216,201,219,195,1580,264,7,75,756,31,447,51
"27",29,"Alchornea glandulosa",1098249839,-15.1954157528398,-39.4952160228309,"cdrep,iddatunl",21810733,234,74,64,1165,289,174,115,243,231,247,217,1208,132,63,23,382,215,355,260
"28",30,"Alchornea glandulosa",1097786536,-14.771874,-39.227366,"cdround,iddatunl",21724339,244,65,62,997,294,190,104,252,242,256,229,1513,179,82,21,450,283,426,368
"29",31,"Alchornea glandulosa",1098140548,-19.3949002236543,-40.071853011446,"cdrep,iddatunl",22683359,243,91,62,1684,315,169,146,257,221,264,221,1203,188,36,51,534,140,360,145
"30",32,"Alchornea glandulosa",1098031635,-14.7895068142097,-39.2802020244641,"cdrep,iddatunl",21724338,243,66,62,1005,294,189,105,252,241,255,229,1445,172,76,22,427,267,409,347
