"","X","name","key","decimalLatitude","decimalLongitude","issues","cells","bio1","bio2","bio3","bio4","bio5","bio6","bio7","bio8","bio9","bio10","bio11","bio12","bio13","bio14","bio15","bio16","bio17","bio18","bio19"
"1",1,"Coccoloba alnifolia",1632926579,-20.596673,-40.424226,"gass84",22933910,245,79,58,1694,315,181,134,260,224,268,224,1099,172,46,43,453,154,286,154
"2",2,"Coccoloba alnifolia",1423900119,-22.931667,-42.601944,"cdround,gass84,rdatm",23417698,232,77,56,1970,301,164,137,247,208,259,208,1096,145,45,36,388,139,364,139
"3",3,"Coccoloba alnifolia",1423920839,-22.947778,-42.133056,"cdround,gass84",23417709,230,65,56,1732,289,174,115,242,209,253,209,870,114,39,30,300,125,242,125
"4",4,"Coccoloba alnifolia",1503028848,-13.945833,-40.112778,"gass84",21551518,212,77,65,1330,270,153,117,223,204,227,193,861,118,40,32,302,140,256,163
"5",5,"Coccoloba alnifolia",1316183577,-24.0358,-47.5812,"gass84",23642219,174,99,57,2503,255,82,173,204,141,205,141,1835,278,67,47,754,206,717,206
"6",6,"Coccoloba alnifolia",1311920263,-20.73463,-40.52724,"gass84",22959828,243,82,59,1701,314,177,137,258,222,266,222,1080,168,44,44,447,144,285,144
"7",7,"Coccoloba alnifolia",1094927422,-18.643611,-40.578889,"gass84,iddatunl",22527827,238,105,68,1475,313,160,153,249,218,257,218,1114,180,31,57,513,109,362,109
"8",8,"Coccoloba alnifolia",1291012307,-16.474722,-41.175833,"gass84",22078532,228,114,66,1793,307,136,171,242,202,247,202,862,170,15,75,465,56,296,56
"9",9,"Coccoloba alnifolia",1090887541,-20.65807,-40.47005,"gass84,iddatunl",22942549,244,80,58,1705,315,179,136,259,223,267,223,1092,171,45,43,452,150,286,150
"10",10,"Coccoloba alnifolia",1702656323,-5.58,-35.46,"gass84",19814989,255,87,75,1022,312,196,116,258,260,267,240,1035,176,10,70,482,39,291,349
"11",11,"Coccoloba alnifolia",1090882412,-18.416667,-39.740278,"gass84",22484647,241,80,62,1543,305,176,129,253,219,260,219,1356,185,66,35,502,222,356,222
"12",13,"Coccoloba alnifolia",1094916954,-19.348333,-40.551111,"gass84,iddatunl",22674707,234,104,67,1568,310,155,155,246,213,254,213,1201,198,30,59,570,111,395,111
"13",14,"Coccoloba alnifolia",1424505473,-21.761389,-41.035555,"cdround,gass84",23175816,231,85,58,1859,301,155,146,244,207,255,207,1024,148,28,44,390,105,323,105
"14",15,"Coccoloba alnifolia",1423924452,-6.744167,-35.144167,"cdround,gass84,rdatm",20056917,250,91,72,1209,313,187,126,246,256,262,232,1271,198,23,61,557,83,298,478
