"","X","name","key","decimalLatitude","decimalLongitude","issues","cells","bio1","bio2","bio3","bio4","bio5","bio6","bio7","bio8","bio9","bio10","bio11","bio12","bio13","bio14","bio15","bio16","bio17","bio18","bio19"
"1",1,"Hydrogaster trinervis",1587295967,-19.148222,-40.064722,"gass84",22631519,240,94,64,1589,313,168,145,254,221,261,219,1207,183,39,49,523,145,364,146
"2",2,"Hydrogaster trinervis",1094910526,-19,-40,"gass84",22605601,241,93,64,1581,313,169,144,254,220,261,220,1215,179,43,46,509,156,360,156
"3",3,"Hydrogaster trinervis",1090878098,-18.5933,-39.7322,"gass84",22519207,240,81,61,1562,306,175,131,245,219,260,219,1329,184,59,38,501,203,357,203
"4",4,"Hydrogaster trinervis",1090521433,-16.333333,-39.133333,"gass84",22044021,239,76,66,1223,294,180,114,224,253,253,221,1483,164,81,20,450,288,288,404
"5",5,"Hydrogaster trinervis",1090881771,-18.362528,-40.162139,"gass84",22467357,240,95,66,1501,312,169,143,252,222,259,220,1112,170,46,44,457,152,326,152
"6",7,"Hydrogaster trinervis",1090506274,-17.146667,-39.364722,"gass84",22216816,244,80,65,1357,305,182,123,255,236,260,224,1089,137,65,22,340,233,242,253
"7",9,"Hydrogaster trinervis",1094836769,-13.166667,-39.15,"gass84,iddatunl",21396021,234,65,63,1296,287,185,102,221,233,249,216,1718,187,93,23,555,330,393,507
"8",10,"Hydrogaster trinervis",1424237159,-17.766667,-39.5,"cdround,gass84,rdatm",22346413,244,78,63,1406,306,183,123,249,224,261,224,1407,172,82,22,461,286,329,286
"9",11,"Hydrogaster trinervis",1226936569,-16.5,-39.816667,"gass84,iddatunl",22087205,240,94,67,1552,307,168,139,252,217,258,217,1049,126,46,32,377,165,324,165
"10",12,"Hydrogaster trinervis",1097464563,-15.15,-39.0692,"gass84,iddatunl",21802103,242,68,63,1045,293,186,107,250,240,254,226,1626,153,104,10,442,358,428,404
"11",14,"Hydrogaster trinervis",1658212361,-15.166944,-39.053889,"gass84",21810743,242,68,62,1048,294,186,108,250,235,254,227,1619,154,103,10,437,359,423,400
"12",15,"Hydrogaster trinervis",1097188399,-14.4997,-39.115,"gass84,iddatunl",21663862,235,63,64,959,284,186,98,237,232,247,222,1874,198,114,17,533,365,481,515
"13",19,"Hydrogaster trinervis",1226936749,-14.483333,-40,"gass84,iddatunl",21663841,228,77,65,1280,285,168,117,238,213,243,209,1089,153,48,36,404,162,326,176
"14",20,"Hydrogaster trinervis",1077219109,-13.816667,-39.133333,"gass84,iddatunl,txmatfuz",21525621,244,64,64,1117,295,196,99,249,237,258,228,2155,215,121,16,615,411,552,561
"15",22,"Hydrogaster trinervis",1090876410,-19.3911,-40.0722,"gass84",22683359,243,91,62,1684,315,169,146,257,221,264,221,1203,188,36,51,534,140,360,145
"16",23,"Hydrogaster trinervis",1123793550,-19.971389,-40.530278,"gass84",22804308,212,98,64,1655,288,135,153,226,191,233,191,1272,203,40,51,567,147,390,156
"17",24,"Hydrogaster trinervis",1097921846,-16.4534421797808,-39.0642869012885,"cdrep,iddatunl",22069943,242,75,65,1234,298,184,114,227,256,256,224,1610,176,88,20,486,302,302,428
"18",25,"Hydrogaster trinervis",1086643720,-21.347222,-51.856667,"gass84",23089156,232,122,64,2434,312,122,190,257,198,257,197,1117,186,22,57,504,89,504,131
"19",26,"Hydrogaster trinervis",1097633018,-14.7819,-39.0692,"gass84",21724343,246,63,61,945,295,193,102,254,245,257,232,1906,201,128,14,558,392,508,503
"20",28,"Hydrogaster trinervis",1226935009,-19.283333,-40.2,"gass84,iddatunl",22657436,241,95,65,1602,314,168,146,254,222,262,220,1192,187,34,53,536,132,368,133
"21",30,"Hydrogaster trinervis",1090874494,-19.8203,-40.2733,"gass84",22769754,245,90,61,1729,318,172,146,259,225,267,222,1156,190,37,52,518,140,336,141
"22",31,"Hydrogaster trinervis",1077193741,-15.85,-38.866667,"gass84",21948988,242,73,65,1207,294,183,111,225,253,255,225,1610,177,107,17,491,342,351,431
"23",33,"Hydrogaster trinervis",1096920377,-19.072306,-39.894556,"gass84",22614243,241,90,63,1577,312,171,141,254,220,262,220,1234,180,46,45,509,164,358,164
"24",36,"Hydrogaster trinervis",1096920356,-19.156214,-40.041578,"gass84",22631520,240,93,64,1623,313,168,145,253,220,261,219,1213,183,40,48,521,149,363,150
"25",37,"Hydrogaster trinervis",1097329276,-16.2820386033505,-39.0242843476198,"cdrep",22035384,242,74,66,1217,296,184,112,227,254,256,224,1615,206,69,31,582,263,270,516
"26",38,"Hydrogaster trinervis",1098054320,-16.372109,-39.18158,"cdround,iddatunl",22052660,239,77,66,1270,295,180,115,224,254,254,221,1452,152,86,17,415,295,295,373
"27",39,"Hydrogaster trinervis",1144699835,-10.77306,-53.08972,"gass84",20894566,256,143,69,674,358,152,206,256,247,262,246,2243,376,3,75,1081,28,590,52
"28",40,"Hydrogaster trinervis",1097299001,-14.4231,-39.0617,"rdativ",21655223,241,63,64,976,289,192,97,243,238,253,227,1994,210,121,18,585,387,502,562
"29",41,"Hydrogaster trinervis",1094931729,-12.166667,-37.966667,"gass84",21188689,238,79,66,1407,300,181,119,234,249,253,218,1752,301,69,48,746,248,316,571
