"","X","name","key","decimalLatitude","decimalLongitude","issues","cells","bio1","bio2","bio3","bio4","bio5","bio6","bio7","bio8","bio9","bio10","bio11","bio12","bio13","bio14","bio15","bio16","bio17","bio18","bio19"
"1",1,"Siphoneugena densiflora",1801097559,-17.914398,-43.786635,"gass84,iddatunl",22372230,191,110,63,1683,275,103,172,204,172,208,166,1384,314,8,86,782,26,544,45
"2",2,"Siphoneugena densiflora",1585338450,-19.256944,-43.551111,"cdround,gass84",22657355,186,116,65,1819,268,90,178,201,163,205,159,1579,314,10,82,850,35,630,54
"3",3,"Siphoneugena densiflora",1801096644,-18.193333,-43.571389,"gass84,iddatunl",22432715,188,103,60,1714,275,106,169,202,169,206,163,1485,340,9,86,836,32,571,53
"4",4,"Siphoneugena densiflora",1801096603,-22.389444,-44.749722,"gass84",23305327,149,126,64,2110,228,34,194,172,119,173,119,1837,327,25,72,930,95,842,95
"5",5,"Siphoneugena densiflora",1423929616,-22.447778,-42.499444,"cdround,gass84,rdatm",23314021,176,98,59,2035,257,92,165,199,151,202,149,1476,253,33,61,668,114,593,139
"6",6,"Siphoneugena densiflora",1801096711,-18.261944,-43.676667,"gass84,iddatunl",22449992,183,104,61,1718,270,100,170,197,164,201,158,1487,338,9,85,829,32,573,53
"7",7,"Siphoneugena densiflora",1213665575,-15.495833,-47.861389,"gass84,iddatunl",21871012,228,108,70,982,298,144,154,232,219,236,212,1401,264,4,79,695,18,185,35
"8",8,"Siphoneugena densiflora",1570743907,-23.1075,-46.97,"gass84",23452153,187,111,62,2314,266,88,178,213,155,213,155,1302,219,27,64,622,103,575,103
"9",9,"Siphoneugena densiflora",1423916735,-19.890278,-43.368333,"cdround,gass84,rdatm",22786960,205,116,63,2035,286,104,182,222,176,228,176,1390,293,10,85,774,34,574,34
"10",10,"Siphoneugena densiflora",1087386987,-23.642222,-46.614444,"gass84",23564482,181,96,59,2191,256,94,162,207,152,208,152,1402,228,37,57,634,129,606,129
"11",13,"Siphoneugena densiflora",1320379922,18.1506,-66.9917,"gass84",14898073,216,104,75,1188,281,144,137,227,201,229,199,2480,353,72,47,1012,241,743,255
"12",14,"Siphoneugena densiflora",1837451976,-19.154444,-43.171667,"gass84,iddatunl",22631444,208,122,64,2058,291,103,188,225,178,230,178,1588,369,10,85,888,38,607,38
"13",15,"Siphoneugena densiflora",1090530151,-15.761389,-47.643056,"gass84,iddatunl",21931497,215,114,71,1091,286,126,160,220,204,223,197,1482,257,5,78,734,24,406,42
"14",16,"Siphoneugena densiflora",1837446089,-19.421111,-46.149722,"gass84,iddatunl",22691853,197,122,68,1647,273,95,178,209,179,213,172,1548,310,12,80,800,39,672,63
"15",18,"Siphoneugena densiflora",1837452019,-19.196667,-43.269444,"gass84,iddatunl",22640082,207,122,65,2038,290,104,186,225,179,229,178,1600,373,9,86,895,35,615,58
"16",19,"Siphoneugena densiflora",1090144622,-19.33475,-46.072222,"gass84,iddatunl",22674575,201,123,68,1661,278,98,180,213,183,217,176,1537,310,12,81,796,37,676,58
"17",22,"Siphoneugena densiflora",1272062723,-15.866667,-47.833333,"gass84,iddatunl",21948773,210,113,71,1071,279,121,158,215,197,218,192,1627,279,7,77,804,31,456,49
"18",23,"Siphoneugena densiflora",1213626946,-19.2175,-43.506944,"gass84,iddatunl",22648716,179,114,64,1795,262,85,177,195,157,199,153,1600,308,11,80,854,37,635,56
"19",24,"Siphoneugena densiflora",1087656905,-20.107833,-43.983906,"gass84",22830145,178,121,67,1792,258,78,180,193,156,196,151,1559,337,13,84,851,44,671,58
"20",25,"Siphoneugena densiflora",1143419864,-18.590833,-43.868333,"gass84,iddatunl",22519108,199,118,64,1823,285,102,183,215,177,219,173,1375,309,6,87,762,23,572,42
"21",27,"Siphoneugena densiflora",1087657051,-20.136319,-43.972747,"gass84",22838785,178,121,67,1807,258,78,180,194,156,197,151,1554,338,13,84,850,44,668,58
"22",28,"Siphoneugena densiflora",1317950199,18.1136,-67.8942,"gass84",14906691,255,92,74,1165,314,191,123,267,239,268,239,1016,124,36,31,325,134,287,134
"23",29,"Siphoneugena densiflora",1077482422,-18.198611,-43.5875,"gass84",22432714,189,104,60,1699,276,105,171,203,170,207,164,1471,336,9,86,828,32,569,52
"24",30,"Siphoneugena densiflora",1087651690,-20.049078,-44.238675,"gass84,iddatunl,txmatfuz",22821499,214,130,67,1906,296,103,193,229,190,233,185,1338,285,10,87,773,34,543,49
"25",32,"Siphoneugena densiflora",1424309977,-19.148056,-43.832778,"cdround,gass84,iddatunl",22631429,207,123,65,1825,290,102,188,222,185,225,180,1417,309,7,85,784,26,573,45
"26",34,"Siphoneugena densiflora",1087643784,-20.197222,-43.432222,"gass84,iddatunl",22847438,192,114,62,2018,272,91,181,210,164,215,164,1439,302,13,83,789,42,609,42
"27",36,"Siphoneugena densiflora",1424265698,-21.716667,-43.883333,"cdround,gass84",23167107,180,108,64,1899,258,90,168,202,155,203,155,1583,293,18,75,802,65,706,83
"28",37,"Siphoneugena densiflora",1094836955,-13.286944,-42.213056,"gass84",21413227,228,124,71,1164,313,139,174,234,210,239,210,844,164,1,88,474,6,244,6
"29",38,"Siphoneugena densiflora",1087648148,-19.411222,-43.422472,"gass84",22683278,195,117,65,1904,277,98,179,212,170,216,168,1568,341,10,84,858,35,624,54
