"","X","name","key","decimalLatitude","decimalLongitude","issues","cells","bio1","bio2","bio3","bio4","bio5","bio6","bio7","bio8","bio9","bio10","bio11","bio12","bio13","bio14","bio15","bio16","bio17","bio18","bio19"
"1",1,"Toulicia laevigata",1801097177,-18.904722,-43.4275,"gass84",22579598,206,125,65,1995,292,100,192,224,180,227,177,1606,380,8,87,900,33,621,58
"2",2,"Toulicia laevigata",1587292075,-20.44385,-43.316236,"gass84",22899281,205,116,62,2117,289,102,187,223,175,229,175,1260,237,10,81,685,37,509,37
"3",3,"Toulicia laevigata",1090632673,-19.253389,-43.391806,"gass84,iddatunl",22657359,209,123,66,2004,292,106,186,227,182,231,181,1576,367,9,86,882,34,612,55
"4",4,"Toulicia laevigata",1098144366,-22.5158,-42.3753,"gass84",23331303,232,88,58,1980,305,155,150,247,206,258,206,1163,181,33,50,474,109,425,109
"5",6,"Toulicia laevigata",1234545627,-19.396361,-43.402056,"gass84,iddatunl",22683279,207,120,65,1978,289,107,182,224,180,229,179,1534,351,9,86,854,34,605,54
"6",7,"Toulicia laevigata",1424176471,-22.5,-42.25,"gass84,rdatm",23331307,232,84,58,1909,302,158,144,247,207,257,207,1101,170,34,47,442,111,381,111
"7",8,"Toulicia laevigata",1097671770,-22.6546564621181,-42.3918119950037,"cdrep",23357223,231,83,58,1936,302,159,143,247,207,257,207,1105,164,36,45,431,116,387,116
"8",9,"Toulicia laevigata",1098300737,-12.15,-44.99,"gass84",21179881,247,142,71,1018,340,142,198,249,237,258,232,1059,216,1,87,552,3,94,15
"9",10,"Toulicia laevigata",1228243217,-10.8339,-52.8731,"gass84",20911852,254,141,69,663,353,151,202,255,245,260,244,2144,354,3,75,1028,28,559,54
"10",11,"Toulicia laevigata",1097468899,-22.6569559555097,-43.0407567361808,"cdrep,rdativ",23357208,230,90,55,2253,310,149,161,258,202,260,202,1409,197,43,49,564,135,555,135
