"","X","name","key","decimalLatitude","decimalLongitude","issues","cells","bio1","bio2","bio3","bio4","bio5","bio6","bio7","bio8","bio9","bio10","bio11","bio12","bio13","bio14","bio15","bio16","bio17","bio18","bio19"
"1",1,"Unonopsis sanctae-teresae",1142077723,-19.914028,-40.533083,"gass84",22787028,202,99,64,1643,278,124,154,216,182,223,180,1316,206,41,51,584,151,411,159
"2",2,"Unonopsis sanctae-teresae",1123815940,-19.321139,-40.768861,"gass84",22666062,241,110,67,1567,320,158,162,254,221,261,221,1171,201,25,65,578,90,401,99
"3",3,"Unonopsis sanctae-teresae",1123815013,-19.797222,-40.775,"gass84",22769742,209,107,65,1665,288,125,163,223,188,229,187,1287,211,34,57,601,125,425,135
"4",4,"Unonopsis sanctae-teresae",1123810759,-19.971389,-40.530278,"gass84",22804308,212,98,64,1655,288,135,153,226,191,233,191,1272,203,40,51,567,147,390,156
"5",5,"Unonopsis sanctae-teresae",1123807362,-19.923889,-40.620278,"gass84",22795666,205,101,64,1671,283,126,157,220,185,226,183,1301,207,39,52,585,143,411,153
"6",6,"Unonopsis sanctae-teresae",1123798697,-19.9075,-40.553056,"gass84",22787027,200,100,64,1637,277,121,156,214,180,221,179,1320,207,41,51,589,149,416,157
"7",7,"Unonopsis sanctae-teresae",1123798790,-19.984167,-40.583333,"gass84",22804307,204,100,64,1647,281,126,155,218,184,225,183,1303,206,41,51,581,148,407,158
"8",9,"Unonopsis sanctae-teresae",1123794108,-19.931111,-40.7,"gass84",22795664,203,103,64,1681,281,121,160,217,182,224,181,1308,209,38,53,594,139,421,149
"9",12,"Unonopsis sanctae-teresae",1123792626,-19.973056,-40.593889,"gass84",22804306,201,101,64,1671,278,121,157,215,180,222,179,1315,207,40,52,588,146,416,156
"10",13,"Unonopsis sanctae-teresae",1123793962,-19.909167,-40.591667,"gass84",22787026,214,101,64,1664,291,135,156,228,193,235,193,1269,206,37,54,578,136,401,145
"11",15,"Unonopsis sanctae-teresae",1123791059,-19.925556,-40.635556,"gass84",22795665,201,102,64,1648,279,121,158,215,181,222,180,1315,209,39,53,593,142,420,152
