"","X","name","key","decimalLatitude","decimalLongitude","issues","cells","bio1","bio2","bio3","bio4","bio5","bio6","bio7","bio8","bio9","bio10","bio11","bio12","bio13","bio14","bio15","bio16","bio17","bio18","bio19"
"1",1,"Virola gardneri",1089196732,-8.714236,-35.838967,"gass84",20471620,210,83,69,1309,274,155,119,195,218,224,191,1113,188,26,59,507,92,209,455
"2",2,"Virola gardneri",1135946345,-24.02862,-47.37243,"gass84",23642224,190,95,56,2457,270,101,169,220,158,221,158,1759,267,63,47,721,197,705,197
"3",3,"Virola gardneri",1077245944,-12.862778,-39.475556,"gass84,iddatunl",21326893,211,68,63,1390,266,159,107,222,201,226,191,933,97,45,21,273,157,268,234
"4",4,"Virola gardneri",1090884264,-20.889722,-41.7125,"gass84",22994359,203,123,65,1953,292,103,189,220,177,225,176,1270,226,25,66,619,81,473,102
"5",5,"Virola gardneri",1096932328,-19.147396,-40.086468,"gass84",22631518,240,95,65,1573,313,167,146,253,221,260,219,1203,183,38,50,526,142,366,143
"6",6,"Virola gardneri",1090521397,-16.333333,-39.133333,"gass84,txmatfuz",22044021,239,76,66,1223,294,180,114,224,253,253,221,1483,164,81,20,450,288,288,404
"7",7,"Virola gardneri",1089103718,-23.3712,-45.3009,"gass84,iddatunl",23504033,167,104,59,2217,244,69,175,193,137,195,137,1670,269,39,59,765,146,733,146
"8",9,"Virola gardneri",1090884675,-20.883333,-41.7,"gass84",22994360,202,123,65,1941,291,103,188,218,177,224,175,1271,225,25,65,617,82,470,104
"9",11,"Virola gardneri",1077576712,-8.576278,-35.1825,"gass84",20437076,243,63,68,999,288,196,92,234,247,254,229,2066,310,47,56,910,170,425,601
"10",12,"Virola gardneri",1090965152,-24.353333,-47.005556,"gass84",23711352,212,83,52,2482,287,130,157,244,180,244,180,2146,300,74,44,854,239,854,239
"11",14,"Virola gardneri",1089099457,-23.2348,-45.0534,"gass84,iddatunl",23478119,144,110,60,2200,221,40,181,169,114,171,114,1828,291,40,61,849,151,795,151
"12",15,"Virola gardneri",1090577187,-23.367009,-45.083511,"gass84",23504038,174,106,59,2214,253,76,177,200,144,202,144,1860,280,49,56,825,171,789,171
"13",16,"Virola gardneri",1424235894,-22.922222,-42.999444,"cdround,gass84",23417689,231,82,55,2086,305,157,148,256,205,259,205,1250,155,53,36,446,162,437,162
"14",17,"Virola gardneri",1077226404,-12.966667,-38.5,"gass84,iddatunl",21352837,251,66,66,1118,303,204,99,245,251,264,235,1782,285,75,45,741,276,332,531
"15",18,"Virola gardneri",1090512936,-14.416667,-39.083333,"gass84",21655223,241,63,64,976,289,192,97,243,238,253,227,1994,210,121,18,585,387,502,562
"16",19,"Virola gardneri",1090886637,-20.75,-41.283333,"gass84",22968450,241,109,63,1902,327,155,172,258,218,265,217,1081,186,24,59,509,88,349,107
"17",20,"Virola gardneri",1077225241,-13.716667,-39.133333,"gass84,iddatunl",21508341,243,64,64,1137,294,194,100,247,235,256,227,2092,212,115,17,602,399,535,548
"18",21,"Virola gardneri",1587320368,-15.180278,-39.036389,"gass84,txmatfuz",21810744,244,68,63,1047,295,188,107,252,242,256,228,1684,155,109,9,454,377,433,425
"19",22,"Virola gardneri",1658212445,-15.166944,-39.053889,"gass84,txmatfuz",21810743,242,68,62,1048,294,186,108,250,235,254,227,1619,154,103,10,437,359,423,400
"20",25,"Virola gardneri",1089086150,-24.53,-47.55,"gass84",23745899,217,90,52,2662,299,127,172,251,183,251,183,1733,245,73,40,693,237,693,237
"21",26,"Virola gardneri",1094173923,-15.258333,-39.37,"gass84",21828016,234,73,64,1160,289,175,114,244,225,248,218,1232,144,71,21,380,238,351,266
"22",27,"Virola gardneri",1090511758,-14.499722,-39.115,"gass84",21663862,235,63,64,959,284,186,98,237,232,247,222,1874,198,114,17,533,365,481,515
"23",28,"Virola gardneri",1087532636,-13.944722,-41.058333,"gass84",21551495,241,103,71,1376,306,162,144,251,225,254,219,613,132,4,79,321,22,229,24
"24",29,"Virola gardneri",1424234816,-22.500556,-42.269167,"cdround,gass84,rdatm",23331306,231,85,58,1917,302,157,145,246,206,256,206,1119,173,34,48,452,111,394,111
"25",30,"Virola gardneri",1090574122,-25.0147,-47.9267,"gass84",23849570,227,87,50,2875,311,138,173,262,190,262,190,2438,371,81,45,1016,302,1016,302
"26",31,"Virola gardneri",1077219133,-13.816667,-39.133333,"gass84,iddatunl,txmatfuz",21525621,244,64,64,1117,295,196,99,249,237,258,228,2155,215,121,16,615,411,552,561
"27",32,"Virola gardneri",1077216301,-17.735278,-39.754444,"gass84,iddatunl,txmatfuz",22337766,243,85,65,1435,308,178,130,255,223,261,223,1179,150,62,27,407,209,325,209
"28",33,"Virola gardneri",1097464560,-15.1581,-39.5286,"gass84,iddatunl",21802092,231,75,64,1197,287,171,116,241,228,245,214,1156,128,61,25,373,204,347,243
"29",34,"Virola gardneri",1089068312,-24.02517,-46.49057,"gass84",23642245,222,73,51,2298,291,150,141,252,193,252,193,2615,352,90,42,994,301,994,301
"30",35,"Virola gardneri",1135897254,-24.047694,-46.8181,"gass84",23650877,226,80,52,2378,298,146,152,256,195,256,195,2171,303,76,44,863,251,863,251
"31",37,"Virola gardneri",1208842192,-15.166667,-39.716667,"gass84,iddatunl",21810727,237,80,65,1294,296,174,122,247,224,252,219,955,140,39,39,364,136,274,143
