"","X","name","key","lat","lon","issues","cells","bio1","bio2","bio3","bio4","bio5","bio6","bio7","bio8","bio9","bio10","bio11","bio12","bio13","bio14","bio15","bio16","bio17","bio18","bio19"
"1",1,"Chrysophyllum lucentifolium",1835735693,-22.81167,-41.95111,"cdround,gass84,rdatm",23391794,228,67,56,1735,288,170,118,240,208,252,208,894,119,39,33,316,123,252,123
"2",2,"Chrysophyllum lucentifolium",1424497730,-11.08722,-57.73306,"cdround,gass84,rdatm",20963575,251,134,70,741,340,149,191,250,242,259,240,1942,334,1,75,961,33,424,70
"3",3,"Chrysophyllum lucentifolium",1090887344,-19.80228,-40.12383,"gass84,iddatunl",22769758,245,86,60,1736,316,173,143,259,226,268,222,1167,186,40,49,509,150,329,154
"4",4,"Chrysophyllum lucentifolium",1424465425,-22.75056,-41.87528,"cdround,gass84",23383155,229,68,56,1735,289,168,121,241,207,252,207,915,123,39,33,327,124,258,124
"5",5,"Chrysophyllum lucentifolium",1094928970,-22.92778,-42.25528,"gass84",23417706,231,69,56,1768,293,171,122,243,209,254,209,935,125,40,33,329,127,277,127
"6",6,"Chrysophyllum lucentifolium",1094930676,-19.14,-40.06389,"gass84",22631519,240,94,64,1589,313,168,145,254,221,261,219,1207,183,39,49,523,145,364,146
"7",7,"Chrysophyllum lucentifolium",1090668221,-9.35639,-56.78194,"gass84",20600718,256,131,67,539,353,159,194,253,251,262,250,2261,378,11,69,1020,47,321,116
"8",8,"Chrysophyllum lucentifolium",1094907977,-12.01667,-38.05,"gass84,iddatunl",21154127,237,83,67,1478,300,177,123,233,235,252,216,1481,231,66,41,591,236,283,462
"9",9,"Chrysophyllum lucentifolium",1090878022,-18.36272,-40.16244,"gass84",22467357,240,95,66,1501,312,169,143,252,222,259,220,1112,170,46,44,457,152,326,152
"10",10,"Chrysophyllum lucentifolium",1090881396,-19.3911,-40.0722,"gass84",22683359,243,91,62,1684,315,169,146,257,221,264,221,1203,188,36,51,534,140,360,145
"11",13,"Chrysophyllum lucentifolium",1090881578,-18.39806,-39.69444,"gass84",22476008,241,79,61,1535,304,176,128,253,220,260,220,1382,187,69,33,505,233,357,233
"12",14,"Chrysophyllum lucentifolium",1090667621,-9.33361,-56.79583,"gass84",20600717,256,131,67,553,352,159,193,253,251,262,249,2250,376,11,69,1012,47,321,119
"13",15,"Chrysophyllum lucentifolium",1123827768,-19.1525,-40.03472,"gass84",22631520,240,93,64,1623,313,168,145,253,220,261,219,1213,183,40,48,521,149,363,150
"14",17,"Chrysophyllum lucentifolium",1090865185,-19.12246,-39.91687,"gass84",22622882,241,91,64,1615,312,170,142,254,219,261,219,1224,181,43,46,513,158,359,158
"15",21,"Chrysophyllum lucentifolium",1090514337,-15.39167,-39.56528,"gass84",21853931,215,79,65,1269,273,153,120,225,211,229,197,1105,137,65,23,353,217,293,244
"16",22,"Chrysophyllum lucentifolium",1090870662,-20.84889,-41.1125,"gass84",22985734,244,103,62,1884,328,162,166,260,221,267,220,1063,173,27,54,480,102,320,121
"17",23,"Chrysophyllum lucentifolium",1424289078,-22.93889,-42.2225,"cdround,gass84,iddatunl",23417707,230,68,56,1786,292,171,121,243,209,254,209,917,122,40,32,320,127,267,127
"18",24,"Chrysophyllum lucentifolium",1090872789,-21.09889,-41.04639,"gass84",23037575,235,93,61,1781,309,158,151,250,212,258,212,1016,174,30,53,447,98,294,98
"19",25,"Chrysophyllum lucentifolium",1090873112,-18.95861,-39.84528,"gass84",22596964,241,89,63,1574,312,172,140,254,221,262,221,1242,179,48,43,503,169,356,169
"20",26,"Chrysophyllum lucentifolium",912468151,-9.64,-55.49,"gass84",20661229,253,141,68,618,360,155,205,247,249,260,247,2365,381,12,70,1091,50,349,1091
"21",28,"Chrysophyllum lucentifolium",1090627507,-9.3839,-55.2937,"gass84",20609393,250,141,68,628,359,152,207,243,247,257,243,2407,402,12,70,1096,43,355,1096
"22",30,"Chrysophyllum lucentifolium",1090873162,-18.71611,-39.85889,"gass84",22545124,241,93,64,1542,315,170,145,253,221,261,221,1239,172,51,40,486,173,358,173
"23",33,"Chrysophyllum lucentifolium",1090626342,-22.93611,-42.29389,"gass84,iddatunl",23417705,231,70,56,1841,294,170,124,244,208,256,208,958,128,41,33,338,129,289,129
"24",35,"Chrysophyllum lucentifolium",1087078934,-13.82222,-39.175,"cdround,gass84",21525620,239,63,63,1123,289,190,99,243,232,252,223,2049,204,118,16,580,393,527,540
