"","X","name","key","lat","lon","issues","cells","bio1","bio2","bio3","bio4","bio5","bio6","bio7","bio8","bio9","bio10","bio11","bio12","bio13","bio14","bio15","bio16","bio17","bio18","bio19"
"1",1,"Couepia monteclarensis",1257802671,-15.391667,-39.565278,"cdround,gass84,iddatunl",21853931,215,79,65,1269,273,153,120,225,211,229,197,1105,137,65,23,353,217,293,244
"2",3,"Couepia monteclarensis",1097663695,-15.2028,-39.4081,"gass84,iddatunl",21810735,212,74,64,1182,267,153,114,221,208,225,195,1227,142,76,19,368,239,334,298
"3",4,"Couepia monteclarensis",1097331441,-15.1742,-39.3394,"gass84,iddatunl",21810736,218,73,64,1169,273,159,114,227,215,232,201,1240,143,77,18,371,243,342,297
"4",5,"Couepia monteclarensis",1094173650,-14.6975,-39.188056,"gass84",21707060,243,64,62,964,293,191,102,252,241,255,229,1653,183,96,18,484,322,444,420
"5",6,"Couepia monteclarensis",1424229072,-22.5,-45.25,"gass84,muluriiv",23331235,154,122,63,2254,233,40,193,179,123,179,123,1786,332,25,74,919,96,843,96
"6",7,"Couepia monteclarensis",1424176269,-22.5,-42.25,"gass84",23331307,232,84,58,1909,302,158,144,247,207,257,207,1101,170,34,47,442,111,381,111
"7",8,"Couepia monteclarensis",1424393337,-20.716667,-42.483333,"cdround,gass84",22959781,163,121,66,1895,246,64,182,180,139,185,137,1504,264,23,68,744,91,594,104
"8",9,"Couepia monteclarensis",1097370539,-13.597222,-39.722222,"cdround,gass84,iddatunl",21482407,209,73,65,1272,266,155,111,190,203,223,190,1199,122,69,16,337,245,312,337
"9",10,"Couepia monteclarensis",1424389614,-23.05,-44.683333,"cdround,gass84,rdatm",23443568,229,96,58,2107,309,144,165,253,202,256,202,2043,286,74,46,812,225,792,225
"10",12,"Couepia monteclarensis",1139021997,-19.15,-40.5,"rdativ",22631509,238,103,68,1529,313,162,151,250,218,258,218,1173,189,30,58,550,112,383,112
