"","X","name","key","lat","lon","issues","cells","bio1","bio2","bio3","bio4","bio5","bio6","bio7","bio8","bio9","bio10","bio11","bio12","bio13","bio14","bio15","bio16","bio17","bio18","bio19"
"1",1,"Ilex dumosa",1587292658,-19.427778,-43.269722,"gass84",22691922,207,119,65,2028,289,106,183,224,178,229,178,1519,344,11,85,842,37,599,37
"2",2,"Ilex dumosa",1658213919,-24.016389,-46.504167,"gass84",23642244,223,73,51,2318,292,149,143,253,193,253,193,2617,358,86,42,999,296,999,296
"3",3,"Ilex dumosa",1699871974,-23.541111,-46.244444,"cdround,gass84,rdatm",23538571,175,95,57,2263,251,87,164,202,145,204,145,1536,236,41,54,662,144,645,144
"4",4,"Ilex dumosa",1587298371,-26.187222,-49.140833,"cdround,gass84",24091461,164,99,53,2914,254,69,185,199,127,200,126,1580,193,86,26,541,292,535,298
"5",5,"Ilex dumosa",1801099412,-26.2275,-49.4075,"gass84",24100095,165,106,54,2962,260,66,194,202,128,202,127,1452,176,81,24,483,279,483,289
"6",6,"Ilex dumosa",1801099649,-27.8275,-48.858056,"cdround,gass84",24428428,168,79,47,2865,251,86,165,204,134,204,131,1661,226,89,28,593,290,593,313
"7",7,"Ilex dumosa",1801099630,-27.72,-48.69,"gass84",24411152,180,72,45,2875,260,103,157,216,146,216,143,1599,230,81,32,597,265,597,279
"8",8,"Ilex dumosa",1585202262,-25.3474,-49.0868,"gass84",23918662,171,99,55,2691,257,79,178,202,138,202,134,1562,207,79,30,555,260,555,279
"9",9,"Ilex dumosa",1585201695,-26.3135,-48.9155,"gass84",24117387,211,82,49,2846,294,127,167,247,174,247,174,1682,240,77,34,645,262,645,262
"10",10,"Ilex dumosa",1455391283,-25.5425,-48.304333,"gass84",23961881,211,73,48,2659,291,140,151,246,178,246,178,2188,310,86,42,912,295,912,295
"11",11,"Ilex dumosa",1676475250,-26.0052,-49.7566,"gass84",24056886,168,119,57,3039,268,61,207,206,130,206,129,1294,158,72,24,428,257,428,260
"12",12,"Ilex dumosa",1676476837,-26.0475,-52.178056,"gass84",24065468,166,130,59,3089,270,53,217,151,166,203,126,1954,209,121,17,543,439,537,447
"13",13,"Ilex dumosa",1563170289,-27,-50.76,"gass84",24264222,156,117,56,3116,257,49,208,155,158,194,115,1701,168,112,11,463,391,455,392
"14",14,"Ilex dumosa",1801099181,-26.290833,-49.224722,"cdround,gass84",24108739,155,102,54,2862,247,60,187,190,119,191,119,1581,194,89,24,527,302,524,309
"15",15,"Ilex dumosa",1571705283,-25.515833,-48.981944,"cdround,gass84",23953225,158,96,54,2714,243,68,175,190,123,190,122,1825,238,93,30,643,296,640,320
"16",16,"Ilex dumosa",1563172377,-23.933889,-52.766667,"cdround,gass84",23624814,207,119,61,2825,298,103,195,239,180,239,168,1426,163,69,24,446,265,446,341
"17",17,"Ilex dumosa",1316183538,-24.0404,-47.5959,"gass84",23642218,179,99,56,2541,261,86,175,209,145,210,145,1723,260,64,46,703,199,674,199
"18",18,"Ilex dumosa",1077394110,-27.900278,-50.399722,"cdround,gass84",24445671,165,106,53,3157,267,67,200,148,126,204,125,1478,149,100,14,424,313,412,341
"19",19,"Ilex dumosa",1265933163,-27.930278,-51.188611,"gass84",24454292,162,107,55,2999,260,66,194,147,182,199,123,1747,179,118,11,491,395,443,428
"20",21,"Ilex dumosa",1587291658,-20.40925,-43.935111,"gass84",22890626,183,121,67,1853,263,84,179,199,159,203,156,1511,328,14,84,827,46,641,59
"21",22,"Ilex dumosa",1303588298,-20.228611,-43.848611,"gass84,iddatunl",22856068,179,119,66,1832,258,80,178,195,155,198,152,1550,340,13,84,848,46,665,58
"22",23,"Ilex dumosa",1208837584,-23.937472,-52.651028,"gass84,iddatunl",23624817,203,118,61,2758,293,101,192,234,177,234,165,1471,167,72,24,471,269,471,337
"23",24,"Ilex dumosa",1316181359,-19.112222,-43.543056,"gass84",22622795,186,116,64,1820,270,90,180,202,164,206,160,1582,325,10,82,856,35,624,55
"24",25,"Ilex dumosa",1455395609,-22.5925,-45.303611,"gass84",23348513,139,117,62,2235,215,28,187,163,107,164,107,1921,348,28,71,961,116,897,116
"25",28,"Ilex dumosa",1077478809,-28.24,-48.670278,"gass84,iddatunl",24514832,197,67,44,2888,274,123,151,234,166,234,160,1451,171,82,24,490,264,490,277
"26",29,"Ilex dumosa",1077394085,-27.117222,-49.203333,"cdround,gass84",24281540,166,95,52,2863,259,78,181,202,131,202,130,1653,200,94,23,547,305,547,327
"27",30,"Ilex dumosa",1455395527,-22.526667,-45.266389,"gass84",23331234,160,123,63,2256,240,46,194,185,129,185,129,1772,331,26,74,913,96,833,96
