"","X","name","key","lat","lon","issues","cells","bio1","bio2","bio3","bio4","bio5","bio6","bio7","bio8","bio9","bio10","bio11","bio12","bio13","bio14","bio15","bio16","bio17","bio18","bio19"
"1",1,"Inga leptantha",1424476649,-21.27306,-46.10528,"cdround,gass84",23072014,203,128,67,2129,282,91,191,224,175,224,171,1490,273,22,72,739,71,632,96
"2",2,"Inga leptantha",1424478108,-19.15167,-40.06583,"cdround,gass84",22631519,240,94,64,1589,313,168,145,254,221,261,219,1207,183,39,49,523,145,364,146
"3",3,"Inga leptantha",1424470661,-19.36222,-40.9675,"cdround,gass84",22674697,241,115,66,1659,324,151,173,255,220,260,218,1179,207,22,68,597,78,418,91
"4",4,"Inga leptantha",1265929887,-22.54528,-42.30083,"gass84",23339945,231,85,58,1931,302,157,145,246,206,256,206,1117,171,34,47,447,111,394,111
"5",5,"Inga leptantha",1090858907,-19.80333,-40.7725,"gass84,iddatunl",22769742,209,107,65,1665,288,125,163,223,188,229,187,1287,211,34,57,601,125,425,135
"6",6,"Inga leptantha",1090872941,-19.32131,-40.07101,"gass84",22666079,241,92,63,1667,314,168,146,256,221,263,220,1207,186,37,51,531,142,362,145
"7",7,"Inga leptantha",1096932359,-19.82506,-40.14236,"gass84",22769757,244,87,60,1723,316,172,144,258,225,267,221,1166,188,39,50,513,147,332,150
"8",8,"Inga leptantha",1090850063,-19.77778,-42.61472,"gass84",22761058,234,119,63,2015,321,134,187,251,206,257,206,1140,212,12,79,628,41,451,41
"9",9,"Inga leptantha",1424302770,-15.16194,-39.34361,"cdround,gass84",21802096,217,73,64,1161,272,159,113,226,215,231,201,1259,144,78,18,374,247,346,308
"10",10,"Inga leptantha",1090885847,-19.3911,-40.0722,"gass84",22683359,243,91,62,1684,315,169,146,257,221,264,221,1203,188,36,51,534,140,360,145
"11",11,"Inga leptantha",1424302854,-15.18944,-39.38528,"cdround,gass84",21810735,212,74,64,1182,267,153,114,221,208,225,195,1227,142,76,19,368,239,334,298
"12",12,"Inga leptantha",1090864062,-19.5394,-40.6306,"gass84,iddatunl",22709265,246,105,66,1654,324,165,159,259,224,267,224,1160,199,27,62,562,101,381,101
"13",13,"Inga leptantha",1090842929,-15.17361,-39.34167,"gass84",21810736,218,73,64,1169,273,159,114,227,215,232,201,1240,143,77,18,371,243,342,297
"14",16,"Inga leptantha",1094833907,-12.86667,-39.46667,"gass84,iddatunl",21326893,211,68,63,1390,266,159,107,222,201,226,191,933,97,45,21,273,157,268,234
"15",17,"Inga leptantha",1090885403,-19.9345,-40.59621,"gass84",22795666,205,101,64,1671,283,126,157,220,185,226,183,1301,207,39,52,585,143,411,153
"16",18,"Inga leptantha",1424287379,-19.27583,-40.46333,"cdround,gass84,rdatm",22657429,232,102,66,1555,308,155,153,244,211,252,211,1206,195,31,58,564,117,393,117
"17",19,"Inga leptantha",1424455105,-22.57722,-42.84583,"cdround,gass84",23339932,232,93,57,2217,312,149,163,258,203,261,203,1356,202,38,52,559,122,531,122
"18",20,"Inga leptantha",1090885861,-20.12306,-40.54639,"gass84,iddatunl",22830227,225,95,62,1670,301,150,151,240,205,247,204,1218,199,40,51,544,142,365,153
"19",21,"Inga leptantha",1090885826,-19.4128,-40.5417,"gass84,iddatunl",22683347,239,104,66,1593,317,161,156,252,218,260,218,1182,198,28,60,566,107,388,107
"20",22,"Inga leptantha",1090864050,-20.09389,-40.43167,"gass84,iddatunl",22830230,241,88,61,1689,314,172,142,256,220,263,220,1148,191,42,49,505,148,322,148
"21",23,"Inga leptantha",1090864017,-19.32556,-40.48889,"gass84,iddatunl",22666069,222,102,66,1561,297,144,153,235,201,242,201,1245,198,34,56,574,127,404,127
"22",24,"Inga leptantha",1090885423,-20.02889,-40.49722,"gass84",22812949,228,93,63,1662,302,155,147,242,207,250,207,1210,198,40,51,540,145,359,145
"23",25,"Inga leptantha",1424287059,-20.05917,-40.47056,"cdround,gass84,rdatm",22821589,238,91,62,1683,311,166,145,252,217,260,217,1165,194,40,51,520,143,336,143
"24",27,"Inga leptantha",1424212361,-20.15056,-40.44861,"cdround,gass84,txmatfuz",22838870,247,85,61,1691,319,180,139,261,226,269,226,1122,188,43,49,491,149,307,149
"25",28,"Inga leptantha",1090864079,-20.6036,-41.1847,"gass84,iddatunl",22933892,235,110,63,1862,321,148,173,252,213,258,211,1124,191,26,59,530,96,364,114
"26",29,"Inga leptantha",1316166316,-21.9675,-42.0175,"gass84,iddatunl",23218992,189,102,60,2112,269,99,170,206,162,217,162,1446,242,30,59,654,114,549,114
"27",30,"Inga leptantha",912655992,-20.01,-40.91,"gass84",22812939,201,108,64,1711,282,115,167,216,180,222,178,1309,213,34,56,608,125,437,138
"28",31,"Inga leptantha",1123803527,-20.04333,-40.69722,"gass84",22821584,206,102,64,1694,284,125,159,221,185,227,184,1289,207,38,53,584,138,409,150
