"","X","name","key","lat","lon","issues","cells","bio1","bio2","bio3","bio4","bio5","bio6","bio7","bio8","bio9","bio10","bio11","bio12","bio13","bio14","bio15","bio16","bio17","bio18","bio19"
"1",1,"Mabea fistulifera",1837397162,-7.97944,-49.44944,"gass84",20315774,257,126,76,328,340,175,165,252,257,260,252,1813,282,12,67,784,47,270,784
"2",2,"Mabea fistulifera",1571705422,-21.81389,-41.90583,"cdround,gass84",23184435,195,105,60,2141,275,101,174,212,166,222,166,1386,234,30,59,630,110,514,110
"3",3,"Mabea fistulifera",1639433128,-19.13389,-43.31972,"cdround,gass84,rdatm",22631441,208,123,65,2029,292,104,188,226,180,230,179,1618,381,9,87,908,36,620,59
"4",4,"Mabea fistulifera",1270103919,-15.08344,-59.89994,"gass84",21792963,244,135,70,1398,328,136,192,254,225,256,222,1380,250,12,70,665,65,290,93
"5",5,"Mabea fistulifera",1434685817,-21.39861,-54.40556,"gass84",23097735,232,116,67,1877,308,137,171,249,209,250,204,1443,193,33,45,545,136,496,190
"6",6,"Mabea fistulifera",1801097049,-18.90972,-43.42361,"gass84,iddatunl",22579598,206,125,65,1995,292,100,192,224,180,227,177,1606,380,8,87,900,33,621,58
"7",7,"Mabea fistulifera",1571707124,-22.28083,-43.28139,"cdround,gass84,rdatm",23279442,195,102,59,2131,277,106,171,220,167,222,167,1623,280,34,64,759,113,679,113
"8",8,"Mabea fistulifera",1423927738,-21.81139,-41.75472,"cdround,gass84",23184438,193,103,60,2074,272,102,170,209,165,220,165,1357,223,32,56,606,113,492,113
"9",10,"Mabea fistulifera",1423936535,-22.32,-43.74,"gass84",23288071,200,108,61,2117,282,105,177,224,171,226,171,1460,263,18,71,720,67,658,67
"10",11,"Mabea fistulifera",1563167714,-17.32333,-43.33333,"gass84,iddatunl",22251281,217,124,70,1697,298,121,177,230,194,234,192,1032,232,5,91,611,17,406,27
"11",12,"Mabea fistulifera",1424510311,-14.49889,-55.73333,"cdround,gass84",21663463,250,125,75,1040,320,155,165,257,237,259,234,1599,246,8,68,723,50,708,73
"12",13,"Mabea fistulifera",1676486083,-10.73083,-62.22028,"cdround,gass84,rdatm",20885707,242,127,69,517,333,151,182,242,239,248,235,1919,340,5,72,911,42,241,93
"13",14,"Mabea fistulifera",1423933673,-8.92417,-62.12444,"cdround,gass84,rdatm",20514190,257,110,69,513,335,176,159,255,252,263,250,2234,347,17,61,970,95,350,158
"14",15,"Mabea fistulifera",1801350186,-10.98389,-55.525,"gass84",20937708,254,143,70,724,353,151,202,252,247,261,244,1865,315,2,73,897,23,273,60
"15",16,"Mabea fistulifera",1291012289,-16.47472,-41.17583,"gass84",22078532,228,114,66,1793,307,136,171,242,202,247,202,862,170,15,75,465,56,296,56
"16",17,"Mabea fistulifera",1801143704,-12.33556,-60.24018,"gass84",21222715,220,128,69,560,307,124,183,221,213,225,211,1938,324,7,71,910,48,462,93
"17",18,"Mabea fistulifera",1095635262,-21.91352,-42.39547,"gass84",23201703,209,116,62,2141,299,114,185,228,182,235,181,1381,267,20,70,672,74,563,94
"18",19,"Mabea fistulifera",1077479929,-12.56544,-60.4005,"gass84",21265911,216,128,70,549,302,120,182,217,208,221,207,1891,317,7,70,865,53,470,93
"19",20,"Mabea fistulifera",1499295135,-19.24889,-41.37722,"cdround,gass84,rdatm",22648767,232,118,65,1716,317,138,179,247,211,251,208,1190,212,20,71,619,66,443,81
"20",21,"Mabea fistulifera",1135077504,-12.16667,-37.96667,"gass84",21188689,238,79,66,1407,300,181,119,234,249,253,218,1752,301,69,48,746,248,316,571
"21",22,"Mabea fistulifera",1424459436,-21.50056,-41.92306,"cdround,gass84,rdatm",23123954,205,115,62,2159,292,107,185,223,176,232,176,1316,239,24,65,626,88,498,88
"22",23,"Mabea fistulifera",1087724511,-8.47528,-45.74278,"gass84",20419543,264,122,73,644,348,182,166,260,264,274,258,1194,204,0,81,589,8,111,161
"23",24,"Mabea fistulifera",1095629902,-9.26717,-45.98408,"gass84",20583697,259,127,72,642,346,172,174,256,257,269,253,1432,254,0,82,728,8,129,35
