"","X","name","key","lat","lon","issues","cells","bio1","bio2","bio3","bio4","bio5","bio6","bio7","bio8","bio9","bio10","bio11","bio12","bio13","bio14","bio15","bio16","bio17","bio18","bio19"
"1",1,"Machaerium stipitatum",1829089154,-24.447139,-51.842278,"gass84",23728516,196,121,60,2825,289,90,199,229,194,229,157,1493,194,76,29,500,292,500,325
"2",2,"Machaerium stipitatum",1563171566,-26.46,-52.92,"gass84",24151850,178,135,60,3187,289,65,224,217,174,217,137,2009,201,133,13,562,454,562,461
"3",3,"Machaerium stipitatum",1563171384,-26.937222,-49.366944,"cdround,gass84",24246976,200,97,52,2971,297,111,186,235,163,236,163,1581,183,91,22,512,294,503,294
"4",4,"Machaerium stipitatum",1563171726,-26.921389,-49.2825,"cdround,gass84",24246978,204,94,50,2936,301,116,185,238,167,239,167,1602,188,93,22,520,298,509,298
"5",5,"Machaerium stipitatum",1586074945,-21.944444,-50.1,"cdround,gass84,rdatm",23210158,211,127,64,2557,298,100,198,239,177,239,174,1176,199,27,61,566,104,566,139
"6",6,"Machaerium stipitatum",1570755785,-24.355583,-51.904417,"gass84",23711235,201,121,60,2861,295,95,200,235,174,235,163,1467,196,74,29,499,286,499,313
"7",7,"Machaerium stipitatum",1324597745,-24.104722,-52.316389,"gass84,iddatunl",23659385,201,113,59,2781,290,100,190,233,165,233,163,1553,194,79,27,527,279,527,318
"8",8,"Machaerium stipitatum",1077425686,-27.089444,-49.8575,"cdround,gass84",24281524,186,107,54,3126,287,89,198,224,148,224,146,1505,169,86,19,463,293,463,317
"9",9,"Machaerium stipitatum",1099619810,-29.850194,-50.241081,"gass84",24851755,189,76,45,3148,272,106,166,166,199,230,149,1500,146,109,9,404,351,380,388
"10",11,"Machaerium stipitatum",1427529831,-15.5658,-47.5152,"gass84",21888300,211,109,68,1088,284,126,158,216,203,220,194,1430,239,5,76,689,22,193,44
"11",12,"Machaerium stipitatum",1423925339,-22.845555,-41.998611,"cdround,gass84,rdatm",23400433,229,65,57,1694,288,174,114,241,209,252,209,859,113,38,31,298,122,238,134
"12",13,"Machaerium stipitatum",1213676195,-25.4425,-49.236667,"gass84",23935939,171,102,57,2581,258,80,178,200,142,200,136,1370,183,75,28,480,245,480,259
"13",14,"Machaerium stipitatum",1226941189,-25.118528,-53.798222,"gass84",23866709,186,131,60,2996,293,76,217,222,158,222,147,1856,227,98,23,559,373,559,399
"14",15,"Machaerium stipitatum",1135086587,-25.656806,-54.437472,"gass84",23979014,210,133,55,3501,323,85,238,230,178,254,164,1729,210,87,20,522,331,483,372
"15",16,"Machaerium stipitatum",1676475306,-25.085,-49.573,"gass84",23866811,188,111,57,2919,279,86,193,222,150,222,148,1471,187,68,31,522,251,522,268
"16",17,"Machaerium stipitatum",1270103791,-25.399722,-53.892222,"gass84",23927187,197,131,57,3357,309,80,229,238,154,238,153,1797,220,110,23,549,362,549,365
"17",18,"Machaerium stipitatum",1316167957,-25.431179,-53.055018,"gass84,iddatunl",23935847,185,134,59,3245,294,68,226,224,143,224,143,1803,218,98,25,564,350,564,350
"18",19,"Machaerium stipitatum",1270103716,-25.311389,-53.955556,"gass84",23909906,197,131,57,3325,308,81,227,237,154,237,154,1823,225,106,23,553,356,553,367
"19",20,"Machaerium stipitatum",1226945131,-18.54,-46.22,"gass84",22501771,219,118,71,1323,292,128,164,227,204,232,199,1462,295,8,83,784,31,629,45
"20",21,"Machaerium stipitatum",1423915100,-18.9,-46.366667,"cdround,gass84,rdatm",22579528,219,117,68,1483,294,124,170,228,202,233,196,1478,299,10,82,783,36,632,51
"21",22,"Machaerium stipitatum",1086916763,-25.296389,-54.084722,"gass84",23909902,196,130,57,3357,305,80,225,236,152,236,152,1880,236,112,23,566,354,566,364
"22",23,"Machaerium stipitatum",1638342045,-22.426667,-43.158056,"gass84,iddatunl",23314005,190,96,57,2160,271,104,167,217,163,219,163,1808,301,46,58,807,155,730,155
"23",24,"Machaerium stipitatum",1077404197,-27.601111,-48.520833,"cdround,gass84",24385236,198,69,45,2711,278,127,151,232,165,232,165,1469,201,73,34,555,234,555,234
"24",25,"Machaerium stipitatum",1077479266,-23.875583,-51.970556,"gass84,iddatunl",23616193,210,123,60,2901,304,102,202,244,183,244,171,1478,205,66,38,529,243,529,288
"25",26,"Machaerium stipitatum",1291041137,-23.346111,-51.866667,"gass84,iddatunl",23503876,193,124,64,2531,282,90,192,223,172,223,157,1326,177,48,36,490,187,490,251
"26",28,"Machaerium stipitatum",1135948070,-22.5262,-44.2232,"gass84,iddatunl,preswcd",23331259,208,114,61,2244,293,107,186,234,177,235,177,1420,254,18,72,711,70,672,70
"27",29,"Machaerium stipitatum",1123830409,-19.693472,-41.007139,"gass84",22743816,246,116,65,1739,331,155,176,260,223,267,223,1166,207,23,67,589,79,407,95
"28",30,"Machaerium stipitatum",1424470628,-19.672778,-41.055278,"cdround,gass84",22743815,234,116,66,1724,317,142,175,248,212,255,211,1204,212,24,66,604,84,424,99
"29",33,"Machaerium stipitatum",1424470686,-19.784722,-41.071389,"cdround,gass84",22761095,242,116,65,1778,327,150,177,256,218,264,218,1173,208,23,67,590,82,409,98
"30",34,"Machaerium stipitatum",1837386068,-26.842222,-49.716667,"gass84,iddatunl,preneglon",24229687,185,107,54,3057,285,88,197,222,147,222,146,1499,169,85,20,471,290,464,311
"31",35,"Machaerium stipitatum",1796519852,-22.0806,-42.4053,"gass84",23236263,203,110,60,2126,291,110,181,226,177,228,174,1488,268,19,70,715,78,639,100
"32",37,"Machaerium stipitatum",1213677517,-20.851028,-46.626278,"gass84,iddatunl",22985601,193,117,68,1893,262,91,171,209,168,211,164,1512,277,16,75,758,58,653,84
"33",38,"Machaerium stipitatum",1324591934,-19.736194,-43.986333,"gass84",22752385,214,118,67,1706,291,116,175,227,195,231,189,1351,300,8,89,774,28,569,43
"34",40,"Machaerium stipitatum",1829095350,-23.44175,-46.70025,"gass84",23521280,175,102,61,2195,253,86,167,201,146,202,146,1412,237,35,60,660,123,612,123
"35",42,"Machaerium stipitatum",1094925081,-24.783056,-49.218056,"gass84",23797699,209,113,55,3154,303,101,202,245,168,245,167,1135,140,54,30,393,197,373,201
"36",44,"Machaerium stipitatum",1089278793,-22.60755,-52.876725,"gass84,iddatunl",23348331,225,127,64,2448,314,117,197,251,205,251,190,1236,159,35,40,441,153,441,205
"37",45,"Machaerium stipitatum",1095634449,-24.199953,-50.641353,"gass84",23676705,186,130,62,2826,282,73,209,219,148,219,147,1391,168,69,25,461,252,461,268
"38",46,"Machaerium stipitatum",1089275692,-22.47925,-53.156,"gass84,iddatunl",23322405,231,126,65,2319,319,126,193,247,212,255,197,1278,173,29,42,466,155,460,197
"39",48,"Machaerium stipitatum",1424375702,-21.721111,-42.274167,"cdround,gass84",23167146,227,118,61,2278,316,124,192,246,196,255,196,1259,240,18,70,613,74,492,74
"40",49,"Machaerium stipitatum",1095634484,-24.100556,-50.706944,"gass84,iddatunl",23659424,189,129,62,2795,285,77,208,222,152,222,151,1399,176,68,26,471,256,471,273
"41",50,"Machaerium stipitatum",1077473778,-24.52075,-52.462083,"gass84",23745781,195,119,61,2661,286,93,193,227,170,227,160,1633,238,77,34,593,283,593,324
"42",53,"Machaerium stipitatum",1424387352,-27,-48.6,"gass84",24264274,199,94,51,2924,287,104,183,237,162,237,162,1588,212,80,30,572,260,572,260
"43",54,"Machaerium stipitatum",1090516300,-15.395833,-39.566111,"gass84",21853931,215,79,65,1269,273,153,120,225,211,229,197,1105,137,65,23,353,217,293,244
"44",55,"Machaerium stipitatum",1097074533,-22.8430596234223,-42.2290009064504,"cdrep",23400427,230,70,56,1812,293,169,124,244,208,255,208,936,128,39,34,336,122,284,122
"45",56,"Machaerium stipitatum",1097745251,-22.8832603957263,-42.0186864083892,"cdrep",23409072,230,63,56,1687,287,175,112,241,209,252,209,840,109,37,30,288,120,231,120
"46",58,"Machaerium stipitatum",1089274596,-22.711389,-53.161667,"gass84,iddatunl",23374245,224,129,65,2434,314,116,198,240,204,250,189,1265,172,33,40,458,156,442,214
"47",59,"Machaerium stipitatum",1090605324,-29.369444,-49.849722,"cdround,gass84",24748084,186,73,47,2797,265,110,155,189,152,222,151,1451,141,94,11,392,320,388,347
"48",60,"Machaerium stipitatum",1427529803,-27.0518,-53.3032,"gass84",24272801,202,126,56,3313,315,92,223,219,164,237,157,1835,181,125,9,495,423,478,436
"49",61,"Machaerium stipitatum",1087506885,-27.088333,-53.508889,"gass84",24281436,196,125,57,3268,308,89,219,210,157,233,152,1849,183,128,9,494,430,476,450
"50",62,"Machaerium stipitatum",1424291034,-27.494167,-51.613889,"cdround,gass84",24359242,176,113,55,3167,278,73,205,162,172,215,136,1682,199,118,18,501,366,441,375
"51",63,"Machaerium stipitatum",1090630422,-18.929663,-43.805864,"gass84,iddatunl",22588229,215,127,66,1919,299,107,192,231,190,235,187,1354,295,7,86,756,25,557,45
"52",64,"Machaerium stipitatum",1802961166,-26.595833,-53.326944,"gass84,iddatunl",24177761,186,131,59,3226,296,75,221,224,179,224,143,1959,197,137,11,540,448,540,458
"53",65,"Machaerium stipitatum",1802961147,-27.269722,-51.387778,"gass84",24316047,167,116,55,3164,268,60,208,151,189,206,126,1800,191,116,14,509,405,467,416
"54",66,"Machaerium stipitatum",1837439481,-21.402222,-48.687222,"gass84,preneglat,preneglon",23097872,222,123,67,2002,299,116,183,242,194,242,192,1289,245,17,75,670,66,623,85
"55",67,"Machaerium stipitatum",1077473094,-24.533333,-53.196,"gass84,iddatunl",23745764,205,124,59,3062,307,97,210,241,176,241,164,1618,208,80,29,535,321,535,361
"56",68,"Machaerium stipitatum",1077404316,-26.955556,-53.459722,"cdround,gass84",24246877,194,127,57,3269,306,87,219,207,155,232,150,1873,186,129,9,496,435,493,450
"57",70,"Machaerium stipitatum",1455753623,-26.3545,-53.1937,"gass84,iddatunl",24125924,168,134,60,3136,277,55,222,206,166,206,128,2036,204,131,13,565,453,565,477
"58",71,"Machaerium stipitatum",1500374926,-27.2939,-51.365,"gass84",24324688,166,115,55,3158,267,60,207,167,188,205,125,1796,189,114,14,505,403,466,416
"59",72,"Machaerium stipitatum",1077473184,-24.499556,-53.045722,"gass84",23737127,205,122,59,2998,305,99,206,240,203,240,164,1609,210,80,30,534,314,534,359
"60",73,"Machaerium stipitatum",1094712435,-26.328611,-53.293889,"cdround,gass84",24117281,171,134,60,3172,280,57,223,209,169,209,129,2022,204,129,14,565,446,565,471
"61",74,"Machaerium stipitatum",1802961159,-26.279722,-53.640278,"gass84",24108633,171,133,59,3196,280,57,223,210,169,210,130,1997,199,128,15,559,436,559,468
"62",75,"Machaerium stipitatum",1077404275,-26.773611,-52.515833,"cdround,gass84",24212340,184,130,59,3059,292,75,217,174,144,221,144,2148,218,151,11,581,503,572,503
"63",77,"Machaerium stipitatum",1094712477,-28.915556,-49.685,"cdround,gass84",24653048,190,98,52,2971,282,94,188,228,155,228,152,1347,151,83,18,413,269,413,293
"64",78,"Machaerium stipitatum",1090159934,-25.788833,-48.919194,"gass84",24005066,182,90,50,2974,269,91,178,218,144,219,144,1712,229,82,35,650,263,629,263
"65",79,"Machaerium stipitatum",1077473350,-24.408806,-52.043583,"gass84",23719871,199,119,60,2740,291,95,196,231,173,231,162,1397,191,73,29,471,272,471,297
"66",80,"Machaerium stipitatum",1090744281,-23.487856,-54.183889,"gass84",23529740,218,121,60,2596,312,113,199,235,185,247,181,1501,195,65,31,525,241,480,302
"67",81,"Machaerium stipitatum",1424316500,-17.458611,-46.5475,"cdround,gass84,rdatm",22285763,240,124,72,1350,314,142,172,247,227,251,218,1318,275,7,85,722,29,587,43
"68",83,"Machaerium stipitatum",1424236089,-18.497778,-40.257222,"cdround,gass84",22493274,240,99,67,1507,313,166,147,252,219,259,219,1111,173,40,48,475,136,339,136
"69",84,"Machaerium stipitatum",1077404309,-27.361111,-50.233611,"cdround,gass84",24333355,149,109,55,2998,248,50,198,186,112,186,111,1594,167,101,14,446,343,446,365
"70",85,"Machaerium stipitatum",1077404292,-26.818611,-50.0375,"cdround,gass84",24221040,179,113,54,3162,282,76,206,218,140,218,139,1479,165,84,18,451,297,444,315
"71",86,"Machaerium stipitatum",1090850261,-24.937222,-53.420556,"gass84,iddatunl",23832158,180,131,61,2900,283,71,212,215,153,215,141,1827,212,92,22,551,363,551,405
"72",87,"Machaerium stipitatum",1086959868,-22.966667,-50.383333,"gass84",23426151,216,126,64,2576,304,108,196,245,194,245,179,1243,186,46,44,507,157,507,191
"73",88,"Machaerium stipitatum",1098503328,-20.473611,-50.293333,"gass84",22907753,230,128,67,2184,308,117,191,251,199,251,197,1181,219,17,69,586,75,586,100
"74",89,"Machaerium stipitatum",1086908893,-23.851389,-49.143056,"gass84",23607621,198,117,61,2538,286,95,191,227,165,227,162,1203,167,42,41,477,157,477,190
"75",90,"Machaerium stipitatum",1089105404,-22.816667,-47.916667,"gass84,iddatunl",23391650,209,117,62,2400,291,105,186,235,175,235,175,1206,223,25,66,597,91,548,91
"76",93,"Machaerium stipitatum",1087506725,-22.9,-48.383333,"gass84",23408919,199,121,64,2327,284,96,188,225,167,225,167,1295,225,32,62,617,115,617,115
"77",94,"Machaerium stipitatum",1086958451,-23.4,-51.366667,"gass84",23512528,200,124,65,2432,288,98,190,227,169,227,165,1492,199,53,36,551,203,508,258
"78",95,"Machaerium stipitatum",1086958478,-22.688333,-51.701667,"gass84,iddatunl",23365640,222,126,63,2637,309,112,197,251,200,251,184,1258,177,42,41,480,154,480,214
"79",96,"Machaerium stipitatum",1095343927,-30.933056,-50.933056,"gass84",25076378,187,83,44,3481,284,98,186,143,220,232,143,1395,138,89,13,396,292,341,396
"80",97,"Machaerium stipitatum",1086958671,-23.4065,-51.766667,"gass84",23512518,193,124,64,2498,282,89,193,222,172,222,157,1354,179,49,36,498,191,498,252
"81",98,"Machaerium stipitatum",1077404293,-26.547778,-50.399722,"cdround,gass84",24169191,161,121,56,3202,264,50,214,200,121,200,119,1532,165,91,16,450,330,450,332
"82",99,"Machaerium stipitatum",1089096769,-22.2225,-43.0919,"gass84",23270806,206,109,59,2264,292,110,182,232,175,234,175,1631,289,31,67,775,105,689,105
"83",100,"Machaerium stipitatum",1086955513,-23.366667,-51.233333,"gass84",23503891,210,120,63,2498,298,108,190,237,179,238,174,1486,207,52,39,574,193,508,242
"84",101,"Machaerium stipitatum",1086957994,-23.266667,-51.05,"gass84",23486615,213,122,62,2624,301,107,194,242,179,242,176,1335,199,44,42,531,164,531,203
"85",104,"Machaerium stipitatum",1090865230,-22.505,-43.1786,"gass84",23331284,186,92,57,2091,264,103,161,212,159,214,159,1906,305,55,54,822,184,751,184
"86",106,"Machaerium stipitatum",1090575432,-21.9236,-46.3861,"gass84",23210247,181,121,65,2221,258,72,186,204,150,204,148,1674,304,26,71,828,88,745,114
"87",107,"Machaerium stipitatum",1087647324,-19.073056,-42.888611,"gass84",22614171,214,121,64,2055,298,110,188,232,184,237,184,1427,314,11,83,790,40,547,40
"88",108,"Machaerium stipitatum",1424111441,-22.448889,-43.013056,"cdround,gass84,rdatm",23314008,149,97,60,1919,226,65,161,172,124,174,124,1795,299,44,59,809,146,726,166
"89",109,"Machaerium stipitatum",1424111418,-22.462778,-43.013056,"cdround,gass84",23322648,168,98,59,2027,247,82,165,193,142,195,142,1785,299,45,59,802,150,721,150
"90",111,"Machaerium stipitatum",1424084515,-22.289167,-42.883611,"cdround,gass84",23279451,188,104,59,2216,272,96,176,214,159,216,159,1598,293,31,67,767,106,673,126
"91",112,"Machaerium stipitatum",1086959684,-24.143083,-50.308417,"gass84,iddatunl",23668073,176,126,62,2743,270,68,202,208,141,208,138,1383,174,64,28,472,231,444,254
"92",113,"Machaerium stipitatum",1208845006,-21.13,-47.5,"gass84",23046061,212,120,67,1886,283,106,177,230,185,230,183,1488,267,20,72,747,73,662,101
"93",114,"Machaerium stipitatum",1424090409,-22.817778,-42.067778,"cdround,gass84,iddatunl",23391791,229,68,57,1714,289,170,119,240,208,252,208,897,122,38,34,320,120,261,120
"94",115,"Machaerium stipitatum",1123829141,-22.863889,-42.333889,"gass84",23400424,230,73,56,1855,296,166,130,244,207,255,207,1003,138,41,37,364,126,319,126
"95",118,"Machaerium stipitatum",1135913014,-23.0333,-48.183333,"gass84",23434844,204,118,63,2326,287,102,185,230,172,230,172,1226,213,27,62,585,103,585,103
"96",119,"Machaerium stipitatum",1090578244,-22.9706,-46.9958,"gass84",23426233,188,114,63,2331,267,87,180,214,156,214,156,1304,221,27,65,628,101,628,101
"97",120,"Machaerium stipitatum",1426768220,-23.55,-46.716667,"gass84",23547199,185,99,60,2172,262,99,163,211,157,212,157,1403,230,37,57,639,132,602,132
"98",121,"Machaerium stipitatum",1089271060,-23.428267,-51.930653,"gass84,iddatunl",23521154,179,123,63,2490,268,74,194,208,159,208,143,1286,164,46,34,467,186,467,240
"99",122,"Machaerium stipitatum",1095353122,-23.540833,-50.975556,"gass84",23538457,208,123,63,2617,298,103,195,237,174,237,171,1378,196,54,37,528,201,528,233
"100",123,"Machaerium stipitatum",1090573332,-22.801017,-47.042331,"gass84",23391671,197,117,63,2358,276,92,184,222,164,222,164,1315,233,28,65,639,103,639,103
"101",124,"Machaerium stipitatum",1455894172,-24.608889,-48.615,"gass84",23763154,223,101,52,3143,313,120,193,260,191,260,182,1447,201,52,41,572,209,572,218
"102",125,"Machaerium stipitatum",1423992640,-22.285,-44.685278,"cdround,gass84,rdatm",23279408,151,126,65,2070,230,37,193,174,122,174,122,1818,324,23,74,928,89,833,89
"103",126,"Machaerium stipitatum",1423992645,-22.922778,-43.435,"cdround,gass84",23417678,216,95,58,2054,295,133,162,241,190,244,190,1472,209,48,45,582,159,560,159
"104",127,"Machaerium stipitatum",1090579802,-21.264529,-47.866211,"gass84",23071972,208,122,68,1922,281,102,179,226,180,226,179,1482,261,23,72,744,82,651,103
"105",128,"Machaerium stipitatum",1094780838,-14.251111,-44.369444,"gass84,iddatunl",21620536,243,130,69,1254,331,143,188,248,224,255,224,870,204,0,96,517,1,248,7
"106",129,"Machaerium stipitatum",1090568212,-22.86372,-47.08676,"gass84",23400310,197,116,63,2402,277,93,184,223,164,223,164,1317,229,28,64,634,104,575,104
"107",130,"Machaerium stipitatum",1089065820,-22.1,-49.19,"gass84,iddatunl",23244740,213,127,64,2448,300,104,196,240,181,240,179,1168,206,28,62,565,106,565,123
"108",131,"Machaerium stipitatum",1090733601,-23.723333,-51.097222,"gass84,iddatunl",23581654,189,126,64,2510,280,84,196,218,157,218,154,1493,202,63,32,543,250,543,282
"109",132,"Machaerium stipitatum",1090606989,-29.480833,-50.174444,"cdround,gass84",24773996,159,88,50,2841,247,74,173,141,170,196,123,1872,179,133,8,498,440,493,469
"110",133,"Machaerium stipitatum",1090570028,-23.70173,-47.080967,"gass84",23573111,171,100,59,2286,249,80,169,198,140,198,140,1750,275,58,51,751,188,713,188
"111",134,"Machaerium stipitatum",1423983270,-14.700833,-40.585278,"cdround,gass84,iddatunl",21707026,192,95,66,1462,258,116,142,203,177,208,170,671,110,24,54,308,79,218,90
"112",135,"Machaerium stipitatum",1087719190,-22.416667,-49.683333,"gass84",23313848,208,128,64,2515,296,98,198,236,174,236,172,1281,207,33,58,595,128,595,149
"113",136,"Machaerium stipitatum",1259743303,-26.38333,-53.9,"gass84,iddatunl",24134547,177,133,58,3304,288,62,226,218,145,218,134,1912,190,128,13,528,437,528,459
"114",137,"Machaerium stipitatum",1090565875,-23.3733,-50.8414,"gass84",23503900,205,124,63,2554,293,99,194,233,171,233,169,1327,189,51,38,509,184,509,220
"115",138,"Machaerium stipitatum",1090729077,-22.1875,-52.717778,"gass84,iddatunl",23261935,229,124,65,2372,314,124,190,254,198,254,195,1221,160,30,43,466,142,466,178
"116",140,"Machaerium stipitatum",1090563906,-22.2197,-49.8194,"gass84",23270645,204,127,64,2521,291,94,197,232,182,232,168,1294,218,31,61,623,124,623,156
"117",141,"Machaerium stipitatum",1090565840,-23.4322,-50.5639,"gass84,iddatunl",23521187,198,125,64,2512,287,93,194,227,165,227,163,1357,177,61,30,477,221,477,262
"118",142,"Machaerium stipitatum",1426768106,-13.993056,-42.2075,"gass84,iddatunl",21560108,229,114,69,1296,308,144,164,238,209,240,209,670,145,1,92,390,5,345,5
"119",143,"Machaerium stipitatum",1086599630,-25.7222,-52.0239,"gass84",23996352,176,123,58,3081,277,68,209,178,136,213,136,1775,192,106,19,501,381,496,391
"120",144,"Machaerium stipitatum",1089049552,-22.54,-47.5,"gass84",23331181,197,116,63,2332,276,94,182,222,164,222,164,1310,243,22,70,658,85,658,85
"121",146,"Machaerium stipitatum",1098230132,-17.87,-64.25,"gass84,iddatunl",22363099,178,123,71,1624,254,83,171,196,157,196,155,739,132,19,67,373,67,373,75
"122",147,"Machaerium stipitatum",1823453066,-35.3869,-64.9208,"gass84",26000522,161,159,49,5721,333,11,322,225,87,235,87,576,80,14,51,229,46,218,46
"123",148,"Machaerium stipitatum",1259723240,-26.91638,-54.205,"gass84,iddatunl",24238220,190,130,57,3390,304,77,227,160,158,232,146,1766,178,118,11,470,377,458,438
"124",149,"Machaerium stipitatum",1090558093,-23.1019,-47.7147,"gass84",23452135,205,114,62,2352,286,104,182,230,172,231,172,1158,209,28,64,564,95,508,95
"125",150,"Machaerium stipitatum",1090558018,-23.5292,-47.1353,"gass84",23538549,178,104,60,2312,257,84,173,205,147,206,147,1383,233,38,59,644,132,603,132
"126",152,"Machaerium stipitatum",1089032037,-23.504,-49.814,"gass84",23538485,200,122,63,2535,288,95,193,229,178,229,164,1322,168,48,38,500,179,500,211
"127",153,"Machaerium stipitatum",1090656442,-18.944722,-46.993611,"gass84,txmatfuz",22588153,214,112,68,1512,287,124,163,224,194,229,191,1506,298,7,81,783,32,651,49
"128",154,"Machaerium stipitatum",1087358131,-21.916667,-47.25,"gass84,iddatunl",23210227,208,120,64,2249,287,100,187,231,176,231,176,1180,216,17,72,598,62,542,81
"129",155,"Machaerium stipitatum",1089040977,-21.3715,-48.3329,"gass84,iddatunl",23089241,216,121,67,1950,291,111,180,235,188,235,187,1333,245,17,75,691,65,633,85
"130",156,"Machaerium stipitatum",1090559110,-22.4319,-46.9578,"gass84",23313914,200,120,64,2267,278,93,185,224,168,224,168,1357,250,22,71,686,88,686,88
"131",157,"Machaerium stipitatum",1090559143,-22.6061,-46.9194,"gass84",23348474,196,118,64,2295,274,91,183,221,164,221,164,1351,252,26,69,679,98,679,98
"132",158,"Machaerium stipitatum",1426767943,-21.620833,-48.558056,"gass84,iddatunl",23141075,216,122,66,2072,294,110,184,237,187,237,186,1312,250,18,74,677,71,677,94
"133",159,"Machaerium stipitatum",1089039766,-19.55,-49.31,"gass84",22717697,238,131,69,1716,318,129,189,250,214,251,210,1346,254,10,77,692,39,631,64
"134",160,"Machaerium stipitatum",1420312500,-22.6819,-46.6808,"gass84",23365760,186,116,64,2237,262,81,181,210,154,210,154,1460,270,30,68,727,114,662,114
"135",161,"Machaerium stipitatum",1260601354,-9.25,-36.41666,"gass84,iddatunl",20583927,221,88,68,1489,290,161,129,204,231,235,199,1451,238,29,63,700,120,219,634
"136",163,"Machaerium stipitatum",1089038097,-23.3126,-47.645,"gass84",23495337,195,111,62,2309,276,97,179,221,163,221,163,1177,205,31,60,553,108,517,108
"137",164,"Machaerium stipitatum",1077313797,-25.333333,-49.233333,"gass84,iddatunl",23910019,168,103,57,2595,254,75,179,197,137,197,132,1559,205,81,28,544,272,544,292
"138",165,"Machaerium stipitatum",1086627646,-23.45,-53.25,"gass84,iddatunl",23521123,216,129,63,2711,310,106,204,234,192,247,178,1357,164,56,28,435,221,433,295
"139",166,"Machaerium stipitatum",1077322392,-19.0525,-57.728333,"gass84",22613815,254,116,66,2297,336,161,175,276,223,276,221,1059,174,25,56,460,86,444,114
"140",167,"Machaerium stipitatum",1424278473,-22.433333,-42.833333,"cdround,gass84,rdatm",23314013,220,101,59,2218,303,132,171,246,191,248,191,1499,246,34,59,665,116,610,116
"141",168,"Machaerium stipitatum",1090600698,-30.019139,-51.237222,"cdround,gass84",24886291,195,93,48,3412,296,103,193,164,230,235,151,1396,137,101,10,395,315,338,371
"142",169,"Machaerium stipitatum",1090572116,-23.3103,-51.1628,"gass84,iddatunl",23495253,211,120,62,2532,299,108,191,238,178,239,175,1399,209,47,41,552,170,494,219
"143",170,"Machaerium stipitatum",1097720082,-22.9069598238154,-43.2076685470805,"cdrep,iddatunl",23409044,233,73,55,1932,300,169,131,259,209,259,209,1246,146,53,35,437,165,437,165
"144",171,"Machaerium stipitatum",1802929013,-29.684722,-50.85,"gass84",24817180,192,91,48,3293,289,101,188,173,208,233,150,1515,148,105,9,409,355,385,396
"145",172,"Machaerium stipitatum",1261497603,-25.46666,-54.7,"gass84",23944448,214,122,55,3393,321,103,218,249,170,254,170,1685,171,95,16,492,332,457,332
"146",173,"Machaerium stipitatum",1423992742,-23.566667,-53.833333,"cdround,gass84",23547029,215,127,61,2724,311,105,206,233,191,246,177,1413,179,61,29,466,261,446,320
"147",174,"Machaerium stipitatum",1057030549,-23.236211,-58.391024,"gass84",23477799,240,130,58,3338,352,129,223,273,207,280,196,1143,151,23,42,417,111,399,128
"148",176,"Machaerium stipitatum",1089024276,-23.253,-46.2853,"gass84",23486730,185,101,60,2241,261,93,168,211,154,212,154,1333,225,28,64,639,101,597,101
"149",177,"Machaerium stipitatum",1097465055,-25.4807848457141,-48.8347668975131,"cdrep,iddatunl",23944588,213,84,46,3344,302,122,180,252,170,254,170,1957,278,71,43,804,253,765,253
"150",178,"Machaerium stipitatum",1828945264,-25.37,-57.6,"gass84",23918458,228,119,54,3542,338,121,217,248,182,272,182,1434,164,47,34,475,180,459,180
