"","X","name","key","lat","lon","issues","cells","bio1","bio2","bio3","bio4","bio5","bio6","bio7","bio8","bio9","bio10","bio11","bio12","bio13","bio14","bio15","bio16","bio17","bio18","bio19"
"1",1,"Maytenus obtusifolia",1836918980,-10.45145,-37.20331,"gass84",20825828,240,81,65,1512,302,179,123,224,247,256,218,1028,174,30,60,481,98,160,405
"2",2,"Maytenus obtusifolia",1835735928,-22.80806,-41.95222,"cdround,gass84,rdatm",23391794,228,67,56,1735,288,170,118,240,208,252,208,894,119,39,33,316,123,252,123
"3",3,"Maytenus obtusifolia",1423901071,-22.93167,-42.60278,"cdround,gass84,rdatm",23417698,232,77,56,1970,301,164,137,247,208,259,208,1096,145,45,36,388,139,364,139
"4",4,"Maytenus obtusifolia",1324589658,-10.2858,-36.2719,"gass84",20791290,247,79,69,1272,306,192,114,244,253,261,229,1395,245,33,64,672,112,241,495
"5",5,"Maytenus obtusifolia",1455891471,-20.59763,-40.42377,"gass84",22933910,245,79,58,1694,315,181,134,260,224,268,224,1099,172,46,43,453,154,286,154
"6",7,"Maytenus obtusifolia",1455752989,-11.8,-37.6,"gass84,iddatunl",21110938,250,87,67,1437,317,189,128,247,261,266,230,1492,246,59,50,644,187,275,491
"7",8,"Maytenus obtusifolia",1702656393,-23.03606,-43.58489,"gass84",23434954,234,87,57,2036,309,157,152,262,210,262,210,1261,163,44,41,467,140,467,140
"8",9,"Maytenus obtusifolia",1657212343,-11.0429,-37.1944,"gass84,iddatunl",20955428,255,65,69,1038,302,208,94,251,263,267,240,1367,252,45,61,645,141,236,466
"9",10,"Maytenus obtusifolia",1213517581,-11.0408,-37.4329,"gass84",20946782,246,78,67,1331,304,189,115,243,251,260,227,1354,249,45,59,616,151,229,478
"10",11,"Maytenus obtusifolia",1213517607,-10.4107,-37.253,"gass84",20817186,238,81,65,1573,301,177,124,222,246,255,215,902,150,26,59,420,87,145,354
"11",12,"Maytenus obtusifolia",1324591333,-2.48528,-44.26639,"gass84",19175418,270,76,82,460,319,227,92,267,276,276,265,1922,375,7,84,1036,32,49,855
