"","X","name","key","lat","lon","issues","cells","bio1","bio2","bio3","bio4","bio5","bio6","bio7","bio8","bio9","bio10","bio11","bio12","bio13","bio14","bio15","bio16","bio17","bio18","bio19"
"1",1,"Pradosia lactescens",1801347829,-25.615,-48.6991,"gass84",23970512,185,84,48,3034,269,97,172,221,146,222,146,2019,277,85,39,800,283,754,283
"2",2,"Pradosia lactescens",1801347820,-25.1683,-48.3005,"gass84",23884121,220,82,48,2974,304,135,169,256,181,256,181,2162,312,75,43,892,283,892,283
"3",3,"Pradosia lactescens",1455752626,-13.60222,-39.75083,"gass84,iddatunl",21482406,204,74,65,1283,262,149,113,214,198,218,185,1100,113,61,16,312,220,298,296
"4",4,"Pradosia lactescens",1143413996,-10.80639,-37.16972,"gass84",20903588,254,64,65,1144,301,204,97,252,261,266,237,1372,243,40,60,629,129,220,500
"5",5,"Pradosia lactescens",1423893923,-9,-36,"gass84",20532097,225,81,69,1323,287,170,117,210,232,237,205,1699,285,42,57,769,161,282,727
"6",6,"Pradosia lactescens",1077610575,-9.40568,-36.73933,"gass84",20609839,244,98,68,1666,322,179,143,224,257,261,220,852,141,14,64,415,62,71,344
"7",7,"Pradosia lactescens",1291045899,-9.23804,-36.43816,"gass84",20575286,206,87,69,1435,273,147,126,188,216,219,184,1263,221,24,63,609,99,143,543
"8",8,"Pradosia lactescens",1423932680,-22.95861,-43.17972,"cdround,gass84",23426324,229,76,55,1973,298,162,136,253,204,255,204,1360,160,60,31,463,192,458,192
"9",9,"Pradosia lactescens",1585200736,-25.1546,-48.179,"gass84",23875484,209,84,49,2953,293,122,171,245,171,245,171,2200,321,76,43,901,288,901,288
"10",10,"Pradosia lactescens",1796608918,-7.42639,-34.96222,"gass84",20203801,246,96,75,1057,309,181,128,235,252,256,230,1774,279,40,60,800,135,377,682
"11",11,"Pradosia lactescens",1135946195,-24.02,-47.31,"gass84",23642225,186,95,56,2460,265,96,169,215,154,217,154,1822,277,66,47,746,205,728,205
"12",12,"Pradosia lactescens",1829095095,-23.42653,-46.73208,"gass84",23521279,181,102,61,2186,260,93,167,207,152,208,152,1367,232,34,61,644,120,597,120
"13",13,"Pradosia lactescens",1077244722,-12.93333,-39.51667,"gass84,iddatunl",21344172,221,67,63,1383,275,169,106,232,210,236,201,885,108,37,35,313,133,296,166
"14",14,"Pradosia lactescens",1094915382,-12.16667,-37.96667,"gass84",21188689,238,79,66,1407,300,181,119,234,249,253,218,1752,301,69,48,746,248,316,571
"15",15,"Pradosia lactescens",1090881649,-18.5933,-39.7322,"gass84",22519207,240,81,61,1562,306,175,131,245,219,260,219,1329,184,59,38,501,203,357,203
"16",16,"Pradosia lactescens",1090519768,-14.70583,-39.60333,"gass84",21707050,210,73,65,1162,265,153,112,219,205,223,193,1222,143,67,23,374,228,328,295
"17",17,"Pradosia lactescens",1087538329,-13.71706,-39.63714,"gass84,txmatfuz",21508329,227,67,63,1256,280,175,105,209,219,242,209,1373,142,85,15,388,287,338,388
"18",18,"Pradosia lactescens",1098427729,-9.2511,-36.4281,"gass84,iddatunl",20583926,221,89,68,1477,290,160,130,204,230,235,199,1413,232,28,63,683,117,215,615
"19",20,"Pradosia lactescens",1291822628,-18.16219,-40.34067,"gass84",22424152,239,99,67,1520,311,165,146,251,220,258,217,1026,168,38,48,437,129,309,131
"20",21,"Pradosia lactescens",1291045939,-8.7075,-35.5306,"gass84",20462988,238,74,71,1066,291,187,104,228,242,249,222,1676,275,36,60,775,140,320,674
"21",22,"Pradosia lactescens",1316180983,-20.00139,-40.54611,"gass84",22812947,205,99,64,1656,281,127,154,219,184,226,183,1298,205,41,51,577,149,403,158
"22",23,"Pradosia lactescens",1435461832,-20.36778,-40.54583,"cdround,gass84,iddatunl",22882067,233,89,61,1694,307,162,145,247,212,255,212,1180,191,44,48,512,149,336,165
"23",24,"Pradosia lactescens",1089182689,-6.50246,-34.9771,"gass84,iddatunl",20013721,258,87,72,1143,316,196,120,253,264,269,240,1643,247,31,61,718,104,395,601
"24",26,"Pradosia lactescens",1090516599,-14.35556,-39.06639,"gass84",21637943,240,63,65,983,288,192,96,243,236,252,226,2049,212,123,18,607,396,510,560
"25",27,"Pradosia lactescens",1090876075,-19.3911,-40.0722,"gass84",22683359,243,91,62,1684,315,169,146,257,221,264,221,1203,188,36,51,534,140,360,145
"26",28,"Pradosia lactescens",1087078931,-13.84667,-39.23778,"cdround,gass84",21534259,234,64,64,1109,284,185,99,220,227,247,218,1939,193,115,16,555,375,497,519
"27",29,"Pradosia lactescens",1089184008,-8.72778,-35.83833,"gass84,iddatunl",20471620,210,83,69,1309,274,155,119,195,218,224,191,1113,188,26,59,507,92,209,455
"28",30,"Pradosia lactescens",1042697795,-7.90578,-35.05,"gass84,gdativ",20298839,246,81,71,1102,303,190,113,235,251,258,230,1504,250,29,62,704,111,315,603
"29",32,"Pradosia lactescens",1042697801,-13.00552,-38.5,"elmms,gass84,gdativ",21361477,252,66,65,1138,305,204,101,246,264,265,236,1726,272,74,45,716,273,322,505
"30",34,"Pradosia lactescens",1094892762,-19.34611,-40.54972,"gass84",22674707,234,104,67,1568,310,155,155,246,213,254,213,1201,198,30,59,570,111,395,111
