"","X","name","key","lat","lon","issues","cells","bio1","bio2","bio3","bio4","bio5","bio6","bio7","bio8","bio9","bio10","bio11","bio12","bio13","bio14","bio15","bio16","bio17","bio18","bio19"
"1",1,"Roupala montana",1585200768,-25.2365,-48.8396,"gass84",23892748,156,95,54,2739,240,66,174,189,121,189,120,1802,241,87,31,639,288,639,317
"2",2,"Roupala montana",1087185046,-19.038611,-43.709722,"gass84",22605511,190,118,64,1804,274,92,182,205,169,209,164,1513,312,9,82,823,31,606,51
"3",3,"Roupala montana",1424235928,-22.949722,-43.021667,"cdround,gass84,rdatm",23417688,230,82,56,2066,304,158,146,256,205,259,205,1263,155,53,36,449,164,441,164
"4",4,"Roupala montana",1323871059,-15.866667,-47.833333,"gass84,iddatunl",21948773,210,113,71,1071,279,121,158,215,197,218,192,1627,279,7,77,804,31,456,49
"5",5,"Roupala montana",1213622699,-13.2625,-41.925833,"gass84,iddatunl",21413234,180,118,72,1148,259,96,163,188,170,190,162,984,155,26,55,432,87,388,102
"6",6,"Roupala montana",1097151682,-13.28,-41.9,"gass84",21413235,183,118,71,1165,263,99,164,191,173,193,165,990,157,26,56,436,87,389,101
"7",7,"Roupala montana",1323869971,-15.866667,-47.85,"gass84,iddatunl",21948772,211,113,71,1062,280,123,157,216,198,220,193,1715,300,7,79,863,32,478,49
"8",10,"Roupala montana",1097533850,-21.9594452229065,-42.0081851182327,"cdrep",23218992,189,102,60,2112,269,99,170,206,162,217,162,1446,242,30,59,654,114,549,114
"9",11,"Roupala montana",1424183793,-22.55,-42.5,"gass84",23339941,229,89,58,2013,304,153,151,253,203,256,203,1198,185,33,50,488,111,445,111
"10",12,"Roupala montana",1097766022,-22.725628,-45.455385,"rdatm",23374430,141,114,62,2241,216,33,183,165,109,166,109,2022,358,35,68,992,139,918,139
"11",13,"Roupala montana",1098380621,-13.41,-41.28,"gass84",21439170,197,114,71,1269,272,113,159,206,183,207,177,988,151,33,46,390,115,321,138
"12",14,"Roupala montana",1424381140,-23.633333,-45.866667,"cdround,gass84",23564500,165,94,58,2285,238,76,162,192,135,194,135,2412,309,100,37,906,337,865,337
"13",15,"Roupala montana",1098019374,-24.2549639591203,-49.7062215087586,"cdrep",23694008,175,119,53,3363,272,51,221,211,138,213,127,1382,210,60,37,525,210,501,233
"14",16,"Roupala montana",1097144918,-18.2531772779915,-43.6004898201051,"cdrep",22449994,194,107,61,1729,281,108,173,209,174,213,169,1436,333,8,87,812,28,560,48
"15",17,"Roupala montana",1097588739,-20.411003,-41.835139,"",22890676,167,124,65,1855,255,66,189,183,145,187,141,1444,249,24,65,704,98,550,114
"16",18,"Roupala montana",1098430838,-20.1263,-43.492778,"cdround",22838797,175,113,64,1894,253,79,174,192,149,196,148,1570,326,15,81,840,53,665,63
"17",19,"Roupala montana",1097713871,-19.77555,-43.65505,"",22761033,196,115,66,1830,274,100,174,211,171,215,169,1485,324,10,86,824,36,624,51
"18",20,"Roupala montana",1097180357,-25.241299,-48.829656,"iddatunl",23892749,161,94,53,2829,246,70,176,194,125,195,124,1810,244,85,32,651,285,648,314
"19",21,"Roupala montana",1097406676,-26.2471960785953,-48.6386567821262,"cdrep",24100113,213,74,48,2718,290,136,154,249,179,249,179,1826,274,80,39,737,262,737,262
"20",22,"Roupala montana",1098115795,-28.2981165675879,-49.9323595700412,"cdrep",24532082,141,97,55,2611,235,59,176,136,113,171,108,1676,169,108,15,479,339,466,364
"21",23,"Roupala montana",1098375386,-26.1963928715053,-49.2662006010121,"cdrep",24091458,162,103,54,2926,254,65,189,198,125,198,125,1512,184,84,24,506,288,506,296
"22",24,"Roupala montana",1097655806,-28.3970202709931,-49.3973219390802,"cdrep",24549375,190,109,54,3021,289,88,201,228,155,228,151,1455,183,80,26,506,257,506,274
"23",25,"Roupala montana",1097953448,-27.3958080951506,-49.3562133297331,"cdrep",24342016,183,96,52,3017,277,93,184,220,146,220,144,1592,193,89,23,523,289,523,315
"24",26,"Roupala montana",1097171547,-22.7338533001941,-45.5903324447049,"cdrep",23374426,135,109,62,2248,209,34,175,158,105,159,102,1868,325,34,66,907,136,837,155
"25",27,"Roupala montana",1144763288,-5.64861,-52.53,"gass84",19831860,246,115,82,345,317,177,140,242,246,251,242,1851,309,27,62,851,112,236,851
"26",28,"Roupala montana",1098320410,-22.374281,-44.637876,"iddatunl",23296689,116,124,67,1789,192,9,183,136,92,137,92,2211,373,37,68,1066,128,977,145
"27",30,"Roupala montana",1097212183,-22.496706,-43.073169,"rdativ",23322647,131,98,61,1820,207,48,159,153,108,155,108,1872,304,48,58,832,157,750,175
