"","X","name","key","lat","lon","issues","cells","bio1","bio2","bio3","bio4","bio5","bio6","bio7","bio8","bio9","bio10","bio11","bio12","bio13","bio14","bio15","bio16","bio17","bio18","bio19"
"1",1,"Schizolobium parahyba",1836962965,-22.88806,-42.85417,"cdround,gass84",23409052,228,83,56,2082,302,154,148,253,202,256,202,1253,166,49,39,462,152,443,152
"2",2,"Schizolobium parahyba",1705511657,-12.21139,-38.96583,"gass84",21197305,231,76,62,1593,293,172,121,236,219,248,208,871,106,36,29,281,131,208,226
"3",3,"Schizolobium parahyba",1426661033,-26.2178,-48.57323,"gass84",24100115,212,73,48,2701,288,136,152,247,178,247,178,1864,278,82,39,755,265,755,265
"4",4,"Schizolobium parahyba",1563170165,-26.96056,-49.37389,"cdround,gass84",24255616,201,96,51,2968,298,112,186,236,164,237,164,1585,183,91,22,513,294,503,294
"5",5,"Schizolobium parahyba",1291012927,-2.41806,-54.74056,"gass84",19166527,259,87,76,609,320,206,114,255,265,268,253,2129,381,33,71,1054,123,140,522
"6",7,"Schizolobium parahyba",1324204041,7.10495,-73.10459,"cdround",17187526,229,90,93,253,278,182,96,227,229,232,225,1154,147,63,26,360,208,345,326
"7",8,"Schizolobium parahyba",1077404516,-26.78222,-49.41083,"cdround,gass84",24212415,193,100,53,2972,290,103,187,228,155,229,155,1555,181,88,22,506,291,500,291
"8",9,"Schizolobium parahyba",1094912931,-12.4125,-40.52667,"gass84",21231828,218,99,71,1455,287,149,138,230,211,233,196,708,93,22,39,247,88,239,122
"9",10,"Schizolobium parahyba",1042701477,-9.57194,-65.17,"elmms,gass84,gdativ",20643716,263,106,75,571,334,193,141,262,259,270,256,1738,277,18,61,748,84,421,139
"10",12,"Schizolobium parahyba",1077404538,-26.90528,-49.07889,"cdround,gass84",24238343,202,91,50,2984,293,111,182,239,167,239,164,1552,192,77,25,526,280,526,287
"11",13,"Schizolobium parahyba",1257739487,12.63528,-85.41444,"cdround,gass84",16038111,247,99,73,870,315,180,135,249,248,257,234,1843,301,23,65,853,89,417,228
"12",14,"Schizolobium parahyba",1123899992,8.08146,-75.93729,"cdround",16988738,262,100,86,324,323,208,115,261,265,266,258,1908,243,35,52,717,130,272,577
"13",15,"Schizolobium parahyba",1123901569,8.50722,-76.6575,"cdround,rdatm",16893681,263,74,92,169,304,224,80,262,264,265,261,1856,259,45,43,657,158,273,586
"14",16,"Schizolobium parahyba",1123897613,7.2829,-74.8318,"",17152925,269,101,87,505,329,214,115,265,273,276,263,4097,541,103,42,1451,371,614,1425
"15",17,"Schizolobium parahyba",1424473503,-9.60944,-65.10667,"cdround,gass84",20652358,263,106,75,571,334,193,141,261,259,270,256,1759,277,20,60,753,86,259,145
"16",19,"Schizolobium parahyba",1089275349,-22.60739,-52.90033,"gass84,iddatunl",23348331,225,127,64,2448,314,117,197,251,205,251,190,1236,159,35,40,441,153,441,205
"17",20,"Schizolobium parahyba",1253886047,9.81003,-84.57011,"cdround,rdatm",16625651,262,106,75,869,341,201,140,255,269,275,253,2570,447,8,74,1210,43,461,697
"18",21,"Schizolobium parahyba",1090665474,-9.55167,-56.61694,"gass84,iddatunl",20643922,255,134,68,593,353,157,196,251,250,262,248,2284,384,10,69,1036,48,325,106
"19",22,"Schizolobium parahyba",1086914962,-22.8375,-46.51111,"gass84",23400324,180,113,63,2223,256,78,178,205,149,205,149,1442,253,31,63,688,119,634,119
"20",23,"Schizolobium parahyba",1089106656,-22.82615,-47.42755,"gass84",23391662,202,116,62,2386,283,98,185,227,168,227,168,1245,235,26,68,626,91,569,91
"21",24,"Schizolobium parahyba",1802961158,-28.70806,-49.58861,"gass84",24609850,189,107,53,3009,286,87,199,228,155,228,151,1382,164,83,21,450,262,450,283
"22",25,"Schizolobium parahyba",1802875378,-14.93583,-44.62889,"gass84",21758769,229,131,70,1300,317,132,185,236,211,242,210,1062,242,2,92,617,9,300,18
