"","X","name","key","lat","lon","issues","cells","bio1","bio2","bio3","bio4","bio5","bio6","bio7","bio8","bio9","bio10","bio11","bio12","bio13","bio14","bio15","bio16","bio17","bio18","bio19"
"1",1,"Trichilia hirta",1098501087,-19.91667,-49.51667,"gass84",22795452,240,130,68,1815,320,129,191,255,214,255,212,1247,242,12,78,659,47,592,67
"2",2,"Trichilia hirta",1836164905,14.40972,-89.39517,"",15675135,195,105,71,1008,274,127,147,199,182,207,181,1662,338,11,83,817,40,283,74
"3",3,"Trichilia hirta",1324953697,-12.5,-40.6,"gass84,iddatunl",21257746,223,99,71,1445,291,153,138,235,206,238,201,656,91,18,45,244,74,230,96
"4",4,"Trichilia hirta",1703245313,2.97094,-78.179,"cdround,gass84",18042764,257,69,87,323,299,220,79,258,257,261,252,4713,569,241,27,1484,797,1132,1188
"5",5,"Trichilia hirta",1275067979,-12.25,-38.96667,"gass84",21205945,233,79,63,1608,297,173,124,228,221,251,210,893,113,35,31,297,134,199,239
"6",6,"Trichilia hirta",1413715810,-13.62542,-40.35519,"cudc,gass84",21491032,209,84,67,1401,271,147,124,221,192,225,189,729,124,23,49,295,84,246,98
"7",8,"Trichilia hirta",1837395074,-13.873,-40.07128,"gass84,iddatunl",21534239,231,70,64,1336,285,176,109,241,214,246,212,746,106,29,39,276,110,219,131
"8",9,"Trichilia hirta",1585968209,-13.92611,-41.10111,"gass84",21551494,239,104,72,1341,305,161,144,249,224,252,219,616,131,4,79,320,22,229,24
"9",10,"Trichilia hirta",1503028998,-12.24417,-39.04,"gass84",21197304,235,80,64,1584,298,174,124,241,223,252,212,849,105,34,29,275,126,203,218
"10",11,"Trichilia hirta",1585323491,14.36883,-89.40839,"",15683775,225,112,71,1028,308,151,157,228,213,238,211,1424,298,5,90,741,21,213,43
"11",12,"Trichilia hirta",1258105042,12.44903,-84.95567,"cdround,gass84,iddatunl",16081322,248,92,73,820,312,187,125,251,248,257,236,2273,359,13,62,988,61,430,352
"12",13,"Trichilia hirta",1427584595,9.23194,-73.83389,"cdround,gass84,muluriiv",16746868,281,103,79,457,348,219,129,276,279,286,275,1990,356,22,62,868,100,475,644
"13",14,"Trichilia hirta",1303206086,-11.74306,-42.52778,"gass84,iddatunl",21093540,215,133,72,1083,302,119,183,221,199,227,199,785,150,1,88,424,4,196,4
"14",15,"Trichilia hirta",1427575025,5.99943,-71.53006,"cdround",17420844,265,99,77,763,337,210,127,255,270,275,255,2372,379,19,61,989,108,347,989
"15",16,"Trichilia hirta",1258011043,12.61967,-85.413,"cdround,gass84,iddatunl",16046751,244,98,73,827,312,178,134,246,245,254,232,1870,302,24,65,865,89,420,237
"16",17,"Trichilia hirta",1090886900,-20.7931,-40.8111,"gass84",22977101,243,91,61,1748,318,169,149,258,221,266,221,1055,169,36,49,455,120,295,142
"17",18,"Trichilia hirta",1258010590,12.38744,-84.88358,"cdround,gass84,iddatunl",16089963,247,91,73,823,310,186,124,249,247,256,235,2287,364,16,61,987,74,441,355
"18",19,"Trichilia hirta",1258010697,12.83717,-85.15869,"cdround,gass84,iddatunl",15994917,245,96,72,912,313,180,133,248,244,255,231,2433,381,39,58,1074,141,575,340
"19",20,"Trichilia hirta",1258052749,12.35361,-85.20444,"cdround,gass84,iddatunl",16098596,243,94,73,814,308,180,128,245,243,252,231,1768,278,23,62,795,81,365,240
"20",21,"Trichilia hirta",1213675672,-12.58092,-60.39458,"gass84,iddatunl",21265911,216,128,70,549,302,120,182,217,208,221,207,1891,317,7,70,865,53,470,93
"21",22,"Trichilia hirta",1563894798,-17.09972,-39.41972,"cdround,gass84",22208174,246,82,66,1382,307,183,124,251,226,263,226,1098,136,61,21,347,236,259,236
"22",23,"Trichilia hirta",1253913776,10.34833,-85.35335,"cdround,rdatm",16513312,265,110,75,771,344,199,145,261,266,276,256,1828,377,2,88,949,12,298,463
"23",24,"Trichilia hirta",1086984639,8.66419,-75.92967,"cdround",16867778,273,96,86,317,331,220,111,271,274,277,269,1258,176,23,57,485,75,324,418
"24",25,"Trichilia hirta",1094929851,-16.53222,-41.2475,"gass84,iddatunl",22087171,240,118,66,1836,320,143,177,254,213,259,213,802,173,10,83,456,38,284,38
"25",26,"Trichilia hirta",1324204518,7.36732,-73.34164,"cdround",17135680,277,106,91,255,334,218,116,274,275,279,273,2308,366,49,44,887,245,477,737
"26",27,"Trichilia hirta",1563895063,-15.83972,-39.60056,"cdround,gass84",21948970,235,82,65,1382,294,169,125,242,219,250,214,1020,141,54,30,358,202,254,208
"27",28,"Trichilia hirta",1258102731,12.37364,-85.15822,"cdround,gass84,iddatunl",16098597,247,94,73,811,312,184,128,248,247,256,235,1781,280,19,64,804,70,369,234
"28",29,"Trichilia hirta",1257908656,12.87886,-85.42858,"cdround,gass84,iddatunl",15986270,218,98,72,898,286,151,135,221,218,228,205,2189,325,38,57,929,129,508,316
"29",30,"Trichilia hirta",1090937460,-9.4,-40.5,"gass84,iddatunl",20609749,248,130,75,1476,329,157,172,261,229,261,225,442,109,2,95,246,8,246,9
"30",31,"Trichilia hirta",1322755210,20.0833,-74.3389,"gass84",14500456,262,81,64,1424,323,198,125,258,248,278,243,1244,217,59,46,509,181,224,283
"31",32,"Trichilia hirta",1094911429,-12.41083,-41.03083,"gass84,iddatunl",21231816,219,111,73,1394,292,141,151,229,202,231,197,715,109,16,52,292,67,246,88
"32",33,"Trichilia hirta",1319927878,18.049,-66.2696,"gass84",14915370,239,102,73,1223,304,166,138,251,222,253,222,1395,210,43,45,562,153,480,153
"33",35,"Trichilia hirta",1094912338,-12.22,-39.04556,"gass84",21197303,235,81,64,1572,299,174,125,230,223,252,212,830,100,34,28,265,124,202,211
"34",36,"Trichilia hirta",1418793441,18.64003,-99.89444,"cdround,elmms",14793603,220,144,66,1687,336,120,216,216,215,244,201,1289,269,4,106,796,22,86,34
"35",37,"Trichilia hirta",1418792848,18.71206,-99.67528,"cdround,elmms",14776328,213,138,66,1629,325,116,209,216,196,236,194,1216,250,6,102,737,26,105,39
"36",38,"Trichilia hirta",1424488619,-12.47639,-40.37833,"cdround,gass84,rdatm",21249111,238,105,71,1456,310,163,147,250,222,253,216,755,111,17,51,303,79,285,101
"37",39,"Trichilia hirta",1077478255,-15.66339,-41.00436,"gass84,iddatunl",21905736,211,101,68,1538,284,136,148,223,200,228,189,831,143,23,57,392,90,265,108
"38",40,"Trichilia hirta",1258112360,11.40632,-85.90428,"cdround,gass84,iddatunl",16297299,263,102,73,738,338,199,139,259,270,274,255,1576,338,4,90,841,18,164,477
"39",41,"Trichilia hirta",1258146554,11.92635,-84.59412,"cdround,gass84,iddatunl",16185010,250,87,74,763,309,192,117,253,251,259,239,2688,461,31,59,1179,142,572,410
"40",42,"Trichilia hirta",1258116281,11.28598,-84.7664,"cdround,gass84,iddatunl",16323246,258,91,74,706,322,200,122,259,262,268,249,1942,306,24,64,843,86,195,354
"41",43,"Trichilia hirta",1257802695,12.33444,-85.22,"cdround,gass84,iddatunl",16098595,242,94,72,832,307,178,129,244,243,252,230,1729,269,23,62,783,81,357,230
"42",44,"Trichilia hirta",1123828772,-19.80644,-40.69186,"gass84",22769744,236,104,65,1672,314,155,159,250,214,257,214,1191,203,31,59,565,113,382,113
"43",46,"Trichilia hirta",1837451301,-7.07861,-35.75972,"gass84",20126022,223,88,70,1231,288,164,124,208,229,236,204,1238,176,25,54,495,92,316,457
"44",48,"Trichilia hirta",1090876151,-20.15282,-40.31145,"gass84",22838873,240,83,61,1663,311,175,136,254,219,262,219,1135,186,46,46,486,161,303,161
"45",49,"Trichilia hirta",1086732639,-7.14056,-36.27694,"gass84",20143290,225,91,71,1250,291,164,127,230,225,238,206,408,93,2,86,226,12,154,97
"46",50,"Trichilia hirta",1258204984,13.81111,-89.56889,"cdround,gass84,iddatunl",15796091,219,123,76,753,303,142,161,219,212,229,209,1926,386,2,93,1047,17,244,58
