"","X","name","key","lat","lon","issues","cells","bio1","bio2","bio3","bio4","bio5","bio6","bio7","bio8","bio9","bio10","bio11","bio12","bio13","bio14","bio15","bio16","bio17","bio18","bio19"
"1",1,"Trichilia silvatica",1143428556,-15.64639,-57.20786,"gass84",21905348,244,122,68,1440,319,141,178,254,226,256,220,1397,235,17,65,633,65,608,98
"2",2,"Trichilia silvatica",1077410300,-26.92222,-49.07917,"cdround,gass84",24246983,201,92,50,2981,291,110,181,238,165,238,162,1575,193,81,25,529,284,529,293
"3",3,"Trichilia silvatica",1135949073,-22.5903,-44.0871,"gass84,iddatunl,preswcd",23348542,204,115,60,2289,291,102,189,230,173,232,173,1388,245,20,70,688,76,638,76
"4",4,"Trichilia silvatica",1090885385,-21.48389,-41.2975,"gass84,iddatunl",23115329,233,96,60,1876,310,151,159,248,208,258,208,1040,179,25,56,461,84,339,84
"5",5,"Trichilia silvatica",1213525538,-16.55172,-57.55122,"gass84",22095419,257,123,65,1837,342,155,187,270,236,272,228,1272,225,18,66,606,65,575,102
"6",6,"Trichilia silvatica",1095634454,-24.10056,-50.70694,"gass84",23659424,189,129,62,2795,285,77,208,222,152,222,151,1399,176,68,26,471,256,471,273
"7",8,"Trichilia silvatica",1424369453,-22.48722,-43.00472,"cdround,gass84",23322648,168,98,59,2027,247,82,165,193,142,195,142,1785,299,45,59,802,150,721,150
"8",9,"Trichilia silvatica",1090516326,-15.39583,-39.56611,"gass84",21853931,215,79,65,1269,273,153,120,225,211,229,197,1105,137,65,23,353,217,293,244
"9",10,"Trichilia silvatica",1090884614,-20.88333,-41.7,"gass84",22994360,202,123,65,1941,291,103,188,218,177,224,175,1271,225,25,65,617,82,470,104
"10",11,"Trichilia silvatica",1077294778,-27.33453,-49.94224,"gass84",24333362,176,107,54,3075,276,78,198,214,138,214,137,1512,170,87,18,455,296,455,324
"11",13,"Trichilia silvatica",1077410328,-27.17972,-49.04917,"cdround,gass84",24298823,193,91,50,3008,284,103,181,230,157,230,154,1643,195,90,25,548,289,548,304
"12",14,"Trichilia silvatica",1096932199,-18.37474,-40.14878,"gass84",22467357,240,95,66,1501,312,169,143,252,222,259,220,1112,170,46,44,457,152,326,152
"13",15,"Trichilia silvatica",1090576327,-24.61182,-47.88499,"gass84",23763171,221,93,52,2834,307,129,178,257,185,257,185,1613,239,55,46,682,206,682,206
"14",16,"Trichilia silvatica",1226936660,-21.11667,-41.71667,"gass84,iddatunl",23037559,229,113,63,2001,316,137,179,246,203,253,202,1147,223,19,68,559,66,418,86
"15",17,"Trichilia silvatica",1086906069,-23.4375,-46.61833,"gass84",23521282,181,101,61,2165,259,94,165,206,152,207,152,1407,238,34,60,659,123,616,123
"16",20,"Trichilia silvatica",1090577220,-23.36701,-45.08351,"gass84",23504038,174,106,59,2214,253,76,177,200,144,202,144,1860,280,49,56,825,171,789,171
"17",21,"Trichilia silvatica",1123813794,-18.87556,-40.81444,"gass84",22579661,229,109,67,1527,308,146,162,241,209,248,208,1177,194,28,62,569,98,403,104
"18",22,"Trichilia silvatica",1123811321,-19.35361,-40.51694,"gass84",22674708,230,103,66,1575,306,152,154,243,209,250,209,1215,198,31,58,570,117,397,117
"19",23,"Trichilia silvatica",1226936556,-16.44167,-39.22222,"gass84,iddatunl",22069939,241,78,66,1284,297,180,117,245,255,255,221,1435,147,82,16,412,307,307,345
"20",24,"Trichilia silvatica",1094845023,-16.41917,-39.20222,"gass84,iddatunl",22069940,243,77,66,1266,299,183,116,228,257,257,224,1482,152,87,17,415,303,303,369
"21",25,"Trichilia silvatica",1087532078,-13.94472,-41.05833,"gass84,iddatunl",21551495,241,103,71,1376,306,162,144,251,225,254,219,613,132,4,79,321,22,229,24
"22",28,"Trichilia silvatica",1260351633,-0.67139,-76.37306,"cdround,gass84,iddatunl",18803128,251,97,86,482,309,197,112,248,254,255,244,3099,328,194,16,935,613,736,833
"23",31,"Trichilia silvatica",1424220379,-20.15056,-40.44861,"cdround,gass84,rdatm",22838870,247,85,61,1691,319,180,139,261,226,269,226,1122,188,43,49,491,149,307,149
"24",32,"Trichilia silvatica",1226936379,-13.94472,-40.10942,"gass84,iddatunl",21551518,212,77,65,1330,270,153,117,223,204,227,193,861,118,40,32,302,140,256,163
"25",33,"Trichilia silvatica",1424223063,-23.04472,-43.5125,"cdround,gass84,rdatm",23443596,232,87,57,2063,307,155,152,260,207,260,207,1264,161,45,40,462,146,462,146
"26",36,"Trichilia silvatica",1424235017,-14.77028,-39.53611,"cdround,gass84,iddatunl,rdatm",21724332,228,71,63,1126,282,171,111,236,224,241,212,1252,144,70,22,373,231,338,305
"27",38,"Trichilia silvatica",1135897296,-24.04122,-46.82442,"gass84,iddatunl",23642237,191,87,55,2366,265,108,157,221,160,221,160,2436,324,92,41,922,289,922,289
"28",40,"Trichilia silvatica",1424468186,-24.54778,-47.24111,"cdround,gass84,rdatm",23754547,210,84,51,2585,288,125,163,243,177,243,177,2036,281,77,42,812,250,812,250
"29",41,"Trichilia silvatica",1087505132,-21.19,-51.94556,"gass84",23054594,237,121,65,2336,315,129,186,261,205,261,203,1139,195,20,59,517,81,517,122
"30",42,"Trichilia silvatica",1097688904,-22.76326,-43.45099,"cdrep",23383118,231,95,58,2084,313,150,163,260,206,260,206,1440,204,44,46,569,147,569,147
"31",43,"Trichilia silvatica",1424099049,-22.58722,-43.42556,"cdround,gass84,rdatm",23348558,224,102,60,2070,309,139,170,250,198,252,198,1871,276,55,51,771,183,745,183
